[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
2783 0x00015ccc 0x00415ccc 14  15   .text   ascii   \tJ.3\tJ.3wt\mWR
2784 0x00015d10 0x00415d10 4   5    .text   ascii   1804
2785 0x00015d2b 0x00415d2b 6   7    .text   ascii   \a\tJ.3i
2786 0x00015d38 0x00415d38 6   7    .text   ascii   \tJ.331
2787 0x00015d50 0x00415d50 7   8    .text   ascii   wt\mcE^
2788 0x00015d5c 0x00415d5c 10  11   .text   ascii   \tJ.3wt\m~U
2789 0x00015d67 0x00415d67 5   6    .text   ascii   j1804
2790 0x00015d70 0x00415d70 4   5    .text   ascii   1804
2791 0x00015d80 0x00415d80 10  11   .text   ascii   \tJ.3\tJ.331
2792 0x00015d98 0x00415d98 7   8    .text   ascii   wt\mcE^
2793 0x00015db8 0x00415db8 6   7    .text   ascii   \tJ.3WR
2794 0x00015ddb 0x00415ddb 5   6    .text   ascii   \a1804
2795 0x00015de8 0x00415de8 10  11   .text   ascii   \tJ.3wt\mWR
2796 0x00015df3 0x00415df3 4   5    .text   ascii   \a868
2797 0x00015df8 0x00415df8 7   8    .text   ascii   wt\m868
2798 0x00015e00 0x00415e00 7   8    .text   ascii   \tJ.3868
2799 0x00015e08 0x00415e08 4   5    .text   ascii   1804
2800 0x00015e10 0x00415e10 6   7    .text   ascii   \tJ.3WR
2801 0x00015e20 0x00415e20 8   9    .text   ascii   \tJ.31804
2802 0x00015e34 0x00415e34 4   5    .text   ascii   1804
2803 0x00015e44 0x00415e44 6   7    .text   ascii   @n\b\tWR
2804 0x00015e4b 0x00415e4b 4   5    .text   ascii   \afVP
2805 0x00015e50 0x00415e50 4   5    .text   ascii   1804
2806 0x00015e63 0x00415e63 5   6    .text   ascii   \a1804
2807 0x00015e70 0x00415e70 6   7    .text   ascii   "[*=WR
2808 0x00015e7c 0x00415e7c 4   5    .text   ascii   1804
2809 0x00015e94 0x00415e94 4   5    .text   ascii   1804
2810 0x00015e9c 0x00415e9c 6   7    .text   ascii   \tJ.331
2811 0x00015ea4 0x00415ea4 4   5    .text   ascii   1804
2812 0x00015eac 0x00415eac 8   9    .text   ascii   \tJ.31804
2813 0x00015ebc 0x00415ebc 6   7    .text   ascii   \tJ.3NK
2814 0x00015ed3 0x00415ed3 5   6    .text   ascii   \a1804
2815 0x00015edf 0x00415edf 4   5    .text   ascii   \aCmb
2816 0x00015eec 0x00415eec 11  12   .text   ascii   \tJ.3wt\mcE^
2817 0x00015efc 0x00415efc 4   5    .text   ascii   1804
2818 0x00015f04 0x00415f04 6   7    .text   ascii   \tJ.3NK
2819 0x00015f10 0x00415f10 4   5    .text   ascii   2508
2820 0x00015f18 0x00415f18 16  17   .text   ascii   @n\b\twt\m\tJ.31804
2821 0x00015f30 0x00415f30 4   5    .text   ascii   1804
2822 0x00015f48 0x00415f48 4   5    .text   ascii   1804
2823 0x00015f84 0x00415f84 4   5    .text   ascii   1804
2824 0x00015f90 0x00415f90 4   5    .text   ascii   1804
2825 0x00015f98 0x00415f98 6   7    .text   ascii   wt\mNK
2826 0x00015fa4 0x00415fa4 7   8    .text   ascii   \tJ.3bVN
2827 0x00015fac 0x00415fac 4   5    .text   ascii   1804
2828 0x00015fbc 0x00415fbc 6   7    .text   ascii   \tJ.331
2829 0x00015fc8 0x00415fc8 4   5    .text   ascii   1804
2830 0x00015fd0 0x00415fd0 4   5    .text   ascii   1804
2831 0x00015ff4 0x00415ff4 4   5    .text   ascii   1804
2832 0x00015ffc 0x00415ffc 6   7    .text   ascii   wt\mNK
2833 0x00016008 0x00416008 4   5    .text   ascii   1804
2834 0x00016010 0x00416010 10  11   .text   ascii   \tJ.3\tJ.331
2835 0x0001601c 0x0041601c 4   5    .text   ascii   1804
2836 0x00016024 0x00416024 6   7    .text   ascii   wt\mWR
2837 0x0001602b 0x0041602b 4   5    .text   ascii   \a868
2838 0x00016038 0x00416038 10  11   .text   ascii   \tJ.3u0nq\a/
2839 0x0001606c 0x0041606c 4   5    .text   ascii   2508
2840 0x00016074 0x00416074 4   5    .text   ascii   1804
2841 0x0001607c 0x0041607c 4   5    .text   ascii   1804
2842 0x00016088 0x00416088 6   7    .text   ascii   wt\mNK
2843 0x00016094 0x00416094 6   7    .text   ascii   \tJ.3WR
2844 0x0001609b 0x0041609b 7   8    .text   ascii   \a\tJ.3NK
2845 0x000160b0 0x004160b0 7   8    .text   ascii   \tJ.3868
2846 0x000160c0 0x004160c0 6   7    .text   ascii   tzS\v/`
2847 0x000160dc 0x004160dc 8   9    .text   ascii   wt\m1804
2848 0x000160e8 0x004160e8 4   5    .text   ascii   7234
2849 0x000160f0 0x004160f0 4   5    .text   ascii   1804
2850 0x00016102 0x00416102 4   5    .text   ascii   vIqv
2851 0x00016112 0x00416112 5   6    .text   ascii   _Iq*G
2852 0x00016121 0x00416121 4   5    .text   ascii   0Iq0
2853 0x00016134 0x00416134 6   7    .text   ascii   cIq*Iq
2854 0x0001613c 0x0041613c 5   6    .text   ascii   IqXIq
2855 0x00016159 0x00416159 7   9    .text   utf8    IqԦ/Iq1 blocks=Basic Latin,Cyrillic Supplement
2856 0x0001616f 0x0041616f 5   6    .text   ascii   IqWIq
2857 0x0001617d 0x0041617d 4   5    .text   ascii   )Iq1
2858 0x00016185 0x00416185 5   6    .text   ascii   Iq{Iq
2859 0x000161b0 0x004161b0 8   9    .text   ascii   Iq\eIq#Iq
2860 0x000161c1 0x004161c1 6   8    .text   utf8    IqԥbIq blocks=Basic Latin,Cyrillic Supplement
2861 0x000161da 0x004161da 4   5    .text   ascii   =Iqa
2862 0x000161e3 0x004161e3 6   7    .text   ascii   Iq/-Iq
2863 0x000161ec 0x004161ec 5   6    .text   ascii   IqDIq
2864 0x000161f3 0x004161f3 15  16   .text   ascii   IqeIq6Iq9Iqw)Iq
2865 0x00016208 0x00416208 4   5    .text   ascii   IqrZ
2866 0x0001623f 0x0041623f 5   6    .text   ascii   Iq\vIq
2867 0x0001624a 0x0041624a 8   10   .text   utf8    IqӦIq'Iq blocks=Basic Latin,Cyrillic
2868 0x00016259 0x00416259 5   6    .text   ascii   Iq?Iq
2869 0x0001626b 0x0041626b 4   5    .text   ascii   Iqz_
2870 0x00016293 0x00416293 5   7    .text   utf8    IqրIq blocks=Basic Latin,Armenian
2871 0x0001629e 0x0041629e 5   6    .text   ascii   Iq Iq
2872 0x000162b9 0x004162b9 5   6    .text   ascii   Iq]Iq
2873 0x000162ce 0x004162ce 4   5    .text   ascii   #/Iq
2874 0x000162d5 0x004162d5 5   6    .text   ascii   IqpIq
2875 0x000162db 0x004162db 8   10   .text   utf8    IqɵIq{Iq blocks=Basic Latin,IPA Extensions
2876 0x000162e5 0x004162e5 6   7    .text   ascii   DIq#Iq
2877 0x00016302 0x00416302 4   6    .text   utf8    -Iqπ blocks=Basic Latin,Greek and Coptic
2878 0x0001630b 0x0041630b 7   8    .text   ascii   )Iq@Iqr
2879 0x00016313 0x00416313 5   6    .text   ascii   Iq\aIq
2880 0x00016320 0x00416320 4   5    .text   ascii   )IqA
2881 0x00016335 0x00416335 4   5    .text   ascii   ,Iq~
2882 0x0001635e 0x0041635e 6   7    .text   ascii   IqOVIq
2883 0x00016377 0x00416377 5   6    .text   ascii   wIqcv
2884 0x00016386 0x00416386 8   9    .text   ascii   Iq,Iq\Iq
2885 0x00016398 0x00416398 5   6    .text   ascii   Iq<Iq
2886 0x000163ac 0x004163ac 6   7    .text   ascii   Iq'FIq
2887 0x000163b6 0x004163b6 4   5    .text   ascii   o*Iq
2888 0x000163cd 0x004163cd 7   8    .text   ascii   rQIqjIq
2889 0x000163d6 0x004163d6 12  13   .text   ascii   Iq]IqG)IqqIq
2890 0x000163ec 0x004163ec 5   7    .text   utf8    Iq̴Iq blocks=Basic Latin,Combining Diacritical Marks
2891 0x000163f8 0x004163f8 4   5    .text   ascii   Iq]x
2892 0x000163fd 0x004163fd 5   6    .text   ascii   Iq|Iq
2893 0x00016411 0x00416411 5   6    .text   ascii   Iq>Iq
2894 0x0001641b 0x0041641b 11  13   .text   utf8    IqK/JIqؕIqY blocks=Basic Latin,Arabic
2895 0x00016428 0x00416428 4   5    .text   ascii   ^Iq(
2896 0x0001642d 0x0041642d 6   8    .text   utf8    Iq}IqԦ blocks=Basic Latin,Cyrillic Supplement
2897 0x0001643d 0x0041643d 4   5    .text   ascii   Iq@9
2898 0x00016458 0x00416458 5   6    .text   ascii   Iq/Iq
2899 0x00016463 0x00416463 4   5    .text   ascii   "YIq
2900 0x00016488 0x00416488 5   6    .text   ascii   Iq/Iq
2901 0x00016493 0x00416493 7   8    .text   ascii   IqrIqe_
2902 0x0001649b 0x0041649b 5   6    .text   ascii   Iq;Iq
2903 0x000164a5 0x004164a5 9   10   .text   ascii   Iq@9IqFIq
2904 0x000164af 0x004164af 5   6    .text   ascii   IqtIq
2905 0x000164d7 0x004164d7 10  12   .text   utf8    IqכIq@95Iq blocks=Basic Latin,Hebrew
2906 0x000164e6 0x004164e6 8   10   .text   utf8    ؠIq\t\vXIq blocks=Arabic,Basic Latin
2907 0x000164f4 0x004164f4 4   5    .text   ascii   \nIq[
2908 0x0001650e 0x0041650e 8   9    .text   ascii   Iq1~hIqQ
2909 0x00016517 0x00416517 5   6    .text   ascii   Iq\eIq
2910 0x0001651d 0x0041651d 6   8    .text   utf8    IqmކIq blocks=Basic Latin,Thaana
2911 0x00016526 0x00416526 5   6    .text   ascii   Iq\aIq
2912 0x00016536 0x00416536 5   6    .text   ascii   Iq~Iq
2913 0x00016549 0x00416549 5   6    .text   ascii   IqpIq
2914 0x0001654f 0x0041654f 6   8    .text   utf8    ؙIq@Iq blocks=Arabic,Basic Latin
2915 0x0001655a 0x0041655a 6   7    .text   ascii   Iqd*Iq
2916 0x00016562 0x00416562 6   7    .text   ascii   Iq=/Iq
2917 0x00016569 0x00416569 11  12   .text   ascii   _^Iq0Iq1`Iq
2918 0x0001657a 0x0041657a 6   7    .text   ascii   Iq\rIqo
2919 0x00016581 0x00416581 6   8    .text   utf8    IqԙhIq blocks=Basic Latin,Cyrillic Supplement
2920 0x0001659f 0x0041659f 4   5    .text   ascii   IqE#
2921 0x000165a9 0x004165a9 4   5    .text   ascii   Iqh%
2922 0x000165c3 0x004165c3 8   9    .text   ascii   IqRIq[Iq
2923 0x000165cf 0x004165cf 4   5    .text   ascii   ,bIq
2924 0x000165f2 0x004165f2 6   7    .text   ascii   Iq}qIq
2925 0x000165fc 0x004165fc 6   7    .text   ascii   \IqwIq
2926 0x0001660c 0x0041660c 5   6    .text   ascii   Iq_Iq
2927 0x0001662f 0x0041662f 4   5    .text   ascii   RIqd
2928 0x0001663a 0x0041663a 5   6    .text   ascii   IqZIq
2929 0x00016645 0x00416645 5   6    .text   ascii   IqsIq
2930 0x0001666a 0x0041666a 6   7    .text   ascii   Iq}wIq
2931 0x0001667a 0x0041667a 5   6    .text   ascii   Iq8Iq
2932 0x0001668a 0x0041668a 7   8    .text   ascii   Iq2UWIq
2933 0x00016697 0x00416697 5   6    .text   ascii   IqOIq
2934 0x000166aa 0x004166aa 4   5    .text   ascii   |Iqq
2935 0x000166b2 0x004166b2 4   5    .text   ascii   :UIq
2936 0x000166b7 0x004166b7 4   5    .text   ascii   ~|Iq
2937 0x000166bc 0x004166bc 4   5    .text   ascii   Iq}1
2938 0x000166c9 0x004166c9 6   7    .text   ascii   Iq"Iq+
2939 0x000166d8 0x004166d8 7   8    .text   ascii   Iq{"<Iq
2940 0x000166e0 0x004166e0 5   6    .text   ascii   Iq{Iq
2941 0x000166e6 0x004166e6 10  12   .text   utf8    Iq=/Iq}Iqю blocks=Basic Latin,Cyrillic
2942 0x000166f2 0x004166f2 4   5    .text   ascii   Iq(c
2943 0x00016711 0x00416711 6   7    .text   ascii   \aIqlIq
2944 0x00016722 0x00416722 5   6    .text   ascii   IqgIq
2945 0x00016728 0x00416728 4   5    .text   ascii   IqI|
2946 0x0001672d 0x0041672d 4   5    .text   ascii   Iq:b
2947 0x00016740 0x00416740 5   6    .text   ascii   Iq~Iq
2948 0x00016746 0x00416746 6   7    .text   ascii   Iq6Iqx
2949 0x00016769 0x00416769 8   10   .text   utf8    IqѰIq+Iq blocks=Basic Latin,Cyrillic
2950 0x00016788 0x00416788 4   5    .text   ascii   &5Iq
2951 0x0001678d 0x0041678d 5   6    .text   ascii   RPIqt
2952 0x0001679d 0x0041679d 10  11   .text   ascii   Iq;Iqk*Iq 
2953 0x000167b3 0x004167b3 4   5    .text   ascii   IqUE
2954 0x000167c6 0x004167c6 5   6    .text   ascii   IqcIq
2955 0x000167d9 0x004167d9 5   6    .text   ascii   IqjIq
2956 0x000167e1 0x004167e1 7   8    .text   ascii   Iq'}IqL
2957 0x000167f6 0x004167f6 7   8    .text   ascii   W2IqwIq
2958 0x00016807 0x00416807 4   5    .text   ascii   /Iqt
2959 0x0001680d 0x0041680d 5   6    .text   ascii   IqgIq
2960 0x00016822 0x00416822 6   9    .text   utf8    IqﳨIq{ blocks=Basic Latin,Arabic Presentation Forms-A
2961 0x0001682b 0x0041682b 6   7    .text   ascii   Iq:\vIq
2962 0x0001684f 0x0041684f 4   5    .text   ascii   1FIq
2963 0x00016854 0x00416854 4   5    .text   ascii   7iIq
2964 0x00016860 0x00416860 10  11   .text   ascii   Iq8*Iq\Iq?
2965 0x0001686f 0x0041686f 7   8    .text   ascii   Iq):Iq9
2966 0x0001687d 0x0041687d 4   5    .text   ascii   QNIq
2967 0x00016884 0x00416884 5   6    .text   ascii   IqFIq
2968 0x0001689b 0x0041689b 5   6    .text   ascii   IqRIq
2969 0x000168c1 0x004168c1 5   6    .text   ascii   Iq`Iq
2970 0x000168e5 0x004168e5 4   5    .text   ascii   1ZIq
2971 0x000168fd 0x004168fd 7   8    .text   ascii   Iq(DIqX
2972 0x0001690f 0x0041690f 5   6    .text   ascii   Iq?Iq
2973 0x0001691a 0x0041691a 5   6    .text   ascii   IqtIq
2974 0x00016928 0x00416928 6   7    .text   ascii   *IqRIq
2975 0x00016930 0x00416930 8   9    .text   ascii   IqpIqvIq
2976 0x0001694c 0x0041694c 4   5    .text   ascii   Iqe|
2977 0x00016958 0x00416958 5   6    .text   ascii   Iq$Iq
2978 0x00016967 0x00416967 5   6    .text   ascii   IqrIq
2979 0x0001696d 0x0041696d 4   5    .text   ascii   [.Iq
2980 0x00016972 0x00416972 8   9    .text   ascii   ZFIq0Iqq
2981 0x0001697c 0x0041697c 6   7    .text   ascii   Iq)|Iq
2982 0x00016984 0x00416984 6   7    .text   ascii   Iq.5Iq
2983 0x0001698b 0x0041698b 4   5    .text   ascii   \a2Iq
2984 0x00016992 0x00416992 11  12   .text   ascii   IqRIq1]\Iq0
2985 0x000169b9 0x004169b9 10  11   .text   ascii   Iq\e0IqAIqr
2986 0x000169c8 0x004169c8 5   6    .text   ascii   IqZIq
2987 0x000169d3 0x004169d3 4   5    .text   ascii   Iq##
2988 0x000169de 0x004169de 5   6    .text   ascii   Iq+Iq
2989 0x000169e8 0x004169e8 8   10   .text   utf8    aIq}LIq֤ blocks=Basic Latin,Hebrew
2990 0x000169fe 0x004169fe 5   6    .text   ascii   IqnIq
2991 0x00016a1a 0x00416a1a 5   6    .text   ascii   IqrIq
2992 0x00016a20 0x00416a20 7   9    .text   utf8    |IqԴdIq blocks=Basic Latin,Armenian
2993 0x00016a29 0x00416a29 4   5    .text   ascii   /|Iq
2994 0x00016a4a 0x00416a4a 5   6    .text   ascii   IqfIq
2995 0x00016a53 0x00416a53 4   5    .text   ascii   Iq[0
2996 0x00016a84 0x00416a84 5   6    .text   ascii   IqTIq
2997 0x00016a8b 0x00416a8b 7   8    .text   ascii   IIql_Iq
2998 0x00016aa1 0x00416aa1 5   6    .text   ascii   Iq!Iq
2999 0x00016aaf 0x00416aaf 6   7    .text   ascii   Iq\t\bIq
3000 0x00016ac4 0x00416ac4 6   7    .text   ascii   IqpIqr
3001 0x00016aed 0x00416aed 7   8    .text   ascii   ]Iq3Iq)
3002 0x00016b1b 0x00416b1b 5   6    .text   ascii   Iq Iq
3003 0x00016b48 0x00416b48 4   5    .text   ascii   Iq&g
3004 0x00016b67 0x00416b67 8   9    .text   ascii   Iq;Iq}Iq
3005 0x00016b94 0x00416b94 6   8    .text   utf8    IqiӫIq blocks=Basic Latin,Cyrillic
3006 0x00016baf 0x00416baf 4   5    .text   ascii   Iqk{
3007 0x00016bb9 0x00416bb9 6   7    .text   ascii   IqM\Iq
3008 0x00016bca 0x00416bca 5   6    .text   ascii   IqAIq
3009 0x00016bde 0x00416bde 4   5    .text   ascii   Iq"5
3010 0x00016be3 0x00416be3 5   6    .text   ascii   Iq2Iq
3011 0x00016c10 0x00416c10 5   6    .text   ascii   aIq`O
3012 0x00016c16 0x00416c16 9   10   .text   ascii   Iq]`Iq0Iq
3013 0x00016c20 0x00416c20 6   7    .text   ascii   iIqXIq
3014 0x00016c32 0x00416c32 6   7    .text   ascii   ~IqFIq
3015 0x00016c39 0x00416c39 4   5    .text   ascii   YIq2
3016 0x00016c42 0x00416c42 7   9    .text   utf8    ޅIq*FIq blocks=Thaana,Basic Latin
3017 0x00016c6b 0x00416c6b 4   5    .text   ascii   RIqK
3018 0x00016c70 0x00416c70 6   8    .text   utf8    Iqˣ\eIq blocks=Basic Latin,Spacing Modifier Letters
3019 0x00016c92 0x00416c92 4   5    .text   ascii   noIq
3020 0x00016c97 0x00416c97 5   6    .text   ascii   Iq2Iq
3021 0x00016ca6 0x00416ca6 5   6    .text   ascii   Iq2Iq
3022 0x00016cb0 0x00416cb0 6   7    .text   ascii   wt\mWR
3023 0x00016cb7 0x00416cb7 5   6    .text   ascii   \a1804
3024 0x00016cc4 0x00416cc4 4   5    .text   ascii   1804
3025 0x00016cdc 0x00416cdc 4   5    .text   ascii   \tJ.3
3026 0x00016d0f 0x00416d0f 4   5    .text   ascii   \acE^
3027 0x00016d23 0x00416d23 4   5    .text   ascii   \acE^
3028 0x00016d2c 0x00416d2c 6   7    .text   ascii   \tJ.3NK
3029 0x00016d3c 0x00416d3c 6   7    .text   ascii   U#/,Tc
3030 0x00016d44 0x00416d44 4   5    .text   ascii   1804
3031 0x00016d4c 0x00416d4c 4   5    .text   ascii   1207
3032 0x00016d5c 0x00416d5c 4   5    .text   ascii   1804
3033 0x00016d67 0x00416d67 5   6    .text   ascii   \a1804
3034 0x00016d74 0x00416d74 6   7    .text   ascii   v5"\v31
3035 0x00016d84 0x00416d84 4   5    .text   ascii   1804
3036 0x00016da8 0x00416da8 4   5    .text   ascii   wt\m
3037 0x00016dad 0x00416dad 5   6    .text   ascii   \t_U31
3038 0x00016dbd 0x00416dbd 5   6    .text   ascii   $C%31
3039 0x00016de0 0x00416de0 6   7    .text   ascii   9\a+>NK
3040 0x00016df8 0x00416df8 11  12   .text   ascii   \tJ.3\tJ.3868
3041 0x00016e04 0x00416e04 11  12   .text   ascii   \tJ.3\tJ.3868
3042 0x00016e10 0x00416e10 12  13   .text   ascii   \tJ.3wt\m1804
3043 0x00016e20 0x00416e20 4   5    .text   ascii   1804
3044 0x00016e34 0x00416e34 6   7    .text   ascii   \tJ.3NK
3045 0x00016e40 0x00416e40 10  11   .text   ascii   wt\mwt\mWR
3046 0x00016e4b 0x00416e4b 7   8    .text   ascii   \atzS\v/`
3047 0x00016e6e 0x00416e6e 4   5    .text   ascii   Iq|{
3048 0x00016e87 0x00416e87 8   10   .text   utf8    IqȕIquIq blocks=Basic Latin,Latin Extended-B
3049 0x00016e93 0x00416e93 7   8    .text   ascii   Iq$}IqN
3050 0x00016ea3 0x00416ea3 4   5    .text   ascii   ,+Iq
3051 0x00016eaa 0x00416eaa 5   6    .text   ascii   Iq_Iq
3052 0x00016eb1 0x00416eb1 6   7    .text   ascii   IqYIq\
3053 0x00016ec0 0x00416ec0 6   7    .text   ascii   Iq!Iq~
3054 0x00016ed8 0x00416ed8 5   6    .text   ascii   Iq\vIq
3055 0x00016ede 0x00416ede 6   8    .text   utf8    IqYܸIq blocks=Basic Latin,Syriac
3056 0x00016f0f 0x00416f0f 4   5    .text   ascii   \tIq{
3057 0x00016f15 0x00416f15 5   6    .text   ascii   IqJIq
3058 0x00016f26 0x00416f26 5   6    .text   ascii   Iq]Iq
3059 0x00016f63 0x00416f63 6   7    .text   ascii   IqQIqC
3060 0x00016f76 0x00416f76 6   7    .text   ascii   Iq:IqH
3061 0x00016f87 0x00416f87 8   9    .text   ascii   Iq2IqAIq
3062 0x00016f95 0x00416f95 6   7    .text   ascii   IqTIq0
3063 0x00016fa0 0x00416fa0 10  12   .text   utf8    Iq\tôIqIIq{ blocks=Basic Latin,Latin-1 Supplement
3064 0x00016faf 0x00416faf 6   7    .text   ascii   Iq1Iq 
3065 0x00016fb6 0x00416fb6 4   5    .text   ascii   Iq:B
3066 0x00016fc6 0x00416fc6 4   5    .text   ascii   P2Iq
3067 0x00016fd4 0x00416fd4 6   7    .text   ascii   Iq:BIq
3068 0x00017001 0x00417001 5   6    .text   ascii   Iq}Iq
3069 0x0001700d 0x0041700d 5   7    .text   utf8    IqӗIq blocks=Basic Latin,Cyrillic
3070 0x00017017 0x00417017 7   8    .text   ascii   fKIq1Iq
3071 0x00017024 0x00417024 5   6    .text   ascii   Iq:Iq
3072 0x00017035 0x00417035 6   7    .text   ascii   IqUiIq
3073 0x00017040 0x00417040 4   5    .text   ascii   >Iqw
3074 0x00017049 0x00417049 16  18   .text   utf8    IqRgIqȴ~IqQIqGIq blocks=Basic Latin,Latin Extended-B
3075 0x00017060 0x00417060 11  13   .text   utf8    :Iq֑Iq{uIq: blocks=Basic Latin,Hebrew
3076 0x0001706d 0x0041706d 6   7    .text   ascii   rIq:Iq
3077 0x00017075 0x00417075 4   5    .text   ascii   Iqr\t
3078 0x00017082 0x00417082 4   5    .text   ascii   K$Iq
3079 0x00017087 0x00417087 9   10   .text   ascii   ,YIqGW\rIq
3080 0x000170a1 0x004170a1 5   6    .text   ascii   Iq:Iq
3081 0x000170af 0x004170af 9   11   .text   utf8    ˳Iqz!_Iq  blocks=Spacing Modifier Letters,Basic Latin
3082 0x000170c8 0x004170c8 7   8    .text   ascii   \rIqJ_Iq
3083 0x000170d8 0x004170d8 5   6    .text   ascii   IqBIq
3084 0x000170e0 0x004170e0 12  13   .text   ascii   Iq|)IqwIqEIq
3085 0x000170f2 0x004170f2 5   6    .text   ascii   Iq5Iq
3086 0x000170fc 0x004170fc 6   7    .text   ascii   IqQIq>
3087 0x00017112 0x00417112 5   6    .text   ascii   IqQIq
3088 0x00017118 0x00417118 6   7    .text   ascii   IqqIqy
3089 0x00017120 0x00417120 5   6    .text   ascii   IqQIq
3090 0x00017141 0x00417141 6   7    .text   ascii   "Iq9Iq
3091 0x00017155 0x00417155 18  19   .text   ascii   IqDIq_Iq%IqJpIq.Iq
3092 0x00017179 0x00417179 4   5    .text   ascii   |Iq_
3093 0x0001717e 0x0041717e 5   6    .text   ascii   Iq|Iq
3094 0x0001718d 0x0041718d 4   5    .text   ascii   _%Iq
3095 0x00017194 0x00417194 12  13   .text   ascii   Iq{Iq:1,Iq_,
3096 0x000171a1 0x004171a1 8   9    .text   ascii   IqyIq%Iq
3097 0x000171aa 0x004171aa 5   6    .text   ascii   ]LIq+
3098 0x000171b0 0x004171b0 5   6    .text   ascii   Iq_Iq
3099 0x000171b8 0x004171b8 8   9    .text   ascii   IqJIqWIq
3100 0x000171c5 0x004171c5 7   8    .text   ascii   IqyIq|_
3101 0x000171cd 0x004171cd 4   5    .text   ascii   Iq_$
3102 0x000171d2 0x004171d2 13  15   .text   utf8    IqW<Iqܤ<IqWIq blocks=Basic Latin,Syriac
3103 0x000171e1 0x004171e1 4   5    .text   ascii   \f/Iq
3104 0x000171ed 0x004171ed 5   6    .text   ascii   Iq}Iq
3105 0x00017203 0x00417203 7   9    .text   utf8    IqJӉIq{ blocks=Basic Latin,Cyrillic
3106 0x0001720c 0x0041720c 7   8    .text   ascii   wIqF:Iq
3107 0x00017215 0x00417215 5   6    .text   ascii   _Iq$|
3108 0x00017237 0x00417237 5   6    .text   ascii   Iq+Iq
3109 0x00017244 0x00417244 6   7    .text   ascii   IqgnIq
3110 0x0001724b 0x0041724b 5   6    .text   ascii   IqyIq
3111 0x0001725d 0x0041725d 5   6    .text   ascii   Iq'Iq
3112 0x00017282 0x00417282 4   5    .text   ascii   :IqB
3113 0x00017287 0x00417287 5   6    .text   ascii   Iq}Iq
3114 0x000172a0 0x004172a0 8   9    .text   ascii   :IqBIq}*
3115 0x000172b3 0x004172b3 6   7    .text   ascii   fIq}Iq
3116 0x000172c8 0x004172c8 5   6    .text   ascii   %Iq' 
3117 0x000172e2 0x004172e2 6   9    .text   utf8    [Iq埆Iq blocks=Basic Latin,CJK Unified Ideographs
3118 0x0001731e 0x0041731e 6   7    .text   ascii   Iq'9Iq
3119 0x00017327 0x00417327 4   5    .text   ascii   Iq2,
3120 0x00017331 0x00417331 5   6    .text   ascii   IqyIq
3121 0x00017338 0x00417338 5   6    .text   ascii   Iq"Iq
3122 0x00017359 0x00417359 5   6    .text   ascii   ~IqJ\e
3123 0x0001735f 0x0041735f 8   9    .text   ascii   Iq(Iq:Iq
3124 0x0001736a 0x0041736a 7   8    .text   ascii   Iq:BIqZ
3125 0x00017373 0x00417373 5   6    .text   ascii   IqSIq
3126 0x00017386 0x00417386 4   5    .text   ascii   Iq:B
3127 0x000173ba 0x004173ba 5   6    .text   ascii   Iq<Iq
3128 0x000173c1 0x004173c1 4   5    .text   ascii   sIq*
3129 0x000173ca 0x004173ca 4   6    .text   utf8    _Iq֟ blocks=Basic Latin,Hebrew
3130 0x000173e7 0x004173e7 8   9    .text   ascii   Iq]Iq\nIq
3131 0x00017407 0x00417407 12  13   .text   ascii   IqhCIq#Iq~Iq
3132 0x00017439 0x00417439 7   8    .text   ascii   IqD\nIq 
3133 0x00017441 0x00417441 6   8    .text   utf8    :IqBIq
3134 0x0001744f 0x0041744f 7   8    .text   ascii   IqDIq\n 
3135 0x00017457 0x00417457 10  12   .text   utf8    Iq:BIqܴIqh blocks=Basic Latin,Syriac
3136 0x00017467 0x00417467 4   5    .text   ascii   !Iq\n
3137 0x0001746d 0x0041746d 5   6    .text   ascii   Iq:Iq
3138 0x00017478 0x00417478 9   10   .text   ascii   BIq\aIq\nIq
3139 0x00017487 0x00417487 6   7    .text   ascii   'Iq\nIq
3140 0x00017493 0x00417493 7   8    .text   ascii   'Iq\n\fIq
3141 0x0001749e 0x0041749e 4   5    .text   ascii   \n\rIq
3142 0x000174a3 0x004174a3 13  14   .text   ascii   IqbIq\n@'Iq\nIq
3143 0x000174b9 0x004174b9 10  11   .text   ascii   Iq\nIq^"Iq\n
3144 0x000174cd 0x004174cd 5   6    .text   ascii   Iq]Iq
3145 0x000174eb 0x004174eb 4   5    .text   ascii   "Iqf
3146 0x000174f5 0x004174f5 5   6    .text   ascii   IqUIq
3147 0x000174ff 0x004174ff 6   7    .text   ascii   ]MIqV\f
3148 0x00017571 0x00417571 5   7    .text   utf8    IqųIq blocks=Basic Latin,Latin Extended-A
3149 0x0001757c 0x0041757c 8   10   .text   utf8    Iq1IqԽIq blocks=Basic Latin,Armenian
3150 0x00017596 0x00417596 5   6    .text   ascii   IqMIq
3151 0x000175ae 0x004175ae 4   6    .text   utf8    \tIqϴ blocks=Basic Latin,Greek and Coptic
3152 0x000175b4 0x004175b4 10  11   .text   ascii   Iq*,Iq"Iq\r
3153 0x000175d3 0x004175d3 4   5    .text   ascii   ZZIq
3154 0x000175dc 0x004175dc 5   6    .text   ascii   Iq9Iq
3155 0x00017614 0x00417614 5   7    .text   utf8    ԼIq1y blocks=Armenian,Basic Latin
