[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
128  0x00001781 0x00012381 4   6    .text   utf8    $\t+ȸ blocks=Basic Latin,Latin Extended-B
129  0x00001806 0x00012406 4   5    .text   ascii   \$0H
130  0x0000181f 0x0001241f 4   5    .text   ascii   \$\bH
131  0x00001855 0x00012455 7   9    .text   utf8    +s 3҈C\b blocks=Basic Latin,Cyrillic
132  0x00001874 0x00012474 5   7    .text   utf8    S(LcK
133  0x0000188f 0x0001248f 4   5    .text   ascii   \$0H
134  0x00001894 0x00012494 4   5    .text   ascii   t$8H
135  0x000018a6 0x000124a6 4   5    .text   ascii   \$\bL
136  0x000018f8 0x000124f8 4   6    .text   utf8    Hcɋ\f blocks=Basic Latin,Latin Extended-B
137  0x0000192a 0x0001252a 4   5    .text   ascii   \$\bH
138  0x00001961 0x00012561 4   5    .text   ascii   \$0H
139  0x00001987 0x00012587 6   7    .text   ascii   MKCSHc
140  0x000019bf 0x000125bf 4   5    .text   ascii   t,SH
141  0x00001a00 0x00012600 4   5    .text   ascii   t%Lc
142  0x00001a32 0x00012632 4   5    .text   ascii   \$\bH
143  0x00001a3f 0x0001263f 6   7    .text   ascii   WATAUH
144  0x00001a49 0x00012649 5   6    .text   ascii   l$`Mc
145  0x00001aac 0x000126ac 11  12   .text   ascii   H;O0r\aH+G0H
146  0x00001ab9 0x000126b9 6   7    .text   ascii   H;O r[
147  0x00001acc 0x000126cc 4   5    .text   ascii   t\vLc
148  0x00001adb 0x000126db 4   5    .text   ascii   o D+
149  0x00001ae0 0x000126e0 6   7    .text   ascii   D+o(E;
150  0x00001af2 0x000126f2 4   5    .text   ascii   O(Hc
151  0x00001b4d 0x0001274d 4   5    .text   ascii   t\vLc
152  0x00001b84 0x00012784 4   5    .text   ascii   \$@H
153  0x00001b89 0x00012789 4   5    .text   ascii   l$HH
154  0x00001b8e 0x0001278e 4   5    .text   ascii   t$PH
155  0x00001b94 0x00012794 6   7    .text   ascii    A]A\_
156  0x00001ba6 0x000127a6 4   5    .text   ascii   \$\bH
157  0x00001c02 0x00012802 4   5    .text   ascii   F(H+
158  0x00001c1e 0x0001281e 4   5    .text   ascii   l$HH
159  0x00001c2a 0x0001282a 4   5    .text   ascii   \$@H
160  0x00001c3e 0x0001283e 4   5    .text   ascii   \$\bH
161  0x00001c4b 0x0001284b 6   7    .text   ascii   WATAUH
162  0x00001ca1 0x000128a1 13  14   .text   ascii   S H;S0r\aH+K0H
163  0x00001cc2 0x000128c2 4   5    .text   ascii   tiLc
164  0x00001cf1 0x000128f1 4   5    .text   ascii   t\vLc
165  0x00001d04 0x00012904 6   7    .text   ascii   D+c(D;
166  0x00001d16 0x00012916 4   5    .text   ascii   S(Hc
167  0x00001d40 0x00012940 7   8    .text   ascii   S H;S0r
168  0x00001d4a 0x0001294a 7   8    .text   ascii   C(H+C0H
169  0x00001d5f 0x0001295f 4   5    .text   ascii   C H;
170  0x00001d66 0x00012966 5   6    .text   ascii   H9K8r
171  0x00001d6c 0x0001296c 5   6    .text   ascii   H9C8w
172  0x00001d73 0x00012973 6   7    .text   ascii   \fH9C8v
173  0x00001d7a 0x0001297a 5   6    .text   ascii   H9K8r
174  0x00001d97 0x00012997 4   5    .text   ascii   \$@H
175  0x00001d9c 0x0001299c 4   5    .text   ascii   l$HH
176  0x00001da9 0x000129a9 6   7    .text   ascii    A]A\_
177  0x00001dc9 0x000129c9 5   6    .text   ascii   x ATH
178  0x00001e04 0x00012a04 4   5    .text   ascii   C I;
179  0x00001e09 0x00012a09 7   8    .text   ascii   u\fH9S8u
180  0x00001e21 0x00012a21 4   5    .text   ascii   w\tI;
181  0x00001e43 0x00012a43 7   8    .text   ascii   C8H;C0r
182  0x00001e4b 0x00012a4b 5   6    .text   ascii   +C0Hc
183  0x00001e57 0x00012a57 4   5    .text   ascii   K8I;
184  0x00001e5c 0x00012a5c 8   9    .text   ascii   u\rH9S8u\a
185  0x00001e93 0x00012a93 4   5    .text   ascii   \$0H
186  0x00001e98 0x00012a98 4   5    .text   ascii   l$8H
187  0x00001e9d 0x00012a9d 4   5    .text   ascii   t$@H
188  0x00001ea2 0x00012aa2 4   5    .text   ascii   |$HH
189  0x00001eb6 0x00012ab6 4   5    .text   ascii   \$\bH
190  0x00001f12 0x00012b12 4   5    .text   ascii   \$0H
191  0x00001f17 0x00012b17 4   5    .text   ascii   t$8H
192  0x00001f2a 0x00012b2a 4   5    .text   ascii   \$\bH
193  0x00001f8c 0x00012b8c 4   5    .text   ascii   MKCS
194  0x00001fa7 0x00012ba7 4   5    .text   ascii   \$0H
195  0x00001fc2 0x00012bc2 5   6    .text   ascii   \$\bWH
196  0x00001fdb 0x00012bdb 4   5    .text   ascii   tDE3
197  0x00001fe0 0x00012be0 7   8    .text   ascii   D9HTv2H
198  0x00001ff7 0x00012bf7 4   5    .text   ascii   t\nD#
199  0x00002012 0x00012c12 5   6    .text   ascii   D;HTr
200  0x00002025 0x00012c25 4   5    .text   ascii   \$0H
201  0x00002036 0x00012c36 4   5    .text   ascii   \$\bH
202  0x000020a8 0x00012ca8 5   6    .text   ascii   \v9s\bt
203  0x000020b9 0x00012cb9 4   5    .text   ascii   9s\bu
204  0x000020d6 0x00012cd6 4   5    .text   ascii   MKCS
205  0x000020fe 0x00012cfe 4   5    .text   ascii   \$0H
206  0x00002103 0x00012d03 4   5    .text   ascii   t$8H
207  0x00002161 0x00012d61 9   10   .text   ascii   x ATAUAVH
208  0x0000219e 0x00012d9e 5   6    .text   ascii   \v9k\bt
209  0x000021af 0x00012daf 6   7    .text   ascii   9k\bu\tH
210  0x000021f2 0x00012df2 4   5    .text   ascii   D9gT
211  0x0000223f 0x00012e3f 4   5    .text   ascii   L$&H
212  0x0000224d 0x00012e4d 4   5    .text   ascii   D$,H
213  0x00002255 0x00012e55 4   5    .text   ascii   D$ f
214  0x0000226e 0x00012e6e 4   5    .text   ascii   L$6H
215  0x00002273 0x00012e73 4   5    .text   ascii   D$.H
216  0x00002278 0x00012e78 4   5    .text   ascii   D$6H
217  0x00002281 0x00012e81 4   5    .text   ascii   D$Ff
218  0x000022bc 0x00012ebc 4   5    .text   ascii   T$4H
219  0x000022d3 0x00012ed3 4   5    .text   ascii   D;gT
220  0x000022ed 0x00012eed 4   5    .text   ascii   \$PI
221  0x00002303 0x00012f03 6   7    .text   ascii   A^A]A\
222  0x0000232f 0x00012f2f 4   5    .text   ascii   L$(3
223  0x0000234e 0x00012f4e 4   5    .text   ascii   \$(E
224  0x00002362 0x00012f62 5   6    .text   ascii   \bt"E;
225  0x0000236f 0x00012f6f 4   5    .text   ascii   D$@I
226  0x00002389 0x00012f89 4   5    .text   ascii   D$PA
227  0x000023a3 0x00012fa3 4   5    .text   ascii   D$(D
228  0x000023b8 0x00012fb8 4   5    .text   ascii   L$XL
229  0x000023d0 0x00012fd0 4   5    .text   ascii   L$XA
230  0x000023eb 0x00012feb 4   5    .text   ascii   D$(L
