[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
258  0x0000457a 0x0040517a 4   5    .text   ascii   ZYYd
259  0x000045c1 0x004051c1 5   7    .text   utf8    SVW3ɉ blocks=Basic Latin,Latin Extended-B
260  0x000045fc 0x004051fc 5   6    .text   ascii   rTf;5
261  0x0000461d 0x0040521d 4   6    .text   utf8    f;4ݬ blocks=Basic Latin,Arabic Supplement
262  0x0000462b 0x0040522b 5   7    .text   utf8    !f;4ݬ blocks=Basic Latin,Arabic Supplement
263  0x0000468d 0x0040528d 4   5    .text   ascii   PjZS
264  0x000046b2 0x004052b2 4   5    .text   ascii   h<S@
265  0x000046d3 0x004052d3 4   5    .text   ascii   hLS@
266  0x00004703 0x00405303 4   5    .text   ascii   ZYYd
267  0x00004709 0x00405309 4   5    .text   ascii   h&S@
268  0x000047b0 0x004053b0 6   8    .text   utf8    ^[Y]Í@ blocks=Basic Latin,Latin-1 Supplement
269  0x000049c9 0x004055c9 4   5    .text   ascii   ZYYd
270  0x000049e4 0x004055e4 4   5    .text   ascii   ^[Y]
271  0x00004a1a 0x0040561a 4   6    .text   utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
272  0x00004a49 0x00405649 6   7    .text   ascii   tCh\bX@
273  0x00004a93 0x00405693 4   5    .text   ascii   8\u;
274  0x00004b81 0x00405781 4   6    .text   utf8    ^fǄ] blocks=Basic Latin,Latin Extended-B
275  0x00004bec 0x004057ec 12  26   .text   utf16le kernel32.dll
276  0x00004c08 0x00405808 16  17   .text   ascii   GetLongPathNameW
277  0x00004cd0 0x004058d0 4   5    .text   ascii   hDZ@
278  0x00004cee 0x004058ee 4   5    .text   ascii   hxZ@
279  0x00004dc1 0x004059c1 4   5    .text   ascii   ZYYd
280  0x00004ded 0x004059ed 4   5    .text   ascii   ZYYd
281  0x00004df3 0x004059f3 4   5    .text   ascii   h\bZ@
282  0x00004e10 0x00405a10 25  52   .text   utf16le Software\CodeGear\Locales
283  0x00004e44 0x00405a44 24  50   .text   utf16le Software\Borland\Locales
284  0x00004e78 0x00405a78 31  64   .text   utf16le Software\Borland\Delphi\Locales
285  0x00004ec5 0x00405ac5 4   6    .text   utf8    SV3ɉ blocks=Basic Latin,Latin Extended-B
286  0x00004edc 0x00405adc 5   6    .text   ascii   Uhv[@
287  0x00004f52 0x00405b52 4   5    .text   ascii   ZYYd
288  0x00004f58 0x00405b58 4   5    .text   ascii   h}[@
289  0x00004fd6 0x00405bd6 5   6    .text   ascii   Uh]\@
290  0x00005009 0x00405c09 5   6    .text   ascii   ;,u\bf
291  0x00005049 0x00405c49 4   5    .text   ascii   ZYYd
292  0x0000504f 0x00405c4f 4   5    .text   ascii   hd\@
293  0x00005068 0x00405c68 8   10   .text   utf8    _^[YY]ÐU blocks=Basic Latin,Latin-1 Supplement
294  0x000050d5 0x00405cd5 5   7    .text   utf8    SVW3ۉ blocks=Basic Latin,Arabic
295  0x00005118 0x00405d18 5   6    .text   ascii   Uhk^@
296  0x00005170 0x00405d70 4   5    .text   ascii   8.t\n
297  0x0000517a 0x00405d7a 4   7    .text   utf8    ;\au덅 blocks=Basic Latin,Hangul Syllables
298  0x0000524f 0x00405e4f 4   5    .text   ascii   ZYYd
299  0x00005255 0x00405e55 4   5    .text   ascii   hr^@
300  0x00005299 0x00405e99 6   8    .text   utf8    [ÐSVWU blocks=Basic Latin,Latin-1 Supplement
301  0x000052fa 0x00405efa 6   8    .text   utf8    ]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
302  0x0000531c 0x00405f1c 5   6    .text   ascii   Uh;_@
303  0x00005333 0x00405f33 4   5    .text   ascii   ZYYd
304  0x00005353 0x00405f53 8   11   .text   utf8    _^[YY]Ë\v blocks=Basic Latin,Latin-1 Supplement
305  0x0000538e 0x00405f8e 4   5    .text   ascii   ZYYd
306  0x000053d7 0x00405fd7 4   7    .text   utf8    Y]Ë\v blocks=Basic Latin,Latin-1 Supplement
307  0x000053ed 0x00405fed 5   7    .text   utf8    P\bXÍ@ blocks=Basic Latin,Latin-1 Supplement
308  0x00005506 0x00406106 6   7    .text   ascii   u\bj\bj@
309  0x00005566 0x00406166 5   6    .text   ascii   E\b+E\f
310  0x000055d2 0x004061d2 7   8    .text   ascii   U\b;B4u\a
311  0x000055f0 0x004061f0 5   6    .text   ascii   u\bj$j
312  0x0000560a 0x0040620a 4   6    .text   utf8    uԋU\f blocks=Basic Latin,Cyrillic Supplement
313  0x00005616 0x00406216 4   6    .text   utf8    M܋^\b blocks=Basic Latin,Syriac
314  0x00005763 0x00406363 4   5    .text   ascii   u!SW
315  0x00005830 0x00406430 5   7    .text   utf8    3\tF\bS
316  0x00005845 0x00406445 4   5    .text   ascii   _^[]
317  0x000058e1 0x004064e1 5   6    .text   ascii   UhDe@
318  0x00005938 0x00406538 4   5    .text   ascii   ZYYd
319  0x0000593e 0x0040653e 4   5    .text   ascii   hKe@
320  0x00005a17 0x00406617 4   7    .text   utf8    3#Ĺ@ blocks=Basic Latin,Latin Extended-A
321  0x00005a34 0x00406634 4   7    .text   utf8    3#Թ@ blocks=Basic Latin,Armenian
322  0x00005a3b 0x0040663b 4   7    .text   utf8    3#ع@ blocks=Basic Latin,Arabic
323  0x00005cc1 0x004068c1 5   7    .text   utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
324  0x00005d07 0x00406907 5   6    .text   ascii   Uh[i@
325  0x00005d18 0x00406918 4   5    .text   ascii   u\vSV
326  0x00005d47 0x00406947 4   5    .text   ascii   ZYYd
327  0x00005d4d 0x0040694d 4   5    .text   ascii   hbi@
328  0x00005d64 0x00406964 4   5    .text   ascii   ^[Y]
329  0x00005e39 0x00406a39 9   10   .text   ascii   \bSysUtils
330  0x00005e61 0x00406a61 9   10   .text   ascii   \bSysUtils
331  0x00005e93 0x00406a93 4   7    .text   utf8    Z[Ë0 blocks=Basic Latin,Latin-1 Supplement
332  0x00005f74 0x00406b74 4   5    .text   ascii   ZYYd
333  0x00005f91 0x00406b91 6   7    .text   ascii   _^[YY]
334  0x00005fbc 0x00406bbc 4   6    .text   utf8    _^[ð blocks=Basic Latin,Latin-1 Supplement
335  0x00006057 0x00406c57 5   6    .text   ascii   ;\f$sH
336  0x0000609e 0x00406c9e 5   6    .text   ascii   A;\f$r
337  0x000060a4 0x00406ca4 4   6    .text   utf8    3\tD$
338  0x000060ae 0x00406cae 5   6    .text   ascii   YZ_^[
339  0x0000611c 0x00406d1c 4   5    .text   ascii   SVWQ
340  0x00006140 0x00406d40 6   8    .text   utf8    Z_^[Í@ blocks=Basic Latin,Latin-1 Supplement
