[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
85    0x00002e27 0x10003a27 6   7    .text   ascii   q@;p s
86    0x00002e5b 0x10003a5b 4   7    .text   utf8    U؋U̅ blocks=Basic Latin,Arabic,Combining Diacritical Marks
87    0x00002e7c 0x10003a7c 6   10   .text   utf8    ỦE؋EЃ blocks=Basic Latin,Combining Diacritical Marks,Arabic,Cyrillic
88    0x00002ecd 0x10003acd 8   10   .text   utf8    u܉C8u";w blocks=Basic Latin,Syriac
89    0x00002f21 0x10003b21 4   6    .text   utf8    ]ËA  blocks=Basic Latin,Latin-1 Supplement
90    0x00002f5a 0x10003b5a 5   7    .text   utf8    EЋA B blocks=Basic Latin,Cyrillic
91    0x00002f6c 0x10003b6c 6   7    .text   ascii   q@;p(s
92    0x00002fa0 0x10003ba0 4   7    .text   utf8    U؋U̅ blocks=Basic Latin,Arabic,Combining Diacritical Marks
93    0x00002fc1 0x10003bc1 6   10   .text   utf8    ỦE؋EЃ blocks=Basic Latin,Combining Diacritical Marks,Arabic,Cyrillic
94    0x000030c8 0x10003cc8 4   7    .text   utf8     r܋ʋ blocks=Basic Latin,Syriac,IPA Extensions
95    0x000030f8 0x10003cf8 5   7    .text   utf8    B03҉U blocks=Basic Latin,Cyrillic
96    0x00003306 0x10003f06 4   5    .text   ascii   \f)A@
97    0x0000339f 0x10003f9f 7   8    .text   ascii   Ah;A\se
98    0x00003406 0x10004006 4   5    .text   ascii   ;A\r
99    0x0000349f 0x1000409f 4   6    .text   utf8    E؋Ad blocks=Basic Latin,Arabic
100   0x000034a5 0x100040a5 4   5    .text   ascii   A`9E
101   0x000034c7 0x100040c7 4   7    .text   utf8    E̋KM blocks=Basic Latin,Combining Diacritical Marks
102   0x00003690 0x10004290 7   10   .text   utf8    ]Ћ}̋Ahf blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
103   0x0000369e 0x1000429e 4   5    .text   ascii   AhKu
104   0x000036ad 0x100042ad 4   6    .text   utf8    E؋Ad blocks=Basic Latin,Arabic
105   0x000036b3 0x100042b3 4   5    .text   ascii   A`9E
106   0x00003704 0x10004304 5   6    .text   ascii   ATWPR
107   0x0000370d 0x1000430d 4   6    .text   utf8    U̍Qp blocks=Basic Latin,Combining Diacritical Marks
108   0x00003753 0x10004353 4   5    .text   ascii   AXPR
109   0x000037de 0x100043de 4   6    .text   utf8    U܉q< blocks=Basic Latin,Syriac
110   0x00003927 0x10004527 4   5    .text   ascii   \bO#}
111   0x00003a02 0x10004602 4   7    .text   utf8    r܋M̸ blocks=Basic Latin,Syriac,Combining Diacritical Marks
112   0x00003b27 0x10004727 4   5    .text   ascii   \bO#}
113   0x00003be2 0x100047e2 4   7    .text   utf8    r܋M̸ blocks=Basic Latin,Syriac,Combining Diacritical Marks
114   0x00003c26 0x10004826 6   8    .text   utf8    E̋AD;E blocks=Basic Latin,Combining Diacritical Marks
115   0x00003c2e 0x1000482e 4   5    .text   ascii   vN+E
116   0x00003c33 0x10004833 4   5    .text   ascii   ;A,v
117   0x00003c50 0x10004850 4   5    .text   ascii   ;A0v
118   0x00003c56 0x10004856 5   6    .text   ascii   y4+A0
119   0x00003c6e 0x1000486e 4   6    .text   utf8    ]؋y@ blocks=Basic Latin,Arabic
120   0x00003c84 0x10004884 5   7    .text   utf8    )E؋A@ blocks=Basic Latin,Arabic
121   0x00003c9d 0x1000489d 4   6    .text   utf8    +؉Y@ blocks=Basic Latin,Arabic
122   0x00003d34 0x10004934 4   6    .text   utf8     rًM blocks=Basic Latin,Arabic
123   0x00003d3d 0x1000493d 5   7    .text   utf8    )E܋E\b blocks=Basic Latin,Syriac
124   0x00003d62 0x10004962 5   8    .text   utf8    ]܉}̋} blocks=Basic Latin,Syriac,Combining Diacritical Marks
125   0x00003e3a 0x10004a3a 4   6    .text   utf8     rًM blocks=Basic Latin,Arabic
126   0x00003e6a 0x10004a6a 4   6    .text   utf8    ]ËE\b blocks=Basic Latin,Latin-1 Supplement
127   0x0000415e 0x10004d5e 4   5    .text   ascii   ]\bVW
128   0x00004217 0x10004e17 6   8    .text   utf8    ]ËE\b_^ blocks=Basic Latin,Latin-1 Supplement
129   0x00004235 0x10004e35 4   5    .text   ascii   4SVW
130   0x00004255 0x10004e55 4   6    .text   utf8    MЋH\b blocks=Basic Latin,Cyrillic
131   0x000042ea 0x10004eea 4   6    .text   utf8    3ۍd$ blocks=Basic Latin,Arabic
