ii 592 64
[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
203   0x00002d17 0x00002cd7 9    10           ascii   f\rj>\f~q'>
204   0x00002dd9 0x00002d99 4    7            utf8    %\r宲\v blocks=Basic Latin,CJK Unified Ideographs
205   0x00002e0c 0x00002dcc 4    5            ascii   X}^p
206   0x00002e18 0x00002dd8 5    6            ascii   \acJF?
207   0x00002e2f 0x00002def 6    9            utf8    16˚ˤ?} blocks=Basic Latin,Spacing Modifier Letters
208   0x00002e74 0x00002e34 4    5            ascii   )qDG
209   0x00002e91 0x00002e51 5    6            ascii   6( K&
210   0x00002ec2 0x00002e82 4    5            ascii    nqk
211   0x00002ec9 0x00002e89 4    5            ascii   ?@o%
212   0x00002f46 0x00002f06 6    7            ascii   ~k[rC,
213   0x00002f54 0x00002f14 6    8            utf8    ;=eJVϚ blocks=Basic Latin,Greek and Coptic
214   0x00002f8f 0x00002f4f 6    8            utf8    '\r#JҥH blocks=Basic Latin,Cyrillic
215   0x00002fb4 0x00002f74 5    8            utf8    -\>\a blocks=Basic Latin,Private Use Area
216   0x00002fd4 0x00002f94 4    6            utf8    !KP5
217   0x00002fde 0x00002f9e 4    5            ascii   a?sQ
218   0x00002fe8 0x00002fa8 4    5            ascii   Q#8l
219   0x0000300a 0x00002fca 8    10           utf8    ,u$r\Ȍ^  blocks=Basic Latin,Latin Extended-B
220   0x0000301e 0x00002fde 4    6            utf8    ˪L6< blocks=Spacing Modifier Letters,Basic Latin
221   0x00003086 0x00003046 5    6            ascii   []IVQ
222   0x00003100 0x000030c0 5    7            utf8    %&6ߥS blocks=Basic Latin,NKo
223   0x0000312c 0x000030ec 4    5            ascii   =rsp
224   0x0000314e 0x0000310e 4    5            ascii   \\x4
225   0x00003167 0x00003127 5    6            ascii   t65O_
226   0x00003197 0x00003157 5    6            ascii   e!yS\r
227   0x000031ce 0x0000318e 5    6            ascii   ApMz|
228   0x00003226 0x000031e6 6    7            ascii   n\eul\b#
229   0x00003231 0x000031f1 5    6            ascii   VF9:l
230   0x00003239 0x000031f9 4    6            utf8    AsԌ\t blocks=Basic Latin,Cyrillic Supplement
231   0x00003244 0x00003204 4    6            utf8    8!ӓ_ blocks=Basic Latin,Cyrillic
232   0x00003255 0x00003215 5    6            ascii   o\r#i?
233   0x00003262 0x00003222 5    6            ascii   }\0Rg
234   0x0000328c 0x0000324c 4    5            ascii   dZy\a
