[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
2157 0x000180f2 0x10018cf2 4   5    .text   ascii   t$XH
2158 0x000180f7 0x10018cf7 4   5    .text   ascii   |$`L
2159 0x000180fc 0x10018cfc 4   5    .text   ascii   d$hH
2160 0x00018110 0x10018d10 4   5    .text   ascii   @UWH
2161 0x0001813f 0x10018d3f 5   7    .text   utf8    ̉L$\bH blocks=Combining Diacritical Marks,Basic Latin
2162 0x0001814a 0x10018d4a 4   5    .text   ascii   \$PH
2163 0x00018152 0x10018d52 4   5    .text   ascii   |$(H
2164 0x0001817e 0x10018d7e 4   5    .text   ascii   |$(H
2165 0x00018183 0x10018d83 4   5    .text   ascii   \$PH
2166 0x000181a6 0x10018da6 4   5    .text   ascii   |$(H
2167 0x000181ab 0x10018dab 4   5    .text   ascii   \$PH
2168 0x000181b5 0x10018db5 4   5    .text   ascii   t$03
2169 0x00018248 0x10018e48 5   6    .text   ascii   C\b~;D
2170 0x0001827a 0x10018e7a 4   5    .text   ascii   |$(H
2171 0x0001827f 0x10018e7f 4   5    .text   ascii   \$PH
2172 0x000182b7 0x10018eb7 4   5    .text   ascii   @\b t
2173 0x00018302 0x10018f02 4   5    .text   ascii   D$@H
2174 0x00018307 0x10018f07 4   5    .text   ascii   l$XH
2175 0x0001830c 0x10018f0c 4   5    .text   ascii   t$0H
2176 0x00018311 0x10018f11 4   5    .text   ascii   |$(H
2177 0x00018316 0x10018f16 4   5    .text   ascii   \$PH
2178 0x00018328 0x10018f28 4   5    .text   ascii   \$0H
2179 0x0001832d 0x10018f2d 4   5    .text   ascii   l$8H
2180 0x00018332 0x10018f32 4   5    .text   ascii   t$@H
2181 0x00018337 0x10018f37 4   5    .text   ascii   |$HI
2182 0x0001839d 0x10018f9d 4   5    .text   ascii   |$HH
2183 0x000183a2 0x10018fa2 4   5    .text   ascii   t$@H
2184 0x000183a7 0x10018fa7 4   5    .text   ascii   l$8H
2185 0x000183ac 0x10018fac 4   5    .text   ascii   \$0H
2186 0x000183cb 0x10018fcb 4   5    .text   ascii   \$0H
2187 0x000183d0 0x10018fd0 4   5    .text   ascii   l$8H
2188 0x000183d5 0x10018fd5 4   5    .text   ascii   t$@H
2189 0x000183da 0x10018fda 4   5    .text   ascii   |$HI
2190 0x0001840b 0x1001900b 4   5    .text   ascii   @t\fH
2191 0x00018454 0x10019054 4   5    .text   ascii   8*u)
2192 0x0001845b 0x1001905b 4   5    .text   ascii   @t\fH
2193 0x00018483 0x10019083 4   5    .text   ascii   |$HH
2194 0x00018488 0x10019088 4   5    .text   ascii   t$@H
2195 0x0001848d 0x1001908d 4   5    .text   ascii   l$8H
2196 0x00018492 0x10019092 4   5    .text   ascii   \$0H
2197 0x000184f1 0x100190f1 4   5    .text   ascii   L$XH
2198 0x00018500 0x10019100 4   5    .text   ascii   l$lD
2199 0x00018507 0x10019107 4   5    .text   ascii   l$`D
2200 0x00018516 0x10019116 4   5    .text   ascii   l$@@
2201 0x0001853e 0x1001913e 4   5    .text   ascii   H;\r+
2202 0x00018547 0x10019147 4   5    .text   ascii   L$pH
2203 0x00018553 0x10019153 5   6    .text   ascii   D$xt%
2204 0x00018575 0x10019175 4   5    .text   ascii   D$pH
2205 0x0001857a 0x1001917a 5   6    .text   ascii   D$xH;
2206 0x000185cd 0x100191cd 4   5    .text   ascii   L$pH
2207 0x00018709 0x10019309 4   5    .text   ascii   |$XL
2208 0x00018746 0x10019346 4   5    .text   ascii   L$LD
2209 0x0001874b 0x1001934b 4   5    .text   ascii   L$DE
2210 0x000187e0 0x100193e0 4   5    .text   ascii   L$hD
2211 0x000187e5 0x100193e5 4   5    .text   ascii   L$`D
2212 0x000187ea 0x100193ea 4   5    .text   ascii   L$HE
2213 0x00018803 0x10019403 4   5    .text   ascii    tA@
2214 0x00018809 0x10019409 4   5    .text   ascii   #t1@
2215 0x0001880f 0x1001940f 4   5    .text   ascii   +t"@
2216 0x00018872 0x10019472 4   6    .text   utf8    ؉D$` blocks=Arabic,Basic Latin
2217 0x00018886 0x10019486 7   10   .text   utf8    ōDHЉD$` blocks=Latin Extended-A,Basic Latin,Cyrillic
2218 0x0001889f 0x1001949f 4   5    .text   ascii   *u D
2219 0x000188d8 0x100194d8 4   5    .text   ascii   ItE@
2220 0x000188de 0x100194de 4   5    .text   ascii   ht6@
2221 0x0001898a 0x1001958a 4   5    .text   ascii   L$d@
2222 0x00018993 0x10019593 4   5    .text   ascii   T$pD
2223 0x000189aa 0x100195aa 4   5    .text   ascii   @t\rI
2224 0x000189fd 0x100195fd 4   5    .text   ascii   @t*I
2225 0x00018a09 0x10019609 4   5    .text   ascii   D$dA
2226 0x00018a19 0x10019619 5   6    .text   ascii   t$LE3
2227 0x00018a54 0x10019654 4   5    .text   ascii   D$dD
2228 0x00018a5b 0x1001965b 5   6    .text   ascii   D$LE3
2229 0x00018a75 0x10019675 4   5    .text   ascii   D$dA
2230 0x00018a85 0x10019685 5   6    .text   ascii   t$LE3
2231 0x00018ae7 0x100196e7 4   5    .text   ascii   L$DM
2232 0x00018b30 0x10019730 4   5    .text   ascii   t$@H
2233 0x00018b4c 0x1001974c 6   7    .text   ascii   |$Xt>H
2234 0x00018b6b 0x1001976b 4   5    .text   ascii   t$@+
2235 0x00018b97 0x10019797 4   5    .text   ascii   t$@3
2236 0x00018be5 0x100197e5 6   7    .text   ascii   |$Xt:H
2237 0x00018bfb 0x100197fb 5   7    .text   utf8    \tt$@H
2238 0x00018c47 0x10019847 8   10   .text   utf8    t$@+ˉL$D blocks=Basic Latin,Spacing Modifier Letters
2239 0x00018c5b 0x1001985b 4   5    .text   ascii   |$XH
2240 0x00018cc9 0x100198c9 4   5    .text   ascii   guDA
2241 0x00018d12 0x10019912 4   5    .text   ascii   D$XH
2242 0x00018d29 0x10019929 4   5    .text   ascii   D$XH
2243 0x00018d3f 0x1001993f 4   5    .text   ascii   L$pH
2244 0x00018d50 0x10019950 5   7    .text   utf8    ωL$(H blocks=Greek and Coptic,Basic Latin
2245 0x00018d88 0x10019988 4   5    .text   ascii   T$pH
2246 0x00018da8 0x100199a8 4   5    .text   ascii   T$pH
2247 0x00018daf 0x100199af 6   8    .text   utf8    Ѐ;-u\tA blocks=Cyrillic,Basic Latin
2248 0x00018dbf 0x100199bf 4   5    .text   ascii   t$@3
2249 0x00018de1 0x100199e1 4   5    .text   ascii   D$HA
2250 0x00018df1 0x100199f1 4   5    .text   ascii   D$HA
2251 0x00018e18 0x10019a18 4   5    .text   ascii   D$lE
2252 0x00018e29 0x10019a29 4   5    .text   ascii   D$P0
2253 0x00018e2e 0x10019a2e 4   5    .text   ascii   D$QA
2254 0x00018e43 0x10019a43 4   5    .text   ascii   D$HA
2255 0x00018e54 0x10019a54 4   5    .text   ascii   D$HA
2256 0x00018e64 0x10019a64 4   5    .text   ascii   |$XH
2257 0x00018e7a 0x10019a7a 4   5    .text   ascii   |$XH
2258 0x00018e86 0x10019a86 4   5    .text   ascii    t%A
2259 0x00018e95 0x10019a95 4   5    .text   ascii   |$XH
2260 0x00018eba 0x10019aba 5   6    .text   ascii   |$XHc
2261 0x00018ed2 0x10019ad2 4   5    .text   ascii   @t\rH
2262 0x00018f0c 0x10019b0c 4   5    .text   ascii   |$lH
2263 0x00018f1c 0x10019b1c 6   8    .text   utf8    DID$HA
2264 0x00018f6f 0x10019b6f 5   6    .text   ascii   D$Ds-
2265 0x00018f7e 0x10019b7e 4   5    .text   ascii   t$@H
2266 0x00018fb3 0x10019bb3 4   5    .text   ascii   @tCA
2267 0x00018fc3 0x10019bc3 4   5    .text   ascii   D$P-
2268 0x00018fd9 0x10019bd9 4   5    .text   ascii   D$P+
2269 0x00018fef 0x10019bef 4   5    .text   ascii   D$P 
2270 0x00019004 0x10019c04 8   9    .text   ascii   l$`+l$D+
2271 0x00019015 0x10019c15 4   5    .text   ascii   L$LM
2272 0x00019026 0x10019c26 4   5    .text   ascii   L$LH
2273 0x0001902b 0x10019c2b 4   5    .text   ascii   L$PM
2274 0x00019046 0x10019c46 4   5    .text   ascii   L$LM
2275 0x00019058 0x10019c58 5   6    .text   ascii   |$Dtd
2276 0x0001909b 0x10019c9b 4   5    .text   ascii   L$LH
2277 0x000190c3 0x10019cc3 4   5    .text   ascii   L$LM
2278 0x000190d5 0x10019cd5 4   5    .text   ascii   t$LE
2279 0x000190e5 0x10019ce5 4   5    .text   ascii   L$LM
2280 0x000190f6 0x10019cf6 4   5    .text   ascii   t$LH
2281 0x00019118 0x10019d18 5   6    .text   ascii   D$dE3
2282 0x0001913f 0x10019d3f 5   6    .text   ascii   D$dE3
2283 0x000192fd 0x10019efd 4   5    .text   ascii   T$PD
2284 0x00019315 0x10019f15 4   5    .text   ascii   l$4D
2285 0x0001931a 0x10019f1a 4   5    .text   ascii   l$<H
2286 0x0001932a 0x10019f2a 4   5    .text   ascii   D$XH
2287 0x0001932f 0x10019f2f 4   5    .text   ascii   D$p^
2288 0x0001944e 0x1001a04e 4   5    .text   ascii   \$PM
2289 0x000194c5 0x1001a0c5 4   5    .text   ascii   H;\r$
2290 0x00019527 0x1001a127 4   5    .text   ascii   D$\bH
2291 0x0001957a 0x1001a17a 4   5    .text   ascii   l$0x
2292 0x000195b6 0x1001a1b6 5   6    .text   ascii   \$Pff
2293 0x0001968a 0x1001a28a 4   5    .text   ascii   \$P@
2294 0x000196a3 0x1001a2a3 4   5    .text   ascii   <6u#
2295 0x000196e5 0x1001a2e5 11  12   .text   ascii   <dt'<it#<ot
2296 0x000196f1 0x1001a2f1 7   8    .text   ascii   <xt\e<Xt
2297 0x00019707 0x1001a307 4   5    .text   ascii   \$PA
2298 0x00019723 0x1001a323 4   5    .text   ascii   \$P@
2299 0x0001975d 0x1001a35d 4   5    .text   ascii   \$PA
2300 0x00019768 0x1001a368 4   5    .text   ascii   \$P@
2301 0x00019773 0x1001a373 4   5    .text   ascii   \$PE
2302 0x00019785 0x1001a385 4   5    .text   ascii   |$4@
2303 0x0001978a 0x1001a38a 4   5    .text   ascii   l$@D
2304 0x0001979d 0x1001a39d 4   5    .text   ascii   t$hE
2305 0x000197ad 0x1001a3ad 4   5    .text   ascii   |$DL
2306 0x000197b9 0x1001a3b9 4   5    .text   ascii   t$dH
2307 0x00019801 0x1001a401 4   5    .text   ascii   L$PA
2308 0x00019808 0x1001a408 7   8    .text   ascii   <St\t<Ct
2309 0x0001981c 0x1001a41c 4   5    .text   ascii   L$PE
2310 0x0001983c 0x1001a43c 4   5    .text   ascii   cthA
2311 0x00019842 0x1001a442 4   5    .text   ascii   {tbD
2312 0x00019847 0x1001a447 5   6    .text   ascii   d$0ff
2313 0x00019890 0x1001a490 4   5    .text   ascii   L$PD
2314 0x00019895 0x1001a495 4   5    .text   ascii   T$8D
2315 0x0001989a 0x1001a49a 4   5    .text   ascii   d$0D
2316 0x000198d0 0x1001a4d0 4   5    .text   ascii   L$PD
2317 0x000198e9 0x1001a4e9 4   5    .text   ascii   D$hE
2318 0x0001990e 0x1001a50e 4   5    .text   ascii   t$XA
2319 0x0001991a 0x1001a51a 4   5    .text   ascii   T$DE
2320 0x00019925 0x1001a525 4   5    .text   ascii   ct\fA
2321 0x00019931 0x1001a531 4   5    .text   ascii   {uGL
2322 0x000199c8 0x1001a5c8 4   5    .text   ascii   T$DE
2323 0x000199d7 0x1001a5d7 4   5    .text   ascii   l$BA
2324 0x000199ed 0x1001a5ed 4   5    .text   ascii   l$BA
2325 0x00019a19 0x1001a619 4   5    .text   ascii   L$PM
2326 0x00019a2c 0x1001a62c 4   5    .text   ascii   l$B3
2327 0x00019a85 0x1001a685 4   5    .text   ascii   -ud@
2328 0x00019a91 0x1001a691 5   6    .text   ascii   <]tWL
2329 0x00019b21 0x1001a721 4   5    .text   ascii   L$PA
2330 0x00019b5a 0x1001a75a 4   5    .text   ascii   l$0H
2331 0x00019b6c 0x1001a76c 6   7    .text   ascii   l$0t\nH
2332 0x00019b96 0x1001a796 6   8    .text   utf8    \tL$Dtq
2333 0x00019ba5 0x1001a7a5 4   5    .text   ascii   l$0x
2334 0x00019bff 0x1001a7ff 6   7    .text   ascii   l$0t\nH
2335 0x00019c2c 0x1001a82c 4   5    .text   ascii   |$lA
2336 0x00019c57 0x1001a857 4   5    .text   ascii   l$0H
2337 0x00019cd0 0x1001a8d0 4   5    .text   ascii   l$0x
2338 0x00019d90 0x1001a990 4   5    .text   ascii   l$0H
2339 0x00019db6 0x1001a9b6 4   5    .text   ascii   +uUD
2340 0x00019dc3 0x1001a9c3 6   7    .text   ascii   T$Du\rE
2341 0x00019de1 0x1001a9e1 4   5    .text   ascii   L$0x
2342 0x00019e28 0x1001aa28 4   5    .text   ascii   L$0x
2343 0x00019e50 0x1001aa50 4   5    .text   ascii   D$4@
2344 0x00019e56 0x1001aa56 4   5    .text   ascii   xta@
2345 0x00019e5c 0x1001aa5c 4   5    .text   ascii   Xt[A
2346 0x00019e75 0x1001aa75 10  12   .text   utf8    D$DA+ŉD$Du blocks=Basic Latin,Latin Extended-A
2347 0x00019e85 0x1001aa85 4   5    .text   ascii   l$dA
2348 0x00019e99 0x1001aa99 6   7    .text   ascii   L$0t\nH
2349 0x00019ec2 0x1001aac2 4   5    .text   ascii   L$0x
2350 0x00019efb 0x1001aafb 4   5    .text   ascii   D$D}
2351 0x00019f04 0x1001ab04 4   5    .text   ascii   l$dD
2352 0x00019f09 0x1001ab09 4   5    .text   ascii   l$`A
2353 0x00019f3e 0x1001ab3e 4   5    .text   ascii   +ueD
2354 0x00019f4a 0x1001ab4a 4   5    .text   ascii   T$Du
2355 0x00019f69 0x1001ab69 4   5    .text   ascii   D$0x
2356 0x00019f7e 0x1001ab7e 4   5    .text   ascii   |$4H
2357 0x00019f9c 0x1001ab9c 4   5    .text   ascii   l$dD
2358 0x00019fa8 0x1001aba8 4   5    .text   ascii   l$`E
2359 0x00019fc0 0x1001abc0 4   5    .text   ascii   \$xA
2360 0x00019fc6 0x1001abc6 4   5    .text   ascii   xt5A
2361 0x00019fcc 0x1001abcc 4   5    .text   ascii   pt/@
2362 0x0001a024 0x1001ac24 4   5    .text   ascii   \$x@
2363 0x0001a033 0x1001ac33 4   5    .text   ascii   \$x@
2364 0x0001a050 0x1001ac50 4   6    .text   utf8    ك|$h blocks=Arabic,Basic Latin
2365 0x0001a058 0x1001ac58 5   6    .text   ascii   \$xt\a
2366 0x0001a0a4 0x1001aca4 4   5    .text   ascii   D$0t
2367 0x0001a0c3 0x1001acc3 4   5    .text   ascii   \$xE
2368 0x0001a0e7 0x1001ace7 4   5    .text   ascii   xt6A
2369 0x0001a0ed 0x1001aced 4   5    .text   ascii   pt0@
2370 0x0001a153 0x1001ad53 4   5    .text   ascii   |$4A
2371 0x0001a1ad 0x1001adad 6   7    .text   ascii   D$0t\nH
2372 0x0001a1eb 0x1001adeb 5   7    .text   utf8    ҋD$0D blocks=Cyrillic,Basic Latin
2373 0x0001a203 0x1001ae03 4   5    .text   ascii   \$PH
2374 0x0001a21a 0x1001ae1a 4   5    .text   ascii   l$0H
2375 0x0001a223 0x1001ae23 4   5    .text   ascii   \$PH
2376 0x0001a237 0x1001ae37 4   5    .text   ascii   \$PH
2377 0x0001a249 0x1001ae49 4   5    .text   ascii   l$0H
2378 0x0001a25f 0x1001ae5f 4   5    .text   ascii   \$PH
2379 0x0001a271 0x1001ae71 4   5    .text   ascii   l$0H
2380 0x0001a28a 0x1001ae8a 4   5    .text   ascii   -u\rH
2381 0x0001a29c 0x1001ae9c 4   5    .text   ascii   +uAD
2382 0x0001a2a1 0x1001aea1 4   5    .text   ascii   |$DD
2383 0x0001a2a6 0x1001aea6 4   5    .text   ascii   l$0A
2384 0x0001a2e2 0x1001aee2 4   5    .text   ascii   l$0D
2385 0x0001a2e7 0x1001aee7 4   5    .text   ascii   |$DE
2386 0x0001a309 0x1001af09 6   7    .text   ascii   l$pfff
2387 0x0001a3a9 0x1001afa9 4   5    .text   ascii   D$XH
2388 0x0001a3ae 0x1001afae 4   5    .text   ascii   l$pA
2389 0x0001a3da 0x1001afda 4   5    .text   ascii   D$4@
2390 0x0001a444 0x1001b044 4   5    .text   ascii   D$4L
2391 0x0001a449 0x1001b049 4   5    .text   ascii   t$XL
2392 0x0001a44e 0x1001b04e 4   5    .text   ascii   d$pH
2393 0x0001a4d9 0x1001b0d9 4   5    .text   ascii   D$XL
2394 0x0001a592 0x1001b192 4   5    .text   ascii   D$XL
2395 0x0001a597 0x1001b197 4   5    .text   ascii   d$pA
2396 0x0001a5c3 0x1001b1c3 4   5    .text   ascii   D$4@
2397 0x0001a610 0x1001b210 4   5    .text   ascii   t$XH
2398 0x0001a61f 0x1001b21f 4   5    .text   ascii   eu}H
2399 0x0001a697 0x1001b297 4   5    .text   ascii   D$XL
2400 0x0001a69c 0x1001b29c 4   5    .text   ascii   d$pA
2401 0x0001a751 0x1001b351 4   5    .text   ascii   D$XL
2402 0x0001a75d 0x1001b35d 4   5    .text   ascii   +u<A
2403 0x0001a799 0x1001b399 4   5    .text   ascii   D$4@
2404 0x0001a7c1 0x1001b3c1 4   5    .text   ascii   t$XH
2405 0x0001a847 0x1001b447 4   5    .text   ascii   D$XL
2406 0x0001a84c 0x1001b44c 4   5    .text   ascii   d$pA
2407 0x0001a878 0x1001b478 4   5    .text   ascii   D$4@
2408 0x0001a895 0x1001b495 6   7    .text   ascii   l$0t\nH
2409 0x0001a91e 0x1001b51e 4   5    .text   ascii   l$0E
2410 0x0001a96f 0x1001b56f 4   5    .text   ascii   l$0H
2411 0x0001a98c 0x1001b58c 4   5    .text   ascii   l$0H
2412 0x0001a9a9 0x1001b5a9 4   5    .text   ascii   l$0H
2413 0x0001a9dc 0x1001b5dc 4   5    .text   ascii   l$0x
2414 0x0001aabe 0x1001b6be 4   5    .text   ascii   t$Xf
2415 0x0001aba0 0x1001b7a0 4   5    .text   ascii   t$XA
2416 0x0001abaa 0x1001b7aa 4   5    .text   ascii   t$XA
2417 0x0001ad49 0x1001b949 27  28   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
2418 0x0001ad6d 0x1001b96d 25  26   .text   ascii   \a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a\a
2419 0x0001ad8b 0x1001b98b 10  11   .text   ascii   \a\a\a\a\a\a\a\a\a\a
2420 0x0001ae09 0x1001ba09 4   5    .text   ascii   |$HH
2421 0x0001ae10 0x1001ba10 4   5    .text   ascii   8csm
2422 0x0001ae1e 0x1001ba1e 4   5    .text   ascii   @ = 
2423 0x0001ae4b 0x1001ba4b 6   7    .text   ascii   \$@t4H
2424 0x0001ae77 0x1001ba77 4   5    .text   ascii   \$@H
2425 0x0001ae7c 0x1001ba7c 4   5    .text   ascii   |$HH
2426 0x0001ae86 0x1001ba86 4   5    .text   ascii   \$@H
2427 0x0001ae8b 0x1001ba8b 4   5    .text   ascii   |$H3
2428 0x0001af09 0x1001bb09 4   5    .text   ascii   \$pH
2429 0x0001af0e 0x1001bb0e 4   5    .text   ascii   t$`H
2430 0x0001af13 0x1001bb13 4   5    .text   ascii   |$XL
2431 0x0001af18 0x1001bb18 4   5    .text   ascii   d$PI
2432 0x0001afa4 0x1001bba4 4   5    .text   ascii   D$@L
2433 0x0001afba 0x1001bbba 4   5    .text   ascii   T$0H
2434 0x0001afc6 0x1001bbc6 4   5    .text   ascii   L$8t
2435 0x0001afe0 0x1001bbe0 4   5    .text   ascii   \$@H
2436 0x0001afe5 0x1001bbe5 4   5    .text   ascii   D$0H
2437 0x0001afef 0x1001bbef 6   7    .text   ascii   H9D$8t
2438 0x0001b00c 0x1001bc0c 4   5    .text   ascii   \$@H
2439 0x0001b011 0x1001bc11 4   5    .text   ascii   D$8A
2440 0x0001b037 0x1001bc37 4   5    .text   ascii   T$0H
2441 0x0001b047 0x1001bc47 4   5    .text   ascii   \$@H
2442 0x0001b0e7 0x1001bce7 4   5    .text   ascii   l$ht
2443 0x0001b150 0x1001bd50 4   5    .text   ascii   l$hL
2444 0x0001b155 0x1001bd55 4   5    .text   ascii   d$PH
2445 0x0001b15a 0x1001bd5a 4   5    .text   ascii   |$XH
2446 0x0001b15f 0x1001bd5f 4   5    .text   ascii   t$`H
2447 0x0001b164 0x1001bd64 4   5    .text   ascii   \$pH
2448 0x0001b183 0x1001bd83 5   6    .text   ascii   r*fff
2449 0x0001b234 0x1001be34 5   6    .text   ascii   r)fff
2450 0x0001b2dc 0x1001bedc 4   5    .text   ascii   T$PI
2451 0x0001b30f 0x1001bf0f 4   5    .text   ascii   D$VH
2452 0x0001b31b 0x1001bf1b 4   5    .text   ascii   D$p 
2453 0x0001b323 0x1001bf23 8   9    .text   ascii   t$Vt6fff
2454 0x0001b35c 0x1001bf5c 4   6    .text   utf8    uҋE\f blocks=Basic Latin,Cyrillic
2455 0x0001b362 0x1001bf62 4   5    .text   ascii   \$8L
2456 0x0001b373 0x1001bf73 5   7    .text   utf8    ωD$(H blocks=Greek and Coptic,Basic Latin
2457 0x0001b39c 0x1001bf9c 4   5    .text   ascii   D$8H
2458 0x0001b3a8 0x1001bfa8 4   5    .text   ascii   |$0H
2459 0x0001b3ad 0x1001bfad 4   5    .text   ascii   D$(L
2460 0x0001b3b2 0x1001bfb2 4   5    .text   ascii   L$pD
2461 0x0001b3b8 0x1001bfb8 5   7    .text   utf8    3ɉ|$  blocks=Basic Latin,Latin Extended-B
2462 0x0001b3ce 0x1001bfce 4   5    .text   ascii   D$8H
2463 0x0001b3da 0x1001bfda 4   5    .text   ascii   |$0H
2464 0x0001b3df 0x1001bfdf 4   5    .text   ascii   D$(L
2465 0x0001b3e4 0x1001bfe4 4   5    .text   ascii   L$pA
2466 0x0001b3ed 0x1001bfed 5   7    .text   utf8    3ɉ|$  blocks=Basic Latin,Latin Extended-B
2467 0x0001b4e6 0x1001c0e6 4   5    .text   ascii   \$@H
2468 0x0001b52b 0x1001c12b 5   6    .text   ascii   \$0H;
2469 0x0001b54b 0x1001c14b 5   6    .text   ascii   L$0H;
2470 0x0001b597 0x1001c197 4   5    .text   ascii   \$@H
2471 0x0001b59c 0x1001c19c 4   5    .text   ascii   |$HH
2472 0x0001b5d6 0x1001c1d6 4   5    .text   ascii   \$0H
2473 0x0001b5db 0x1001c1db 4   5    .text   ascii   l$8H
2474 0x0001b5e0 0x1001c1e0 4   5    .text   ascii   t$@H
2475 0x0001b5e5 0x1001c1e5 5   6    .text   ascii   |$H@2
2476 0x0001b608 0x1001c208 4   5    .text   ascii   L;%a
2477 0x0001b627 0x1001c227 4   6    .text   utf8    H;-¦ blocks=Basic Latin,Latin-1 Supplement
2478 0x0001b630 0x1001c230 4   5    .text   ascii   l$8t
2479 0x0001b6c9 0x1001c2c9 4   5    .text   ascii   d$ H
2480 0x0001b6ce 0x1001c2ce 4   5    .text   ascii   |$HH
2481 0x0001b6d3 0x1001c2d3 4   5    .text   ascii   t$@H
2482 0x0001b6d8 0x1001c2d8 4   5    .text   ascii   \$0H
2483 0x0001b6f3 0x1001c2f3 4   5    .text   ascii   D$8I
2484 0x0001b744 0x1001c344 4   6    .text   utf8    H+Ӊk blocks=Basic Latin,Cyrillic
2485 0x0001b7a3 0x1001c3a3 4   5    .text   ascii   d$P3
2486 0x0001b7aa 0x1001c3aa 4   5    .text   ascii   l$HL
2487 0x0001b80f 0x1001c40f 6   7    .text   ascii   @8l$&H
2488 0x0001b816 0x1001c416 6   7    .text   ascii   T$&t;f
2489 0x0001b851 0x1001c451 4   5    .text   ascii   @8*u
2490 0x0001b954 0x1001c554 4   6    .text   utf8    H+Ӊk blocks=Basic Latin,Cyrillic
2491 0x0001b9f0 0x1001c5f0 4   5    .text   ascii   A8)M
2492 0x0001b9f6 0x1001c5f6 5   6    .text   ascii   tHfff
2493 0x0001ba3b 0x1001c63b 4   5    .text   ascii   A8(u
2494 0x0001badb 0x1001c6db 4   5    .text   ascii   d$PL
2495 0x0001bae0 0x1001c6e0 4   5    .text   ascii   l$HH
2496 0x0001bae5 0x1001c6e5 4   5    .text   ascii   |$XH
2497 0x0001baea 0x1001c6ea 4   5    .text   ascii   t$`H
2498 0x0001baff 0x1001c6ff 5   6    .text   ascii   L$8H3
2499 0x0001bb16 0x1001c716 4   5    .text   ascii   \$PH
2500 0x0001bb1b 0x1001c71b 4   5    .text   ascii   t$XH
2501 0x0001bb20 0x1001c720 4   5    .text   ascii   |$`L
2502 0x0001bb25 0x1001c725 4   5    .text   ascii   d$hL
2503 0x0001bb2a 0x1001c72a 4   5    .text   ascii   l$@L
2504 0x0001bc20 0x1001c820 5   7    .text   utf8    Ӊ\$ L blocks=Cyrillic,Basic Latin
2505 0x0001bc50 0x1001c850 4   6    .text   utf8    Ӊ\$  blocks=Cyrillic,Basic Latin
2506 0x0001bc75 0x1001c875 6   8    .text   utf8    ߉\$ ff blocks=NKo,Basic Latin
2507 0x0001bd09 0x1001c909 4   5    .text   ascii   \$PH
2508 0x0001bd0e 0x1001c90e 4   5    .text   ascii   t$XH
2509 0x0001bd13 0x1001c913 4   5    .text   ascii   |$`L
2510 0x0001bd18 0x1001c918 4   5    .text   ascii   d$hL
2511 0x0001bd1d 0x1001c91d 4   5    .text   ascii   l$@L
2512 0x0001bd22 0x1001c922 4   5    .text   ascii   t$8H
2513 0x0001bd8d 0x1001c98d 4   5    .text   ascii   |$HH
2514 0x0001be90 0x1001ca90 4   5    .text   ascii   \$0H
2515 0x0001be95 0x1001ca95 4   5    .text   ascii   l$8H
2516 0x0001bef1 0x1001caf1 4   5    .text   ascii   |$HH
2517 0x0001bef6 0x1001caf6 4   5    .text   ascii   t$@H
2518 0x0001befb 0x1001cafb 4   5    .text   ascii   l$8H
2519 0x0001bf00 0x1001cb00 4   5    .text   ascii   \$0H
2520 0x0001c187 0x1001cd87 4   5    .text   ascii   T$\bL
2521 0x0001c194 0x1001cd94 5   6    .text   ascii   t.fff
2522 0x0001c1e8 0x1001cde8 4   5    .text   ascii   t/ff
2523 0x0001c21e 0x1001ce1e 5   6    .text   ascii   L$ H3
2524 0x0001c232 0x1001ce32 5   6    .text   ascii   L$ H3
2525 0x0001c277 0x1001ce77 4   5    .text   ascii   L$\bL
2526 0x0001c284 0x1001ce84 5   6    .text   ascii   t.fff
2527 0x0001c2d6 0x1001ced6 5   6    .text   ascii   u1fff
2528 0x0001c30e 0x1001cf0e 5   6    .text   ascii   L$ H3
2529 0x0001c32c 0x1001cf2c 4   5    .text   ascii   d$`L
2530 0x0001c331 0x1001cf31 4   5    .text   ascii   l$XL
2531 0x0001c336 0x1001cf36 4   5    .text   ascii   t$PE
2532 0x0001c354 0x1001cf54 4   5    .text   ascii   D$@L
2533 0x0001c367 0x1001cf67 4   5    .text   ascii   T$0L
2534 0x0001c373 0x1001cf73 5   6    .text   ascii   \$8t%
2535 0x0001c38d 0x1001cf8d 4   5    .text   ascii   \$8L
2536 0x0001c395 0x1001cf95 4   5    .text   ascii   D$0H
2537 0x0001c39a 0x1001cf9a 5   6    .text   ascii   D$@L;
2538 0x0001c3bb 0x1001cfbb 4   5    .text   ascii   T$0H
2539 0x0001c3c0 0x1001cfc0 4   5    .text   ascii   D$8H
2540 0x0001c3e9 0x1001cfe9 4   5    .text   ascii   T$0H
2541 0x0001c3f9 0x1001cff9 4   5    .text   ascii   T$0M
2542 0x0001c462 0x1001d062 4   5    .text   ascii   t$pH
2543 0x0001c467 0x1001d067 4   5    .text   ascii   |$hA
2544 0x0001c480 0x1001d080 4   5    .text   ascii   D$0@
2545 0x0001c4bc 0x1001d0bc 4   5    .text   ascii   l$xu
2546 0x0001c516 0x1001d116 4   5    .text   ascii   0t\bA
