[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
264  0x0000b2d0 0x0040bed0 5   6    .text   ascii   t\nj\fV
265  0x0000b341 0x0040bf41 4   5    .text   ascii   tFh(
266  0x0000b366 0x0040bf66 4   5    .text   ascii   =(CA
267  0x0000b3fb 0x0040bffb 4   5    .text   ascii   \r|FA
268  0x0000b44f 0x0040c04f 4   5    .text   ascii   \r|FA
269  0x0000b46f 0x0040c06f 4   5    .text   ascii   5,CA
270  0x0000b478 0x0040c078 4   5    .text   ascii   h\bCA
271  0x0000b48a 0x0040c08a 4   5    .text   ascii   5\fCA
272  0x0000b496 0x0040c096 4   5    .text   ascii   5\fCA
273  0x0000b4a8 0x0040c0a8 4   5    .text   ascii   5(CA
274  0x0000b4bb 0x0040c0bb 4   5    .text   ascii   h\bCA
275  0x0000b4dc 0x0040c0dc 4   5    .text   ascii   5\fCA
276  0x0000b552 0x0040c152 4   5    .text   ascii   Y_^[
277  0x0000b590 0x0040c190 5   6    .text   ascii   t>+}\f
278  0x0000b5bb 0x0040c1bb 4   5    .text   ascii   8csm
279  0x0000b5e1 0x0040c1e1 4   5    .text   ascii   Y_^[
280  0x0000b629 0x0040c229 7   8    .text   ascii   M\f;J\fr\n
281  0x0000b6b9 0x0040c2b9 4   5    .text   ascii   =9CA
282  0x0000b6dd 0x0040c2dd 6   7    .text   ascii   u"h<CA
283  0x0000b6ee 0x0040c2ee 4   5    .text   ascii   hHCA
284  0x0000b705 0x0040c305 4   5    .text   ascii   \r<CA
285  0x0000b70b 0x0040c30b 4   5    .text   ascii   \r@CA
286  0x0000b711 0x0040c311 4   5    .text   ascii   \rDCA
287  0x0000b717 0x0040c317 4   5    .text   ascii   \rHCA
288  0x0000b71d 0x0040c31d 4   5    .text   ascii   \rLCA
289  0x0000b723 0x0040c323 4   5    .text   ascii   \rPCA
290  0x0000b73c 0x0040c33c 4   5    .text   ascii   j\bh 
291  0x0000b7ca 0x0040c3ca 4   5    .text   ascii   Y_^[
292  0x0000b7e0 0x0040c3e0 7   9    .text   utf8    u\t394CA
293  0x0000b7f1 0x0040c3f1 4   5    .text   ascii   =8CA
294  0x0000b819 0x0040c419 4   5    .text   ascii   =<CA
295  0x0000b820 0x0040c420 4   5    .text   ascii   u\bu\a
296  0x0000b82a 0x0040c42a 5   6    .text   ascii   \vh<CA
297  0x0000b83d 0x0040c43d 4   5    .text   ascii   #E\b]
298  0x0000b8a7 0x0040c4a7 4   5    .text   ascii   \rTDA
299  0x0000b8b9 0x0040c4b9 4   5    .text   ascii   5HDA
300  0x0000b8bf 0x0040c4bf 4   5    .text   ascii   =DDA
301  0x0000b8cd 0x0040c4cd 4   5    .text   ascii   \rdDA
302  0x0000b8e2 0x0040c4e2 4   5    .text   ascii   %8DA
303  0x0000b8e9 0x0040c4e9 4   5    .text   ascii   -4DA
304  0x0000b94b 0x0040c54b 4   6    .text   utf8    ǀlCA blocks=Latin Extended-B,Basic Latin
305  0x0000b95c 0x0040c55c 4   5    .text   ascii   \r\f@A
306  0x0000b96c 0x0040c56c 4   5    .text   ascii   \r\b@A
307  0x0000b9df 0x0040c5df 4   5    .text   ascii   t\vh+
308  0x0000ba71 0x0040c671 5   7    .text   utf8    Eܡ0CA blocks=Basic Latin,Syriac
309  0x0000ba88 0x0040c688 4   5    .text   ascii   \r0CA
310  0x0000bae7 0x0040c6e7 5   6    .text   ascii   9>t\eV
311  0x0000bb7e 0x0040c77e 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
312  0x0000bbac 0x0040c7ac 4   5    .text   ascii   Y_^[
313  0x0000bd3f 0x0040c93f 5   6    .text   ascii   f9\bu*
314  0x0000bd48 0x0040c948 4   6    .text   utf8    ȁ9PE blocks=Latin Extended-B,Basic Latin
315  0x0000bd88 0x0040c988 4   5    .text   ascii   >csm
316  0x0000bdb2 0x0040c9b2 4   5    .text   ascii   t\b_3
317  0x0000bdd2 0x0040c9d2 5   7    .text   utf8    ̃%tFA blocks=Combining Diacritical Marks,Basic Latin
318  0x0000be2d 0x0040ca2d 5   6    .text   ascii   Y__^[
319  0x0000be4f 0x0040ca4f 5   6    .text   ascii   u\fVhq
320  0x0000be57 0x0040ca57 4   5    .text   ascii   h\f@A
321  0x0000be90 0x0040ca90 6   8    .text   utf8    SVW3ɍ} blocks=Basic Latin,Latin Extended-B
322  0x0000bea4 0x0040caa4 6   8    .text   utf8    O\b3ɉW\f blocks=Basic Latin,Latin Extended-B
323  0x0000beb6 0x0040cab6 4   5    .text   ascii   ntel
324  0x0000bebd 0x0040cabd 5   6    .text   ascii   5ineI
325  0x0000bec8 0x0040cac8 5   6    .text   ascii   5Genu
326  0x0000beed 0x0040caed 4   5    .text   ascii   S\fuC
327  0x0000befe 0x0040cafe 4   5    .text   ascii   t#=`
328  0x0000bf1a 0x0040cb1a 4   5    .text   ascii   t\a=p
329  0x0000c030 0x0040cc30 4   5    .text   ascii   _^[3
330  0x0000c093 0x0040cc93 5   7    .text   utf8    Ë\r\f@A blocks=Latin-1 Supplement,Basic Latin
331  0x0000c0cc 0x0040cccc 6   8    .text   utf8    \vȉ\r\f@A blocks=Basic Latin,Latin Extended-B
332  0x0000c0d8 0x0040ccd8 4   5    .text   ascii   \r\b@A
333  0x0000c869 0x0040d469 4   5    .text   ascii   j\vj0
334  0x0000cb51 0x0040d751 4   5    .text   ascii   hP\@
335  0x0000d6c8 0x0040e2c8 32  66   .rdata  utf16le api-ms-win-core-synch-l1-2-0.dll
336  0x0000d70c 0x0040e30c 12  26   .rdata  utf16le kernel32.dll
337  0x0000d728 0x0040e328 24  25   .rdata  ascii   SleepConditionVariableCS
338  0x0000d744 0x0040e344 24  25   .rdata  ascii   WakeAllConditionVariable
339  0x0000d780 0x0040e380 14  15   .rdata  ascii   bad allocation
340  0x0000d7b0 0x0040e3b0 17  18   .rdata  ascii   Unknown exception
341  0x0000d7c4 0x0040e3c4 20  21   .rdata  ascii   bad array new length
342  0x0000d7dc 0x0040e3dc 15  16   .rdata  ascii   string too long
343  0x0000d7ec 0x0040e3ec 16  17   .rdata  ascii   map/set too long
344  0x0000d800 0x0040e400 8   9    .rdata  ascii   bad cast
345  0x0000d810 0x0040e410 4   5    .rdata  ascii   \r\n\r\n
346  0x0000d81c 0x0040e41c 6   7    .rdata  ascii   status
347  0x0000d824 0x0040e424 5   6    .rdata  ascii   HTTP/
348  0x0000d82c 0x0040e42c 10  11   .rdata  ascii   Set-Cookie
349  0x0000d840 0x0040e440 10  11   .rdata  ascii   User-Agent
350  0x0000d850 0x0040e450 120 121  .rdata  ascii   Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36
351  0x0000d8cc 0x0040e4cc 10  11   .rdata  ascii   Connection
352  0x0000d8d8 0x0040e4d8 10  11   .rdata  ascii   Keep-Alive
353  0x0000d8e4 0x0040e4e4 7   8    .rdata  ascii   timeout
354  0x0000d8ec 0x0040e4ec 4   5    .rdata  ascii   3000
355  0x0000d8f4 0x0040e4f4 5   6    .rdata  ascii   proxy
356  0x0000d900 0x0040e500 7   8    .rdata  ascii   http://
