[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
153  0x000035b0 0x004041b0 4   6    .text   utf8    Y]ZÍ blocks=Basic Latin,Latin-1 Supplement
154  0x000035d5 0x004041d5 4   5    .text   ascii   EEEE
155  0x00003669 0x00404269 4   5    .text   ascii   SQh&
156  0x000036c5 0x004042c5 4   5    .text   ascii   SX[G
157  0x000036df 0x004042df 4   5    .text   ascii   SWh3
158  0x000036fd 0x004042fd 4   5    .text   ascii   SWhF
159  0x0000372a 0x0040432a 4   5    .text   ascii   \f_[Z
160  0x0000373c 0x0040433c 4   5    .text   ascii   8SWh
161  0x00003788 0x00404388 4   5    .text   ascii   \f_[Z
162  0x000037db 0x004043db 4   5    .text   ascii   RVh 
163  0x000037ea 0x004043ea 4   6    .text   utf8    ^ZXû blocks=Basic Latin,Latin-1 Supplement
164  0x0000388f 0x0040448f 4   5    .text   ascii   S][G
165  0x000038f3 0x004044f3 4   5    .text   ascii   \fXZ[
166  0x00003942 0x00404542 4   5    .text   ascii   QXYG
167  0x00003986 0x00404586 4   5    .text   ascii   PUh?
168  0x00003b1d 0x0040471d 4   5    .text   ascii   WZ_G
169  0x00003b89 0x00404789 4   5    .text   ascii   RShp
170  0x00003bb7 0x004047b7 4   5    .text   ascii   \f[ZY
171  0x00003bea 0x004047ea 4   5    .text   ascii   RUh#
172  0x00003c14 0x00404814 4   5    .text   ascii   \f]Z^
173  0x00003c4d 0x0040484d 4   5    .text   ascii   V[^!
174  0x00003c7b 0x0040487b 5   6    .text   ascii   _QWhq
175  0x00003cd8 0x004048d8 4   5    .text   ascii   YVQh
176  0x00003d27 0x00404927 5   7    .text   utf8    \fY^]þ blocks=Basic Latin,Latin-1 Supplement
177  0x00003d41 0x00404941 4   5    .text   ascii   :39W
178  0x00003d7f 0x0040497f 4   5    .text   ascii   PVh@
179  0x00003dad 0x004049ad 4   5    .text   ascii   \f^XZ
180  0x00003dbc 0x004049bc 5   6    .text   ascii   YSQhf
181  0x00003dfa 0x004049fa 4   5    .text   ascii   SQh\r
182  0x00003e91 0x00404a91 4   5    .text   ascii   W[_!
183  0x00003f25 0x00404b25 5   6    .text   ascii   @@@@G
184  0x0000401d 0x00404c1d 4   5    .text   ascii   RSh]
185  0x0000403e 0x00404c3e 4   5    .text   ascii   WUhh
186  0x00004089 0x00404c89 4   5    .text   ascii   \f]_^
187  0x000040d4 0x00404cd4 4   5    .text   ascii   P^XG
188  0x00004125 0x00404d25 4   5    .text   ascii   SPhZ
189  0x00004133 0x00404d33 5   7    .text   utf8    \fX[Yø blocks=Basic Latin,Latin-1 Supplement
190  0x0000422f 0x00404e2f 4   5    .text   ascii   WZ_!
191  0x00004241 0x00404e41 4   5    .text   ascii   R_ZG
192  0x00004255 0x00404e55 4   5    .text   ascii   XQPh
193  0x00004276 0x00404e76 4   5    .text   ascii   QPhG
194  0x000042fb 0x00404efb 4   5    .text   ascii   SQh=
195  0x000043fd 0x00404ffd 4   5    .text   ascii   SPh~
196  0x0000443c 0x0040503c 4   5    .text   ascii   SVh_
197  0x0000452b 0x0040512b 4   5    .text   ascii   RXZ!
198  0x0000457b 0x0040517b 4   5    .text   ascii   V[^!
199  0x000045a6 0x004051a6 5   6    .text   ascii   1SVh>
200  0x000045f5 0x004051f5 4   5    .text   ascii   \f^[_
201  0x00004655 0x00405255 4   5    .text   ascii   \fZ_^
202  0x0000467a 0x0040527a 4   5    .text   ascii   EEEE
203  0x00004693 0x00405293 4   5    .text   ascii   ^RVh
204  0x000046d3 0x004052d3 4   5    .text   ascii   RVhx
205  0x000046e1 0x004052e1 4   5    .text   ascii   \f^Z_
206  0x0000484d 0x0040544d 4   5    .text   ascii   S^[G
207  0x00004864 0x00405464 4   5    .text   ascii   2PVh
208  0x0000489e 0x0040549e 4   5    .text   ascii   PVhi
209  0x000048ad 0x004054ad 6   8    .text   utf8    ^X_Í-O blocks=Basic Latin,Latin-1 Supplement
210  0x000049df 0x004055df 4   5    .text   ascii   R_ZG
211  0x000049f3 0x004055f3 4   5    .text   ascii   ^WVh
212  0x00004aab 0x004056ab 4   5    .text   ascii   1_3:
213  0x00004ad3 0x004056d3 4   5    .text   ascii   SPh=
214  0x00004af1 0x004056f1 4   5    .text   ascii   SPh?
215  0x00004b5d 0x0040575d 4   5    .text   ascii   _QWh
216  0x00004baa 0x004057aa 4   5    .text   ascii   \f_YX
217  0x00004bbc 0x004057bc 4   5    .text   ascii   XVPh
218  0x00004c3e 0x0040583e 4   6    .text   utf8    X[Zÿ blocks=Basic Latin,Latin-1 Supplement
219  0x00004c9a 0x0040589a 4   5    .text   ascii   UY]!
220  0x00004d46 0x00405946 4   5    .text   ascii   PVh8
221  0x00004dda 0x004059da 4   5    .text   ascii   VShF
222  0x00004e25 0x00405a25 4   5    .text   ascii   \f[^]
223  0x00004f0e 0x00405b0e 5   7    .text   utf8    \fZ][ú blocks=Basic Latin,Latin-1 Supplement
