Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
186  0x00004c3f 0x0040583f 4   5    .text   ascii    t\ff
187  0x00004c99 0x00405899 4   6    .text   utf8    gueǅ blocks=Basic Latin,Latin Extended-B
188  0x00004e72 0x00405a72 4   5    .text   ascii   @t\e;
189  0x00004efd 0x00405afd 4   5    .text   ascii   RPSW
190  0x00004f48 0x00405b48 4   5    .text   ascii   90tV
191  0x00004f5d 0x00405b5d 6   7    .text   ascii   >If90t
192  0x00005040 0x00405c40 4   5    .text   ascii   \bYt\e
193  0x0000504d 0x00405c4d 4   5    .text   ascii   WSj0
194  0x000050f9 0x00405cf9 4   5    .text   ascii   WSj 
195  0x000051bf 0x00405dbf 11  12   .text   ascii   <at9<rt,<wt
196  0x000051d0 0x00405dd0 5   6    .text   ascii   SSSSS
197  0x00005243 0x00405e43 6   7    .text   ascii   \vtVHtG
198  0x000052dc 0x00405edc 5   6    .text   ascii   tEHt1
199  0x000052f6 0x00405ef6 5   6    .text   ascii   uF\t}\f
200  0x00005315 0x00405f15 4   5    .text   ascii   u'\t}
201  0x00005367 0x00405f67 5   6    .text   ascii   Vhd,A
202  0x00005389 0x00405f89 5   6    .text   ascii   >=upF
203  0x00005395 0x00405f95 4   5    .text   ascii   hh,A
204  0x000053b2 0x00405fb2 7   8    .text   ascii   Aj\bhp,A
205  0x000053d2 0x00405fd2 7   8    .text   ascii   !j\ah|,A
206  0x00005402 0x00406002 5   6    .text   ascii   SSSSS
207  0x000054df 0x004060df 4   5    .text   ascii   t\fPV
208  0x000054e8 0x004060e8 4   7    .text   utf8    YYF둋 blocks=Basic Latin,Hangul Syllables
209  0x00005500 0x00406100 4   5    .text   ascii   \r$zC
210  0x00005526 0x00406126 4   6    .text   utf8    !$zC
211  0x000055a7 0x004061a7 9   10   .text   ascii   URPQQh(b@
212  0x000055bd 0x004061bd 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
213  0x000055d2 0x004061d2 4   5    .text   ascii   L$,3
214  0x00005624 0x00406224 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
215  0x0000568a 0x0040628a 4   5    .text   ascii   UVWS
216  0x0000569c 0x0040629c 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
217  0x000056bd 0x004062bd 4   5    .text   ascii   SVWj
218  0x000056cf 0x004062cf 4   5    .text   ascii   _^[]
219  0x000056d6 0x004062d6 5   6    .text   ascii   l$\bRQ
220  0x0000570d 0x0040630d 6   7    .text   ascii   j@j ^V
221  0x0000575a 0x0040635a 4   5    .text   ascii   \r yC
222  0x0000579c 0x0040639c 5   6    .text   ascii   [j@j 
223  0x00005826 0x00406426 4   5    .text   ascii   \bu\vQ
224  0x00005885 0x00406485 4   5    .text   ascii   5 yC
225  0x00005a03 0x00406603 5   6    .text   ascii   WWWWW
226  0x00005a96 0x00406696 4   5    .text   ascii   E\bV3
227  0x00005aa4 0x004066a4 5   6    .text   ascii   VVVVV
228  0x00005aee 0x004066ee 5   6    .text   ascii   WWWWW
229  0x00005bae 0x004067ae 9   10   .text   ascii   \a<xt\r<Xt\t
230  0x00005bd4 0x004067d4 4   5    .text   ascii   \a<xt
231  0x00005c83 0x00406883 4   5    .text   ascii   u+9u
232  0x00005e87 0x00406a87 5   6    .text   ascii   \fSVW3
233  0x00005e8d 0x00406a8d 7   8    .text   ascii   9}\ft$9}
234  0x00005ea3 0x00406aa3 5   6    .text   ascii   WWWWW
