[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
142  0x0000386d 0x0040426d 4   5    .text   ascii   D$(h
143  0x00003875 0x00404275 4   5    .text   ascii   D$,j
144  0x0000387d 0x0040427d 4   5    .text   ascii   D$0q
145  0x00003885 0x00404285 4   5    .text   ascii   D$47
146  0x0000388d 0x0040428d 4   5    .text   ascii   D$8c
147  0x00003895 0x00404295 4   5    .text   ascii   D$<k
148  0x0000389d 0x0040429d 4   5    .text   ascii   D$@o
149  0x000038a5 0x004042a5 4   5    .text   ascii   D$Di
150  0x000038ad 0x004042ad 4   5    .text   ascii   D$Hn
151  0x000038b5 0x004042b5 4   5    .text   ascii   D$Lt
152  0x000038bd 0x004042bd 4   5    .text   ascii   D$Pp
153  0x000038c6 0x004042c6 4   5    .text   ascii   D$T9
154  0x00003920 0x00404320 5   7    .text   utf8    ]Ët$\f blocks=Basic Latin,Latin-1 Supplement
155  0x0000394f 0x0040434f 4   5    .text   ascii   D$$\
156  0x00003957 0x00404357 4   5    .text   ascii   D$(b
157  0x00003963 0x00404363 4   5    .text   ascii   D$,m
158  0x0000396f 0x0040436f 4   5    .text   ascii   D$0w
159  0x00003977 0x00404377 4   5    .text   ascii   D$4i
160  0x0000397f 0x0040437f 4   5    .text   ascii   D$8.
161  0x00003987 0x00404387 4   5    .text   ascii   D$<x
162  0x00003994 0x00404394 4   5    .text   ascii   D$Ds
163  0x0000399c 0x0040439c 4   5    .text   ascii   D$Ha
164  0x000039a4 0x004043a4 4   5    .text   ascii   D$Lo
165  0x000039ac 0x004043ac 4   5    .text   ascii   D$Pc
166  0x000039b4 0x004043b4 4   5    .text   ascii   D$Tp
167  0x000039bc 0x004043bc 4   5    .text   ascii   D$X 
168  0x000039c4 0x004043c4 4   5    .text   ascii   D$\e
169  0x000039cc 0x004043cc 4   5    .text   ascii   D$`e
170  0x000039d4 0x004043d4 4   5    .text   ascii   D$de
171  0x00003a1a 0x0040441a 4   5    .text   ascii   D$h/
172  0x00003a22 0x00404422 4   5    .text   ascii   D$l 
173  0x00003a2a 0x0040442a 4   5    .text   ascii   D$ps
174  0x00003a32 0x00404432 4   5    .text   ascii   D$ta
175  0x00003a3a 0x0040443a 4   5    .text   ascii   D$xm
176  0x00003a42 0x00404442 4   5    .text   ascii   D$|n
177  0x00003b5c 0x0040455c 5   6    .text   ascii   SVWQj
178  0x00003c4c 0x0040464c 4   5    .text   ascii   SVWj
179  0x00003c64 0x00404664 4   5    .text   ascii   D$ <
180  0x00003c6c 0x0040466c 4   5    .text   ascii   D$$\
181  0x00003c74 0x00404674 4   5    .text   ascii   D$(x
182  0x00003cac 0x004046ac 4   5    .text   ascii   D$DP
183  0x00003cb4 0x004046b4 4   5    .text   ascii   D$Hl
184  0x00003cdc 0x004046dc 4   5    .text   ascii   D$\8
185  0x00003ce4 0x004046e4 4   5    .text   ascii   D$`X
186  0x00003cec 0x004046ec 4   5    .text   ascii   D$dl
187  0x00003de1 0x004047e1 4   5    .text   ascii   t\bSV
188  0x00003e10 0x00404810 4   5    .text   ascii   s\bPj
189  0x00003e45 0x00404845 5   6    .text   ascii   t$\fSV
190  0x00003ec0 0x004048c0 4   9    .text   utf16le @jjj
191  0x00004115 0x00404b15 4   5    .text   ascii   \VjD
192  0x000041b5 0x00404bb5 4   5    .text   ascii   ]\bVW
193  0x00004365 0x00404d65 5   6    .text   ascii   LSVW3
194  0x00004388 0x00404d88 5   6    .text   ascii   Ph\f+A
195  0x0000442a 0x00404e2a 4   5    .text   ascii   h\b+A
196  0x000044e7 0x00404ee7 4   5    .text   ascii   emsi
197  0x000044ee 0x00404eee 4   5    .text   ascii   soft
198  0x000044f5 0x00404ef5 4   5    .text   ascii   .bit
199  0x00004509 0x00404f09 4   5    .text   ascii   gand
200  0x00004510 0x00404f10 4   5    .text   ascii   crab
201  0x00004517 0x00404f17 4   5    .text   ascii   .bit
202  0x00004610 0x00405010 5   6    .text   ascii   t'Whp
203  0x00004671 0x00405071 4   5    .text   ascii   @j@h
204  0x00004689 0x00405089 4   5    .text   ascii   t\t9u
205  0x0000469b 0x0040509b 5   6    .text   ascii   VVPWj
206  0x0000476f 0x0040516f 4   5    .text   ascii   t\t9u
207  0x000047b3 0x004051b3 4   5    .text   ascii   AQSj
208  0x00004810 0x00405210 4   5    .text   ascii   t\bVP
209  0x00004827 0x00405227 4   5    .text   ascii   t\rWj
210  0x00004838 0x00405238 4   5    .text   ascii   t\bVj
211  0x00004876 0x00405276 6   7    .text   ascii   SVWj@h
212  0x00004904 0x00405304 5   7    .text   utf8    V3ۍ<G blocks=Basic Latin,Arabic
213  0x00004b49 0x00405549 6   7    .text   ascii   SVWj@h
214  0x00004cdb 0x004056db 7   8    .text   ascii   <\nt\a<\rt
215  0x00004ce4 0x004056e4 4   5    .text   ascii   \aGSF
216  0x00004d5c 0x0040575c 5   6    .text   ascii   SVWQj
