[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
187  0x00003bbc 0x004055bc 4   5    .data   ascii   YkrS
188  0x00003bda 0x004055da 4   6    .data   utf8    8ZÙ1 blocks=Basic Latin,Latin-1 Supplement
189  0x00003c94 0x00405694 6   8    .data   utf8    Ye8[˙1 blocks=Basic Latin,Spacing Modifier Letters
190  0x00003ca2 0x004056a2 4   6    .data   utf8    8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
191  0x00003ce1 0x004056e1 5   7    .data   utf8    b8[˙1 blocks=Basic Latin,Spacing Modifier Letters
192  0x00003d4c 0x0040574c 6   7    .data   ascii   _)\IgC
193  0x00003d82 0x00405782 8   10   .data   utf8    rPY}8ZЙ/ blocks=Basic Latin,Cyrillic
194  0x00003da0 0x004057a0 4   5    .data   ascii   Yd8Z
195  0x00003db8 0x004057b8 6   8    .data   utf8    Yq8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
196  0x00003dd3 0x004057d3 5   6    .data   ascii   JYi8Z
197  0x00003e7a 0x0040587a 4   6    .data   utf8    8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
198  0x00003ef8 0x004058f8 4   5    .data   ascii   Y{rT
199  0x00003f14 0x00405914 4   5    .data   ascii   #!2S
200  0x00003f2c 0x0040592c 6   8    .data   utf8    YT8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
201  0x00003f85 0x00405985 4   5    .data   ascii   !6S\e
202  0x00004044 0x00405a44 6   8    .data   utf8    Yp8[˙1 blocks=Basic Latin,Spacing Modifier Letters
203  0x000040cf 0x00405acf 5   6    .data   ascii   jYirD
204  0x000040f0 0x00405af0 4   5    .data   ascii   Ye8Z
205  0x000040f9 0x00405af9 8   9    .data   ascii   '~lctyS\e
206  0x00004108 0x00405b08 6   8    .data   utf8    YQ8Zԙ1 blocks=Basic Latin,Cyrillic Supplement
207  0x00004110 0x00405b10 5   7    .data   utf8    Yi8]ĩ blocks=Basic Latin,Latin Extended-A
208  0x00004139 0x00405b39 4   6    .data   utf8    {8ZЙ blocks=Basic Latin,Cyrillic
209  0x00004159 0x00405b59 4   5    .data   ascii   vbS\e
210  0x0000415e 0x00405b5e 4   6    .data   utf8    8Zٙ1 blocks=Basic Latin,Arabic
