Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
5621 0x00098adc 0x005534dc 5   6            ascii   jaZf;
5622 0x00098ae6 0x005534e6 4   5            ascii   zw43
5623 0x00098aef 0x005534ef 6   7            ascii   :u$f9Q
5624 0x00098b07 0x00553507 4   5            ascii   r\bf;
5625 0x00098b1f 0x0055351f 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
5626 0x00098b44 0x00553544 6   7            ascii   tDh(vL
5627 0x00098b79 0x00553579 4   5            ascii   h4vL
5628 0x00098ba2 0x005535a2 5   6            ascii   jAZf;
5629 0x00098bac 0x005535ac 8   9            ascii   Zv\rjaZf;
5630 0x00098bb9 0x005535b9 4   5            ascii   zw\nf
5631 0x00098c6c 0x0055366c 5   6            ascii   f99t7
5632 0x00098c74 0x00553674 5   6            ascii   f99t/
5633 0x00098c99 0x00553699 4   5            ascii   f99t
5634 0x00098caa 0x005536aa 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
5635 0x00098cb5 0x005536b5 6   7            ascii   }\b\t\vf
5636 0x00098cbc 0x005536bc 4   5            ascii   }\b/t
5637 0x00098ce1 0x005536e1 6   7            ascii   u\bh@vL
5638 0x00098fb2 0x005539b2 4   5            ascii   tVWh
5639 0x00098fd8 0x005539d8 4   5            ascii   "tPj
5640 0x0009902b 0x00553a2b 5   6            ascii   WWWWW
5641 0x00099063 0x00553a63 4   6            utf8    E܋HL blocks=Basic Latin,Syriac
5642 0x00099069 0x00553a69 4   6            utf8    MԋHH blocks=Basic Latin,Cyrillic Supplement
5643 0x00099079 0x00553a79 5   6            ascii   PSWSS
5644 0x00099095 0x00553a95 8   9            ascii   "u\nSSSSS
5645 0x000990e0 0x00553ae0 9   12           utf8    "u\aWWWWW볅 blocks=Basic Latin,Hangul Syllables
5646 0x000991a7 0x00553ba7 5   6            ascii   ;E\fr4
5647 0x000991cf 0x00553bcf 4   5            ascii   5hpO
5648 0x0009930e 0x00553d0e 6   8            utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
5649 0x0009933b 0x00553d3b 6   8            utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
5650 0x00099368 0x00553d68 6   8            utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
5651 0x00099395 0x00553d95 6   8            utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
5652 0x000993b7 0x00553db7 6   8            utf8    ]ËM\bW3 blocks=Basic Latin,Latin-1 Supplement
5653 0x000993ea 0x00553dea 4   5            ascii   u\bSW
5654 0x00099400 0x00553e00 5   6            ascii   PPPPP
5655 0x000994c4 0x00553ec4 4   8            utf8    uĉ]䋎 blocks=Basic Latin,Latin Extended-A,CJK Unified Ideographs Extension A
5656 0x000994d3 0x00553ed3 5   8            utf8    ]܉]Љu blocks=Basic Latin,Syriac,Cyrillic
5657 0x000995e5 0x00553fe5 4   5            ascii   PRQh
5658 0x0009963c 0x0055403c 4   5            ascii   ~+8]
5659 0x000996c6 0x005540c6 4   5            ascii   ~@8]
5660 0x00099858 0x00554258 4   5            ascii   5hpO
5661 0x0009991f 0x0055431f 4   5            ascii   5hpO
5662 0x00099998 0x00554398 4   5            ascii   5hpO
5663 0x000999df 0x005543df 4   5            ascii   8E\bV
5664 0x00099a1e 0x0055441e 4   5            ascii   8E\bV
5665 0x00099a5d 0x0055445d 4   5            ascii   8E\bV
5666 0x00099b30 0x00554530 4   5            ascii   8E\bV
5667 0x00099d6c 0x0055476c 4   5            ascii   M\fQP
5668 0x00099de2 0x005547e2 4   5            ascii   M\fQP
5669 0x00099e2d 0x0055482d 5   6            ascii   u\bj\aX
5670 0x00099ed7 0x005548d7 4   5            ascii   ><xt
5671 0x00099f34 0x00554934 6   7            ascii   ,0<\tw\b
5672 0x00099f7e 0x0055497e 4   7            utf8    벋E\bj blocks=Hangul Syllables,Basic Latin
5673 0x00099f93 0x00554993 4   5            ascii   :\bus
5674 0x00099fbf 0x005549bf 6   7            ascii   ,0<\tw\b
5675 0x0009a0b1 0x00554ab1 6   7            ascii   ,0<\tw\b
5676 0x0009a0e4 0x00554ae4 4   5            ascii   \ns k
5677 0x0009a109 0x00554b09 6   7            ascii   ,0<\tw\b
5678 0x0009a1b9 0x00554bb9 4   5            ascii   ~\bj\t
5679 0x0009a201 0x00554c01 4   5            ascii   \f[_^
5680 0x0009a21a 0x00554c1a 4   5            ascii   u\fW3
5681 0x0009a28a 0x00554c8a 4   5            ascii   X_^[
5682 0x0009a2c7 0x00554cc7 5   7            utf8    }\f3ɉ} blocks=Basic Latin,Latin Extended-B
5683 0x0009a339 0x00554d39 4   5            ascii   \aSWV
5684 0x0009a373 0x00554d73 4   5            ascii   >)tP
5685 0x0009a3a8 0x00554da8 6   8            utf8    )ù>)t blocks=Basic Latin,Combining Diacritical Marks
5686 0x0009a3c9 0x00554dc9 4   5            ascii   X[_^
5687 0x0009a495 0x00554e95 5   7            utf8    ]ËE\f3 blocks=Basic Latin,Latin-1 Supplement
5688 0x0009a4af 0x00554eaf 4   6            utf8    ދE\f3 blocks=Thaana,Basic Latin
5689 0x0009a4c8 0x00554ec8 4   6            utf8    ŋE\f3 blocks=Latin Extended-A,Basic Latin
5690 0x0009a4f5 0x00554ef5 6   8            utf8    @]ËE\f3 blocks=Basic Latin,Latin-1 Supplement
5691 0x0009a50f 0x00554f0f 7   9            utf8    \bX]ËE\f3 blocks=Basic Latin,Latin-1 Supplement
5692 0x0009a5a4 0x00554fa4 4   6            utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
5693 0x0009a5fd 0x00554ffd 5   7            utf8    @]ËE\f blocks=Basic Latin,Latin-1 Supplement
5694 0x0009a617 0x00555017 5   7            utf8    X]ËE\f blocks=Basic Latin,Latin-1 Supplement
5695 0x0009a736 0x00555136 4   7            utf8    Ɖ]܍H blocks=Latin Extended-B,Basic Latin,Syriac
5696 0x0009a872 0x00555272 4   5            ascii   t\f8]
5697 0x0009a999 0x00555399 4   5            ascii   t\f8]
5698 0x0009aa2a 0x0055542a 4   5            ascii   PVWS
5699 0x0009aa3d 0x0055543d 4   5            ascii   PVWS
5700 0x0009aa64 0x00555464 4   5            ascii   }\f8S
5701 0x0009ab2f 0x0055552f 7   9            utf8    j@Y+ȋE\b blocks=Basic Latin,Latin Extended-B
5702 0x0009ac2f 0x0055562f 5   6            ascii   SVW8A
5703 0x0009b0be 0x00555abe 4   5            ascii   st[;
5704 0x0009b235 0x00555c35 4   6            utf8    tW3ɋ blocks=Basic Latin,Latin Extended-B
5705 0x0009b5f5 0x00555ff5 4   5            ascii   stS;
5706 0x0009b93c 0x0055633c 4   6            utf8    tn3Ʌ blocks=Basic Latin,Latin Extended-B
5707 0x0009bc67 0x00556667 4   5            ascii   stS;
5708 0x0009be5e 0x0055685e 4   6            utf8    tz3Ʌ blocks=Basic Latin,Latin Extended-B
5709 0x0009beed 0x005568ed 4   6            utf8    j\n3҃ blocks=Basic Latin,Cyrillic
5710 0x0009c1e0 0x00556be0 4   5            ascii   st[;
5711 0x0009c4c0 0x00556ec0 5   7            utf8    j Y+ȉ blocks=Basic Latin,Latin Extended-B
5712 0x0009c4ff 0x00556eff 5   7            utf8    j X+M
5713 0x0009c543 0x00556f43 6   7            ascii   rr\tjrZ
5714 0x0009c6a4 0x005570a4 4   5            ascii   w9r0
5715 0x0009c6e9 0x005570e9 5   7            utf8    j Y+ʉ blocks=Basic Latin,IPA Extensions
5716 0x0009c72a 0x0055712a 5   7            utf8    j Y+ȍ blocks=Basic Latin,Latin Extended-B
5717 0x0009c76e 0x0055716e 6   7            ascii   rr\tjrZ
5718 0x0009c98c 0x0055738c 4   5            ascii   PWRQ
5719 0x0009c9e0 0x005573e0 9   11           utf8    E\f3ɋU\bSV3 blocks=Basic Latin,Latin Extended-B
5720 0x0009c9ef 0x005573ef 4   5            ascii   r\b8H
5721 0x0009cac4 0x005574c4 4   5            ascii   u\n_3
5722 0x0009cc18 0x00557618 4   7            utf8    +ЉMȋ blocks=Basic Latin,Cyrillic,Latin Extended-B
5723 0x0009cc58 0x00557658 5   6            ascii   u\v^_3
5724 0x0009cc63 0x00557663 6   9            utf8    ]Ë}ȋE\f blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
5725 0x0009cc93 0x00557693 4   7            utf8    +IEą blocks=Basic Latin,Latin Extended-A
5726 0x0009cdaa 0x005577aa 5   8            utf8    3\tu؉] blocks=Basic Latin,Arabic
5727 0x0009cdc4 0x005577c4 6   8            utf8    wIPS3ɋ blocks=Basic Latin,Latin Extended-B
5728 0x0009ce3e 0x0055783e 4   7            utf8    e؋ȋE blocks=Basic Latin,Arabic,Latin Extended-B
5729 0x0009cf98 0x00557998 4   5            ascii   9u\fr
5730 0x0009cfc6 0x005579c6 5   6            ascii   \f9u\fs
5731 0x0009cfe1 0x005579e1 5   7            utf8    X_^]Ë blocks=Basic Latin,Latin-1 Supplement
5732 0x0009d043 0x00557a43 4   5            ascii   uiQQ
5733 0x0009d0c3 0x00557ac3 4   5            ascii   E\bYY
5734 0x0009d235 0x00557c35 5   6            ascii   d$\buZ
5735 0x0009d271 0x00557c71 4   5            ascii   d$\bu
5736 0x0009d293 0x00557c93 4   6            utf8    ÍT$\f blocks=Latin-1 Supplement,Basic Latin
5737 0x0009d2f9 0x00557cf9 4   5            ascii   =lpO
5738 0x0009d316 0x00557d16 4   5            ascii   =lpO
5739 0x0009d332 0x00557d32 5   7            utf8    ZÍT$\b blocks=Basic Latin,Latin-1 Supplement
5740 0x0009d36e 0x00557d6e 5   7            utf8    učT$\b blocks=Basic Latin,Latin Extended-A
5741 0x0009d391 0x00557d91 5   6            ascii   \vT$\bu
5742 0x0009d3d3 0x00557dd3 4   5            ascii   D$\f%
5743 0x0009d3db 0x00557ddb 4   5            ascii   \vD$\b
5744 0x0009d495 0x00557e95 8   9            ascii   t\f;E\ft\a@
5745 0x0009d4be 0x00557ebe 4   5            ascii   j X+
5746 0x0009d4c7 0x00557ec7 5   7            utf8    #ЋE\f; blocks=Basic Latin,Cyrillic
5747 0x0009d548 0x00557f48 5   7            utf8    #ЋE\f; blocks=Basic Latin,Cyrillic
5748 0x0009d5d8 0x00557fd8 4   5            ascii   M\bVW
5749 0x0009d616 0x00558016 4   5            ascii   j X+
5750 0x0009d639 0x00558039 7   8            ascii   t\rf9:t\b
5751 0x0009d664 0x00558064 4   6            utf8    Wɍ\fJ blocks=Basic Latin,Latin Extended-B
5752 0x0009d688 0x00558088 6   7            ascii   \bf9:t\a
5753 0x0009d6fe 0x005580fe 7   8            ascii   t\rf9:t\b
5754 0x0009d725 0x00558125 4   6            utf8    +ȍ\fJ blocks=Basic Latin,Latin Extended-B
5755 0x0009d74c 0x0055814c 6   7            ascii   \bf9:t\a
5756 0x0009d76b 0x0055816b 5   6            ascii   f9:t\a
5757 0x0009d7df 0x005581df 4   6            utf8    \arЍC blocks=Basic Latin,Cyrillic
5758 0x0009d889 0x00558289 5   6            ascii   PPPPP
5759 0x0009d9a8 0x005583a8 5   6            ascii   PPPPP
5760 0x0009dab3 0x005584b3 4   5            ascii   t+SS
5761 0x0009db15 0x00558515 4   5            ascii   }\fWV
5762 0x0009db23 0x00558523 5   8            utf8    u'NV蓜 blocks=Basic Latin,CJK Unified Ideographs
5763 0x0009db3e 0x0055853e 4   5            ascii   \aQWV
5764 0x0009db50 0x00558550 5   7            utf8    @_^]Ë blocks=Basic Latin,Latin-1 Supplement
5765 0x0009db5d 0x0055855d 6   7            ascii   u\fWj\aY
5766 0x0009dbe5 0x005585e5 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
5767 0x0009dc52 0x00558652 7   8            ascii   u\ajbZRX
5768 0x0009e01e 0x00558a1e 5   6            ascii   u VWS
5769 0x0009e048 0x00558a48 5   6            ascii   u VWS
5770 0x0009e072 0x00558a72 5   6            ascii   u VWS
5771 0x0009e10f 0x00558b0f 5   6            ascii   9p t 
5772 0x0009e692 0x00559092 4   5            ascii   9q j
5773 0x0009e6e7 0x005590e7 5   6            ascii   VVVVV
5774 0x0009e73c 0x0055913c 4   5            ascii   smS3
5775 0x0009e7d6 0x005591d6 4   6            utf8    ؍B0f blocks=Arabic,Basic Latin
5776 0x0009e816 0x00559216 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
5777 0x0009e847 0x00559247 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
5778 0x0009e86e 0x0055926e 4   6            utf8    E܋E\f blocks=Basic Latin,Syriac
5779 0x0009e8fd 0x005592fd 5   6            ascii   QQWPQ
5780 0x0009e911 0x00559311 6   7            ascii   QQQWPQ
5781 0x0009e941 0x00559341 5   7            utf8    #MJ\b=
5782 0x0009e9a4 0x005593a4 4   5            ascii   SVWP
5783 0x0009e9bc 0x005593bc 4   5            ascii   SVWP
5784 0x0009ebce 0x005595ce 5   7            utf8    Eԃx\b\v blocks=Basic Latin,Cyrillic Supplement
5785 0x0009ecc2 0x005596c2 6   8            utf8    SVW3ۍM blocks=Basic Latin,Arabic
5786 0x0009ee10 0x00559810 5   6            ascii   PPPPP
5787 0x0009ee23 0x00559823 6   8            utf8    SVW3ۍM blocks=Basic Latin,Arabic
5788 0x0009ef71 0x00559971 5   6            ascii   PPPPP
5789 0x0009ef83 0x00559983 4   5            ascii   (VW3
5790 0x0009ef92 0x00559992 4   7            utf8    E܋։u blocks=Basic Latin,Syriac,Armenian
5791 0x0009f66f 0x0055a06f 5   6            ascii   VVVVV
5792 0x0009f70e 0x0055a10e 4   6            utf8    S3ۉM blocks=Basic Latin,Arabic
5793 0x0009f73b 0x0055a13b 4   5            ascii   }\bt\e
5794 0x0009f76b 0x0055a16b 4   5            ascii   >#u\a
5795 0x0009f95d 0x0055a35d 6   7            ascii   }\b99t\t
5796 0x0009f981 0x0055a381 7   9            utf8    u\v3\tY\b@
5797 0x0009f9c9 0x0055a3c9 4   5            ascii   wOtD
5798 0x0009fae4 0x0055a4e4 4   5            ascii   5hmO
5799 0x0009faed 0x0055a4ed 4   5            ascii   f9;u
5800 0x0009fb01 0x0055a501 4   5            ascii   PWWS
5801 0x0009fb82 0x0055a582 4   5            ascii   9:t\b
5802 0x0009fb89 0x0055a589 4   5            ascii   A98u
5803 0x0009fb8f 0x0055a58f 5   7            utf8    ǉ\rTmO blocks=Latin Extended-B,Basic Latin
5804 0x0009fbf9 0x0055a5f9 5   6            ascii   j"Xf9
5805 0x0009fc2d 0x0055a62d 5   6            ascii   t\tf;E
5806 0x0009fc33 0x0055a633 5   7            utf8    j"Xuą blocks=Basic Latin,Latin Extended-A
5807 0x0009fc98 0x0055a698 5   6            ascii   @f91t
5808 0x0009fc9e 0x0055a69e 11  12           ascii   j"^f91j\^u8
5809 0x0009fcab 0x0055a6ab 4   5            ascii   u 8]
5810 0x0009fcb2 0x0055a6b2 6   7            ascii   j"^f9q
5811 0x0009fcb9 0x0055a6b9 4   5            ascii   j\^u
5812 0x0009fceb 0x0055a6eb 4   5            ascii   t*8]
5813 0x0009fcf0 0x0055a6f0 5   6            ascii   u\ff;E
5814 0x0009fd5b 0x0055a75b 4   6            utf8    M\f3ҋ blocks=Basic Latin,Cyrillic
5815 0x0009fd92 0x0055a792 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
5816 0x0009fdcf 0x0055a7cf 4   6            utf8    á(mO blocks=Latin-1 Supplement,Basic Latin
5817 0x0009fdfe 0x0055a7fe 5   7            utf8    Ã=$mO blocks=Latin-1 Supplement,Basic Latin
5818 0x0009fe55 0x0055a855 7   9            utf8    _^Ã=(mO blocks=Basic Latin,Latin-1 Supplement
5819 0x0009feb1 0x0055a8b1 5   6            ascii   QQSVW
5820 0x0009feb7 0x0055a8b7 4   6            utf8    }\b3ҋ blocks=Basic Latin,Cyrillic
5821 0x0009ff01 0x0055a901 4   6            utf8    +ʀ?= blocks=Basic Latin,IPA Extensions
5822 0x0009ff72 0x0055a972 5   6            ascii   PPPPP
5823 0x0009ff86 0x0055a986 5   7            utf8    ]\b3\tE
5824 0x0009ff99 0x0055a999 7   8            ascii   t/j=[f;
5825 0x000a0001 0x0055aa01 6   7            ascii   f9\vt8j
5826 0x000a0040 0x0055aa40 5   6            ascii   Cf93u
5827 0x000a006c 0x0055aa6c 5   6            ascii   PPPPP
5828 0x000a00a1 0x0055aaa1 5   7            utf8    Y_^]Ë blocks=Basic Latin,Latin-1 Supplement
5829 0x000a00aa 0x0055aaaa 4   5            ascii   =(mO
5830 0x000a00bd 0x0055aabd 6   7            ascii   QSSSSj
5831 0x000a0129 0x0055ab29 4   5            ascii   =$mO
5832 0x000a013c 0x0055ab3c 4   5            ascii   KSSj
5833 0x000a015f 0x0055ab5f 5   6            ascii   t1SVj
5834 0x000a023d 0x0055ac3d 4   5            ascii   50mO
5835 0x000a0248 0x0055ac48 4   5            ascii   5,mO
5836 0x000a0252 0x0055ac52 6   8            utf8    YYá,mO blocks=Basic Latin,Latin-1 Supplement
5837 0x000a026e 0x0055ac6e 4   5            ascii   j\fh0
5838 0x000a02bf 0x0055acbf 4   5            ascii   j\fhP
5839 0x000a03be 0x0055adbe 4   5            ascii   j Y+
5840 0x000a0417 0x0055ae17 7   8            ascii   u\vj Y;E
5841 0x000a0449 0x0055ae49 4   5            ascii   j Y+
5842 0x000a046b 0x0055ae6b 4   5            ascii   P\b_3
5843 0x000a04af 0x0055aeaf 5   7            utf8    3؋v\b3 blocks=Basic Latin,Arabic
5844 0x000a04dd 0x0055aedd 4   5            ascii   j _;
5845 0x000a053f 0x0055af3f 4   5            ascii   j Y+
5846 0x000a05c7 0x0055afc7 6   7            ascii   u\bh4mO
5847 0x000a05d3 0x0055afd3 4   6            utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
5848 0x000a0608 0x0055b008 4   5            ascii   ;F\bu
5849 0x000a0615 0x0055b015 4   5            ascii   j Y+
5850 0x000a0667 0x0055b067 4   5            ascii   h4mO
5851 0x000a0673 0x0055b073 4   5            ascii   $@mO
5852 0x000a06fa 0x0055b0fa 4   5            ascii   5XpO
5853 0x000a0705 0x0055b105 4   5            ascii   5\pO
5854 0x000a070d 0x0055b10d 4   5            ascii   5XpO
5855 0x000a0718 0x0055b118 4   5            ascii   5XmO
5856 0x000a071e 0x0055b11e 4   5            ascii   5\pO
5857 0x000a0729 0x0055b129 4   5            ascii   5\mO
5858 0x000a072f 0x0055b12f 4   5            ascii   5XmO
5859 0x000a073d 0x0055b13d 4   5            ascii   5\mO
5860 0x000a0767 0x0055b167 6   8            utf8    YYáLmO blocks=Basic Latin,Latin-1 Supplement
5861 0x000a078c 0x0055b18c 7   9            utf8    j Y+ȋE\b blocks=Basic Latin,Latin Extended-B
5862 0x000a07e4 0x0055b1e4 5   6            ascii   35PmO
5863 0x000a083b 0x0055b23b 4   5            ascii   E\fSV
5864 0x000a0840 0x0055b240 4   6            utf8    u\b+ƃ blocks=Basic Latin,Latin Extended-B
5865 0x000a084d 0x0055b24d 4   5            ascii   9u\f\e
5866 0x000a08b3 0x0055b2b3 4   5            ascii   ;u\fu
5867 0x000a08e8 0x0055b2e8 6   8            utf8    X]á`qO blocks=Basic Latin,Latin-1 Supplement
5868 0x000a0925 0x0055b325 6   8            utf8    X]ù`qO blocks=Basic Latin,Latin-1 Supplement
5869 0x000a093a 0x0055b33a 5   6            ascii   E\bSVW
5870 0x000a0a1c 0x0055b41c 4   6            utf8    øTmO blocks=Latin-1 Supplement,Basic Latin
5871 0x000a0a22 0x0055b422 4   6            utf8    ø\mO blocks=Latin-1 Supplement,Basic Latin
5872 0x000a0b23 0x0055b523 4   5            ascii   YY_^
5873 0x000a0b78 0x0055b578 5   6            ascii   Af;:u
5874 0x000a0be2 0x0055b5e2 6   7            ascii   pLh`pO
5875 0x000a0c25 0x0055b625 4   6            utf8    YY^Ë blocks=Basic Latin,Latin-1 Supplement
5876 0x000a0c65 0x0055b665 5   7            utf8    _[]ÍC blocks=Basic Latin,Latin-1 Supplement
5877 0x000a0c6e 0x0055b66e 4   5            ascii   u\bPW
5878 0x000a0c84 0x0055b684 5   6            ascii   PPPPP
5879 0x000a0c8f 0x0055b68f 5   7            utf8    39lmO
5880 0x000a0c9a 0x0055b69a 4   5            ascii   j\bhp
5881 0x000a0cab 0x0055b6ab 5   6            ascii   95`pO
5882 0x000a0cbf 0x0055b6bf 5   6            ascii   Vh`pO
5883 0x000a0d11 0x0055b711 4   5            ascii   f90t
5884 0x000a0d32 0x0055b732 4   5            ascii   f97t
5885 0x000a0d37 0x0055b737 5   6            ascii   WhT\eM
5886 0x000a0d51 0x0055b751 5   6            ascii   VVVVV
5887 0x000a0d61 0x0055b761 5   6            ascii   QQSVW
5888 0x000a0d8c 0x0055b78c 5   6            ascii   j.Yf;
5889 0x000a0df5 0x0055b7f5 5   6            ascii   j.Yf;
5890 0x000a0dfb 0x0055b7fb 7   8            ascii   tyPVj@W
5891 0x000a0e10 0x0055b810 7   8            ascii   _tcPVj@
5892 0x000a0e31 0x0055b831 5   6            ascii   uCPVj
5893 0x000a0e48 0x0055b848 7   8            ascii   u#j,Xf;
5894 0x000a0e6f 0x0055b86f 5   6            ascii   PPPPP
5895 0x000a0e80 0x0055b880 5   6            ascii   SSSSS
5896 0x000a0f05 0x0055b905 4   5            ascii   Wj.Y
5897 0x000a0f17 0x0055b917 5   7            utf8    Y_^]Ë blocks=Basic Latin,Latin-1 Supplement
5898 0x000a0fbe 0x0055b9be 5   6            ascii   >Cu43
5899 0x000a10bb 0x0055babb 5   6            ascii   PSPt\a
5900 0x000a112d 0x0055bb2d 5   6            ascii   PPPPP
5901 0x000a11b5 0x0055bbb5 4   5            ascii   SVjU
5902 0x000a11f7 0x0055bbf7 5   6            ascii   SSSSS
5903 0x000a1267 0x0055bc67 4   5            ascii   PSjU
5904 0x000a1281 0x0055bc81 5   6            ascii   VVVVV
5905 0x000a1288 0x0055bc88 5   6            ascii   WWWWW
5906 0x000a12bc 0x0055bcbc 5   6            ascii   u\vF;u
5907 0x000a12c4 0x0055bcc4 4   5            ascii   _^[]
5908 0x000a12c9 0x0055bcc9 5   6            ascii   SSSSS
5909 0x000a135b 0x0055bd5b 4   5            ascii   \fSV3
5910 0x000a146f 0x0055be6f 4   5            ascii   8Ou\t
5911 0x000a148b 0x0055be8b 5   6            ascii   F _^[
5912 0x000a14c0 0x0055bec0 4   5            ascii   8Ou\t
5913 0x000a14cc 0x0055becc 5   7            utf8    Y3\tF$
5914 0x000a14e2 0x0055bee2 5   6            ascii   PPPPP
5915 0x000a1503 0x0055bf03 4   5            ascii   E\fSV
5916 0x000a15a8 0x0055bfa8 5   6            ascii   j;Xf9
5917 0x000a1626 0x0055c026 7   8            ascii   u\fj;Xf9
5918 0x000a16ed 0x0055c0ed 4   6            utf8    3ɍW  blocks=Basic Latin,Latin Extended-B
5919 0x000a170c 0x0055c10c 4   5            ascii   8f;9
5920 0x000a1775 0x0055c175 4   7            utf8    \r3ɋI blocks=Basic Latin,Latin Extended-B
5921 0x000a17c7 0x0055c1c7 5   6            ascii   PPPPP
5922 0x000a1b93 0x0055c593 5   6            ascii   PPPPP
5923 0x000a1b9d 0x0055c59d 4   6            utf8    ̡pmO blocks=Combining Diacritical Marks,Basic Latin
5924 0x000a1bc8 0x0055c5c8 5   7            utf8    ]ùpmO blocks=Basic Latin,Latin-1 Supplement
5925 0x000a1bd1 0x0055c5d1 5   7            utf8    ]øtmO blocks=Basic Latin,Latin-1 Supplement
5926 0x000a1c71 0x0055c671 5   6            ascii   d$\buA
5927 0x000a1cad 0x0055c6ad 4   5            ascii   d$\bu
5928 0x000a1ce2 0x0055c6e2 4   6            utf8    \fÍT$ blocks=Basic Latin,Latin-1 Supplement
5929 0x000a1cf3 0x0055c6f3 6   7            ascii   D$\ftQf
5930 0x000a1d0f 0x0055c70f 4   5            ascii   =lpO
5931 0x000a1d6c 0x0055c76c 4   5            ascii   =lpO
5932 0x000a1d9d 0x0055c79d 8   9            ascii   u\r9M\fu&3
5933 0x000a1f6d 0x0055c96d 4   5            ascii   j\bh0
5934 0x000a1fb8 0x0055c9b8 5   7            utf8    j\bhЏN blocks=Basic Latin,Cyrillic
5935 0x000a21fb 0x0055cbfb 4   5            ascii   FLY;
5936 0x000a224e 0x0055cc4e 4   5            ascii   uIhd
5937 0x000a2280 0x0055cc80 4   5            ascii   h`pO
5938 0x000a22d5 0x0055ccd5 4   5            ascii   uQhd
5939 0x000a2307 0x0055cd07 4   5            ascii   h`pO
5940 0x000a2396 0x0055cd96 5   6            ascii   35HnO
5941 0x000a23c3 0x0055cdc3 4   5            ascii   j\fhP
5942 0x000a23f6 0x0055cdf6 4   5            ascii   h}#J
5943 0x000a240b 0x0055ce0b 4   5            ascii   j Y+
5944 0x000a2479 0x0055ce79 4   5            ascii   h$(L
5945 0x000a24c3 0x0055cec3 5   6            ascii   E\bSVW
5946 0x000a2554 0x0055cf54 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
5947 0x000a259f 0x0055cf9f 6   7            ascii   Wu\rVVS
5948 0x000a25cf 0x0055cfcf 5   7            utf8    ^[_]Ë blocks=Basic Latin,Latin-1 Supplement
5949 0x000a2953 0x0055d353 4   6            utf8    VhđL blocks=Basic Latin,Latin Extended-A
5950 0x000a295e 0x0055d35e 4   5            ascii   h4(L
5951 0x000a2bce 0x0055d5ce 4   5            ascii   hD(L
5952 0x000a2cf0 0x0055d6f0 4   6            utf8    VhԒL blocks=Basic Latin,Cyrillic Supplement
5953 0x000a2cfb 0x0055d6fb 4   5            ascii   h<aL
5954 0x000a2d42 0x0055d742 4   6            utf8    VhؒL blocks=Basic Latin,Arabic
5955 0x000a2d4d 0x0055d74d 4   5            ascii   hLaL
5956 0x000a2e57 0x0055d857 4   6            utf8    Vh̑L blocks=Basic Latin,Combining Diacritical Marks
5957 0x000a2e7a 0x0055d87a 4   5            ascii   aSh(
5958 0x000a2ead 0x0055d8ad 6   8            utf8    t#W3\r}
5959 0x000a2efd 0x0055d8fd 4   5            ascii   \rLnO
5960 0x000a2f1b 0x0055d91b 4   5            ascii   hx&L
5961 0x000a2f49 0x0055d949 5   7            utf8    3ɺLnO blocks=Basic Latin,IPA Extensions
5962 0x000a2ffd 0x0055d9fd 4   7            utf8    E䡜iO blocks=Basic Latin,CJK Unified Ideographs Extension A
5963 0x000a3077 0x0055da77 5   7            utf8    !\a3\tF
5964 0x000a3081 0x0055da81 6   8            utf8    F\b_^]Ë blocks=Basic Latin,Latin-1 Supplement
5965 0x000a30f8 0x0055daf8 4   5            ascii   \bu\vQ
5966 0x000a313f 0x0055db3f 4   5            ascii   SVW3
5967 0x000a3206 0x0055dc06 4   6            utf8    Y3ۈ] blocks=Basic Latin,Arabic
5968 0x000a3345 0x0055dd45 4   5            ascii   ~';_
5969 0x000a336c 0x0055dd6c 4   5            ascii   u\v;_
5970 0x000a338f 0x0055dd8f 5   6            ascii   GWVj\t
5971 0x000a3457 0x0055de57 5   6            ascii   t\vWVS
5972 0x000a34a6 0x0055dea6 5   6            ascii   QVWSj
5973 0x000a34e1 0x0055dee1 6   9            utf8    t\vWVS蕰 blocks=Basic Latin,CJK Unified Ideographs
5974 0x000a3586 0x0055df86 4   6            utf8    SV3ҋ blocks=Basic Latin,Cyrillic
5975 0x000a35e0 0x0055dfe0 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
5976 0x000a35eb 0x0055dfeb 5   7            utf8    E\b3ҋH blocks=Basic Latin,Cyrillic
5977 0x000a360a 0x0055e00a 4   5            ascii   0SVW
5978 0x000a362a 0x0055e02a 4   5            ascii   G\v9E
