Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
172  0x00001f40 0x004bbb40 5   6    ...._1  ascii   t\vj\fV
173  0x00001ff7 0x004bbbf7 4   5    ...._1  ascii   E\bPW
174  0x000020e3 0x004bbce3 4   5    ...._1  ascii   jih\b
175  0x00002115 0x004bbd15 4   5    ...._1  ascii   h6PK
176  0x00002120 0x004bbd20 4   5    ...._1  ascii   PSVW
177  0x00002191 0x004bbd91 4   5    ...._1  ascii   Y_^[
178  0x000023f6 0x004bbff6 4   5    ...._1  ascii   G\b+G
179  0x0000249f 0x004bc09f 5   6    ...._1  ascii   t\vj,V
180  0x000024d0 0x004bc0d0 4   5    ...._1  ascii   PSVW
181  0x00002546 0x004bc146 4   5    ...._1  ascii   Y_^[
182  0x00002555 0x004bc155 4   5    ...._1  ascii   hEQK
183  0x00002575 0x004bc175 4   5    ...._1  ascii   SVWP
184  0x000027a0 0x004bc3a0 4   5    ...._1  ascii   Y_^[
185  0x000028b4 0x004bc4b4 4   5    ...._1  ascii   3WQV
186  0x0000291c 0x004bc51c 4   5    ...._1  ascii   _^[]
187  0x00002940 0x004bc540 4   5    ...._1  ascii   PSVW
188  0x000029b9 0x004bc5b9 4   5    ...._1  ascii   Y_^[
189  0x00002b7f 0x004bc77f 4   6    ...._1  utf8    s2+Ѓ blocks=Basic Latin,Cyrillic
190  0x00002bf0 0x004bc7f0 4   5    ...._1  ascii   u\b_2
191  0x00002c3b 0x004bc83b 4   5    ...._1  ascii   9FXv
192  0x00002c4a 0x004bc84a 4   5    ...._1  ascii   h`\aM
193  0x00002c62 0x004bc862 4   5    ...._1  ascii   t\tQP
194  0x00002c72 0x004bc872 4   5    ...._1  ascii   \nv\tP
195  0x00002f05 0x004bcb05 4   5    ...._1  ascii   hmRK
196  0x00002fe8 0x004bcbe8 4   6    ...._1  utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
197  0x000030c7 0x004bccc7 4   5    ...._1  ascii   ;x\fu
198  0x000030d3 0x004bccd3 4   5    ...._1  ascii   h@\bM
199  0x00003141 0x004bcd41 5   6    ...._1  ascii   ;B\bu\v
200  0x000031a6 0x004bcda6 5   6    ...._1  ascii   ;p\bu\v
201  0x000031e6 0x004bcde6 5   6    ...._1  ascii   ;y\bu\v
202  0x00003210 0x004bce10 4   5    ...._1  ascii   Y_^[
203  0x00003225 0x004bce25 4   5    ...._1  ascii   h6PK
204  0x00003230 0x004bce30 4   5    ...._1  ascii   PSVW
205  0x000032d2 0x004bced2 4   5    ...._1  ascii   Y_^[
206  0x000032e7 0x004bcee7 6   7    ...._1  ascii   M\b=UUU
207  0x00003307 0x004bcf07 4   6    ...._1  utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
208  0x00003349 0x004bcf49 4   5    ...._1  ascii   ]\bVW
209  0x000033b5 0x004bcfb5 4   5    ...._1  ascii   ;J\bu
210  0x000033d8 0x004bcfd8 4   5    ...._1  ascii   M\f;M
211  0x00003400 0x004bd000 5   6    ...._1  ascii   PQSVW
212  0x0000342b 0x004bd02b 4   5    ...._1  ascii   ;9tV
213  0x0000348f 0x004bd08f 4   5    ...._1  ascii   Y_^[
214  0x000034be 0x004bd0be 4   5    ...._1  ascii   SVWP
215  0x0000351f 0x004bd11f 4   5    ...._1  ascii   Y_^[
216  0x00003574 0x004bd174 4   6    ...._1  utf8    s%+ȃ blocks=Basic Latin,Latin Extended-B
217  0x000035b8 0x004bd1b8 4   6    ...._1  utf8    u\b3ɋ blocks=Basic Latin,Latin Extended-B
218  0x000035c2 0x004bd1c2 4   5    ...._1  ascii   =UUU
219  0x00003615 0x004bd215 4   5    ...._1  ascii   h SK
220  0x00003620 0x004bd220 4   5    ...._1  ascii   PSVW
221  0x00003684 0x004bd284 4   5    ...._1  ascii   Y_^[
222  0x00003697 0x004bd297 4   5    ...._1  ascii   E\bSV
223  0x000036d5 0x004bd2d5 4   5    ...._1  ascii   ;p\bu
224  0x000037a7 0x004bd3a7 4   5    ...._1  ascii   ;s\bu
225  0x0000391a 0x004bd51a 4   5    ...._1  ascii   ;P\bu
226  0x00003989 0x004bd589 4   5    ...._1  ascii   M\f_^
227  0x00003999 0x004bd599 4   5    ...._1  ascii   ;H\bu
228  0x00003aa6 0x004bd6a6 4   5    ...._1  ascii   ;P\bu
229  0x00003aca 0x004bd6ca 4   5    ...._1  ascii   E\f_^
230  0x00003ae5 0x004bd6e5 4   5    ...._1  ascii   h@SK
231  0x00003b76 0x004bd776 4   5    ...._1  ascii   Y_^[
232  0x00003bd0 0x004bd7d0 4   5    ...._1  ascii   _^[]
233  0x00003bf6 0x004bd7f6 4   5    ...._1  ascii   t\b_2
234  0x00003c0b 0x004bd80b 4   5    ...._1  ascii   h(\nM
