[Strings]
nth  paddr      vaddr      len size section type    string
245  0x000041b8 0x000041b8 28  29           ascii   `vector destructor iterator'
246  0x000041d8 0x000041d8 35  36           ascii   `vector vbase constructor iterator'
247  0x00004200 0x00004200 26  27           ascii   `virtual displacement map'
248  0x00004220 0x00004220 32  33           ascii   `eh vector constructor iterator'
249  0x00004248 0x00004248 31  32           ascii   `eh vector destructor iterator'
250  0x00004268 0x00004268 38  39           ascii   `eh vector vbase constructor iterator'
251  0x00004290 0x00004290 26  27           ascii   `copy constructor closure'
252  0x000042b0 0x000042b0 15  16           ascii   `udt returning'
253  0x000042c4 0x000042c4 5   6            ascii   `RTTI
254  0x000042d0 0x000042d0 15  16           ascii   `local vftable'
255  0x000042e0 0x000042e0 35  36           ascii   `local vftable constructor closure'
256  0x00004304 0x00004304 6   7            ascii    new[]
257  0x00004310 0x00004310 9   10           ascii    delete[]
258  0x00004320 0x00004320 14  15           ascii   `omni callsig'
259  0x00004330 0x00004330 26  27           ascii   `placement delete closure'
260  0x00004350 0x00004350 28  29           ascii   `placement delete[] closure'
261  0x00004370 0x00004370 37  38           ascii   `managed vector constructor iterator'
262  0x00004398 0x00004398 36  37           ascii   `managed vector destructor iterator'
263  0x000043c0 0x000043c0 37  38           ascii   `eh vector copy constructor iterator'
264  0x000043e8 0x000043e8 43  44           ascii   `eh vector vbase copy constructor iterator'
265  0x00004418 0x00004418 26  27           ascii   `dynamic initializer for '
266  0x00004438 0x00004438 32  33           ascii   `dynamic atexit destructor for '
267  0x00004460 0x00004460 34  35           ascii   `vector copy constructor iterator'
268  0x00004488 0x00004488 40  41           ascii   `vector vbase copy constructor iterator'
269  0x000044b8 0x000044b8 42  43           ascii   `managed vector copy constructor iterator'
270  0x000044e8 0x000044e8 27  28           ascii   `local static thread guard'
271  0x00004508 0x00004508 12  13           ascii   operator "" 
272  0x00004518 0x00004518 17  18           ascii    Type Descriptor'
273  0x00004530 0x00004530 27  28           ascii    Base Class Descriptor at (
274  0x00004550 0x00004550 18  19           ascii    Base Class Array'
275  0x00004568 0x00004568 28  29           ascii    Class Hierarchy Descriptor'
276  0x00004588 0x00004588 25  26           ascii    Complete Object Locator'
277  0x000045a4 0x000045a4 4   5            ascii   CV: 
278  0x000045b0 0x000045b0 19  20           ascii   template-parameter-
279  0x000045c8 0x000045c8 13  14           ascii   generic-type-
280  0x000045e0 0x000045e0 21  22           ascii   `anonymous namespace'
281  0x00004600 0x00004600 28  29           ascii   `non-type-template-parameter
282  0x00004620 0x00004620 4   5            ascii   void
283  0x00004628 0x00004628 19  20           ascii   `template-parameter
284  0x00004640 0x00004640 4   5            ascii   NULL
285  0x00004650 0x00004650 25  26           ascii   `template-type-parameter-
286  0x00004670 0x00004670 25  26           ascii   `generic-class-parameter-
287  0x00004690 0x00004690 26  27           ascii   `generic-method-parameter-
288  0x000046b8 0x000046b8 12  13           ascii   `vtordispex{
289  0x000046c8 0x000046c8 10  11           ascii   `vtordisp{
290  0x000046d8 0x000046d8 10  11           ascii   `adjustor{
291  0x000046e8 0x000046e8 32  33           ascii   `local static destructor helper'
292  0x00004710 0x00004710 48  49           ascii   `template static data member constructor helper'
293  0x00004748 0x00004748 47  48           ascii   `template static data member destructor helper'
294  0x00004778 0x00004778 7   8            ascii   static 
295  0x00004780 0x00004780 8   9            ascii   virtual 
296  0x00004790 0x00004790 9   10           ascii   private: 
297  0x000047a0 0x000047a0 11  12           ascii   protected: 
298  0x000047b0 0x000047b0 8   9            ascii   public: 
299  0x000047c0 0x000047c0 8   9            ascii   [thunk]:
300  0x000047d0 0x000047d0 11  12           ascii   extern "C" 
301  0x000047e0 0x000047e0 5   6            ascii   char 
302  0x000047e8 0x000047e8 6   7            ascii   short 
303  0x000047f0 0x000047f0 4   5            ascii   int 
304  0x000047f8 0x000047f8 5   6            ascii   long 
305  0x00004800 0x00004800 9   10           ascii   unsigned 
306  0x0000480c 0x0000480c 5   6            ascii   void 
307  0x00004818 0x00004818 8   9            ascii   volatile
308  0x00004828 0x00004828 15  16           ascii   std::nullptr_t 
309  0x00004838 0x00004838 14  15           ascii   std::nullptr_t
310  0x00004848 0x00004848 10  11           ascii   <ellipsis>
311  0x00004854 0x00004854 4   5            ascii   ,...
312  0x00004860 0x00004860 11  12           ascii   ,<ellipsis>
313  0x00004870 0x00004870 7   8            ascii    throw(
314  0x00004884 0x00004884 4   5            ascii   char
315  0x0000488c 0x0000488c 5   6            ascii   short
316  0x00004898 0x00004898 4   5            ascii   long
317  0x000048a0 0x000048a0 5   6            ascii   float
318  0x000048a8 0x000048a8 6   7            ascii   double
319  0x000048b0 0x000048b0 4   5            ascii   bool
320  0x000048b8 0x000048b8 6   7            ascii   __int8
321  0x000048c0 0x000048c0 7   8            ascii   __int16
322  0x000048c8 0x000048c8 7   8            ascii   __int32
323  0x000048d0 0x000048d0 7   8            ascii   __int64
324  0x000048d8 0x000048d8 8   9            ascii   __int128
325  0x000048e8 0x000048e8 9   10           ascii   <unknown>
326  0x000048f8 0x000048f8 8   9            ascii   char16_t
327  0x00004908 0x00004908 8   9            ascii   char32_t
328  0x00004918 0x00004918 7   8            ascii   wchar_t
329  0x00004920 0x00004920 6   7            ascii   __w64 
330  0x00004928 0x00004928 7   8            ascii   UNKNOWN
331  0x00004930 0x00004930 7   8            ascii   signed 
332  0x00004938 0x00004938 5   6            ascii   const
333  0x00004940 0x00004940 9   10           ascii    volatile
334  0x00004950 0x00004950 14  15           ascii   `unknown ecsu'
335  0x00004960 0x00004960 6   7            ascii   union 
336  0x00004968 0x00004968 7   8            ascii   struct 
337  0x00004970 0x00004970 6   7            ascii   class 
338  0x00004978 0x00004978 8   9            ascii   coclass 
339  0x00004988 0x00004988 12  13           ascii   cointerface 
340  0x00004998 0x00004998 5   6            ascii   enum 
341  0x000049a0 0x000049a0 9   10           ascii   volatile 
342  0x000049ac 0x000049ac 6   7            ascii   const 
343  0x000049c0 0x000049c0 11  12           ascii   cli::array<
344  0x000049d0 0x000049d0 13  14           ascii   cli::pin_ptr<
345  0x000049e4 0x000049e4 6   7            ascii   {flat}
346  0x000049ec 0x000049ec 5   6            ascii   {for 
347  0x00004ab8 0x00004ab8 4   5            ascii    ?? 
348  0x00004ae1 0x00004ae1 7   8            ascii   ( 8PX\a\b
349  0x00004ae9 0x00004ae9 6   7            ascii   700WP\a
350  0x00004af1 0x00004af1 4   5            ascii     \b\a
351  0x00004af8 0x00004af8 7   8            ascii   \b`h````
352  0x00004b01 0x00004b01 10  11           ascii   xpxxxx\b\a\b\a
353  0x00004b45 0x00004b45 5   6            ascii   ('8PW
354  0x00004b4e 0x00004b4e 5   6            ascii   700PP
355  0x00004b60 0x00004b60 17  18           ascii   `h`hhh\b\b\axwpwpp\b\b
356  0x00004b7c 0x00004b7c 6   7            ascii   (null)
357  0x00004b88 0x00004b88 6   14           utf16le (null)
358  0x00004bcc 0x00004bcc 12  52           utf32le \t\a\f\b\f\t\f\n\a\v\b\f
359  0x00004c50 0x00004c50 5   24           utf32le R\rS\rW
360  0x00004c68 0x00004c68 7   32           utf32le Y\vl\rm p
361  0x00004cdc 0x00004cdc 4   20           utf32le \v§\r· blocks=Basic Latin,Latin-1 Supplement
362  0x00004d2a 0x00004d2a 4   6            utf8    tFМ, blocks=Basic Latin,Cyrillic
363  0x00004d73 0x00004d73 4   6            utf8    \aIV$
364  0x00004deb 0x00004deb 4   7            utf8    ̿aYܫ blocks=Combining Diacritical Marks,Basic Latin,Syriac
365  0x00004e30 0x00004e30 4   5            ascii   d8L2
366  0x00004e5c 0x00004e5c 7   8            ascii   [aOni*{
367  0x00004e86 0x00004e86 4   5            ascii   @2&@
368  0x00004eba 0x00004eba 4   5            ascii   "RP(
369  0x00004ec8 0x00004ec8 4   6            utf8    }]9֙ blocks=Basic Latin,Hebrew
370  0x00004f33 0x00004f33 5   6            ascii   eLK(w
371  0x00004f5d 0x00004f5d 4   5            ascii   m\nXo
372  0x00004f9f 0x00004f9f 6   7            ascii   \bFEMh\f
373  0x00004fae 0x00004fae 4   5            ascii   h0'D
374  0x00004fbd 0x00004fbd 6   8            utf8    Qh٢%v} blocks=Basic Latin,Arabic
375  0x00004ff7 0x00004ff7 4   6            utf8    א:@O blocks=Hebrew,Basic Latin
376  0x00005000 0x00005000 4   5            ascii   owM&
377  0x0000503d 0x0000503d 7   9            utf8    ~ $s%rс blocks=Basic Latin,Cyrillic
378  0x0000504b 0x0000504b 7   8            ascii   \a@b;zO]
379  0x0000508b 0x0000508b 4   5            ascii   $qE}
380  0x000050c9 0x000050c9 4   5            ascii   ;*xh
381  0x0000511e 0x0000511e 4   7            utf8    H孎cY blocks=Basic Latin,CJK Unified Ideographs
382  0x0000512b 0x0000512b 4   7            utf8    &>r䴆 blocks=Basic Latin,CJK Unified Ideographs Extension A
383  0x00005133 0x00005133 4   5            ascii   ["93
384  0x00005138 0x00005138 4   5            ascii   u\azK
385  0x00005164 0x00005164 5   6            ascii   iu+-,
386  0x000051ca 0x000051ca 4   5            ascii   \lo}
387  0x000051d5 0x000051d5 5   6            ascii   obwQ4
388  0x000051ef 0x000051ef 4   5            ascii   &Sgw
389  0x00005278 0x00005278 4   5            ascii   R\tE]
390  0x00005287 0x00005287 4   5            ascii   ?nz(
391  0x000052ba 0x000052ba 4   6            utf8    EJjت blocks=Basic Latin,Arabic
392  0x000052ed 0x000052ed 4   5            ascii   0+L\v
393  0x0000533a 0x0000533a 4   5            ascii   =87M
394  0x000053f9 0x000053f9 4   6            utf8    6zƞ) blocks=Basic Latin,Latin Extended-B
395  0x0000541a 0x0000541a 6   9            utf8    ¨N2Lɭ3 blocks=Latin-1 Supplement,Basic Latin,IPA Extensions
396  0x00005427 0x00005427 6   7            ascii   v2!L.2
397  0x00005470 0x00005470 4   5            ascii   \tcQr
398  0x000054a9 0x000054a9 4   5            ascii   X/4B
399  0x000054fd 0x000054fd 4   6            utf8    ;҉s} blocks=Basic Latin,Cyrillic
400  0x00005529 0x00005529 4   6            utf8    B(Ȏy blocks=Basic Latin,Latin Extended-B
401  0x00005547 0x00005547 4   5            ascii   k=yI
402  0x00005579 0x00005579 4   6            utf8    øBnc blocks=Latin-1 Supplement,Basic Latin
403  0x000055aa 0x000055aa 5   6            ascii   ^<V7w
404  0x000055fd 0x000055fd 6   8            utf8    W&|.ڋu blocks=Basic Latin,Arabic
405  0x000056e0 0x000056e0 49  100          utf16le minkernel\crts\ucrt\inc\corecrt_internal_strtox.h
