[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
184  0x00005fd2 0x00406bd2 4   5    .text   ascii   tRht
185  0x000060e7 0x00406ce7 4   5    .text   ascii   j\rhh
186  0x000063d4 0x00406fd4 6   8    .text   utf8    O03ҍF0 blocks=Basic Latin,Cyrillic
187  0x00006475 0x00407075 4   5    .text   ascii   hXqH
188  0x000064ab 0x004070ab 4   5    .text   ascii   CE\bP
189  0x000064cd 0x004070cd 4   5    .text   ascii   CE\bf
190  0x000064d5 0x004070d5 4   5    .text   ascii   \t j
191  0x00006530 0x00407130 4   5    .text   ascii   \br\r@
192  0x00006577 0x00407177 5   6    .text   ascii   \br2AQ
193  0x0000659c 0x0040719c 5   6    .text   ascii   \br\r@P
194  0x000065f1 0x004071f1 4   5    .text   ascii   SVWP
195  0x00006700 0x00407300 4   5    .text   ascii   \br\r@
196  0x0000685c 0x0040745c 4   5    .text   ascii   \br\r@
197  0x000068c6 0x004074c6 4   5    .text   ascii   Y_^[
198  0x00006900 0x00407500 5   6    .text   ascii   PQSVW
199  0x000069a3 0x004075a3 4   5    .text   ascii   Y_^[
200  0x00006a14 0x00407614 4   6    .text   utf8    3ɋE\b blocks=Basic Latin,Latin Extended-B
201  0x00006ae5 0x004076e5 5   6    .text   ascii   ]\fVWS
202  0x00006b4e 0x0040774e 4   5    .text   ascii   8_^[
203  0x00006b6a 0x0040776a 6   8    .text   utf8    _3͉0^[ blocks=Basic Latin,Combining Diacritical Marks
204  0x00006c75 0x00407875 4   5    .text   ascii   h4rH
205  0x00006c8e 0x0040788e 4   5    .text   ascii   SVWP
206  0x00006d69 0x00407969 4   6    .text   utf8    uЋH8 blocks=Basic Latin,Cyrillic
207  0x00006dd3 0x004079d3 4   7    .text   utf8    Q\f\vЋ blocks=Basic Latin,Cyrillic
208  0x00006e1c 0x00407a1c 4   5    .text   ascii   Y_^[
209  0x00006e35 0x00407a35 4   5    .text   ascii   hfrH
210  0x00006fb4 0x00407bb4 4   5    .text   ascii   M\fVW
211  0x0000709e 0x00407c9e 4   5    .text   ascii   SVWP
212  0x00007194 0x00407d94 4   5    .text   ascii   Y_^[
213  0x000071d2 0x00407dd2 4   5    .text   ascii   ] VW
214  0x000071e2 0x00407de2 5   6    .text   ascii   T$<RP
215  0x000071f8 0x00407df8 5   6    .text   ascii   D$pPQ
216  0x0000720e 0x00407e0e 4   5    .text   ascii   D$tP
217  0x00007213 0x00407e13 4   5    .text   ascii   D$|P
218  0x00007252 0x00407e52 4   5    .text   ascii   YD$H
219  0x00007265 0x00407e65 4   5    .text   ascii   D$@=
220  0x0000726a 0x00407e6a 4   6    .text   utf8    ʚ;t( blocks=IPA Extensions,Basic Latin
221  0x000072ab 0x00407eab 8   9    .text   ascii   D$`9D$\t
222  0x000072d3 0x00407ed3 4   5    .text   ascii   M\f_^
223  0x00007322 0x00407f22 4   5    .text   ascii   ] VW
224  0x00007332 0x00407f32 5   6    .text   ascii   T$LRP
225  0x00007348 0x00407f48 5   6    .text   ascii   D$pPQ
226  0x00007353 0x00407f53 4   7    .text   utf8    D$`讐 blocks=Basic Latin,CJK Unified Ideographs
