[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
63   0x0000177a 0x0040237a 4   5    .text   ascii   uWSS
64   0x00001919 0x00402519 4   5    .text   ascii   vz9~
65   0x00001966 0x00402566 4   5    .text   ascii   \f8WP
66   0x000019ca 0x004025ca 8   9    .text   ascii   F\fS;F\br0
67   0x000019e8 0x004025e8 4   5    .text   ascii   ]\bWS
68   0x00001a2a 0x0040262a 8   9    .text   ascii   F\bS;F\fr0
69   0x00001a39 0x00402639 4   5    .text   ascii   v'SP
70   0x00001a70 0x00402670 4   5    .text   ascii   ~\b)~
71   0x00001ad4 0x004026d4 4   5    .text   ascii   SVj8
72   0x00001b5e 0x0040275e 9   10   .text   ascii   F\b_9^$t\t9
73   0x00001c5f 0x0040285f 5   6    .text   ascii   ;G0w\t
74   0x00001d34 0x00402934 5   6    .text   ascii   ;_4r\n
75   0x00001d69 0x00402969 6   7    .text   ascii   t!9M\b|
76   0x00001d87 0x00402987 4   5    .text   ascii   f9\bu
77   0x00001d93 0x00402993 4   5    .text   ascii   QSVW
78   0x00001e2b 0x00402a2b 6   7    .text   ascii   \ej;Yf;
79   0x00001e75 0x00402a75 4   5    .text   ascii   @_^[
80   0x00002002 0x00402c02 6   7    .text   ascii   E\f_^[]
81   0x00002052 0x00402c52 4   5    .text   ascii   t4FV
82   0x0000215c 0x00402d5c 5   6    .text   ascii   t$j\bj
83   0x00002163 0x00402d63 5   6    .text   ascii   u\fj\bP
84   0x0000218b 0x00402d8b 4   5    .text   ascii   QVW3
85   0x000021af 0x00402daf 5   7    .text   utf8    VVVV+
86   0x000021f9 0x00402df9 4   5    .text   ascii   tEVW
87   0x00002200 0x00402e00 4   5    .text   ascii   @j;P
88   0x000022cb 0x00402ecb 4   6    .text   utf8    EЋE\b blocks=Basic Latin,Cyrillic
89   0x000022f3 0x00402ef3 5   6    .text   ascii   QSVWj
90   0x00002363 0x00402f63 4   5    .text   ascii   Y_^[
91   0x0000236e 0x00402f6e 6   7    .text   ascii   |SVWh\n
92   0x000023ac 0x00402fac 6   10   .text   utf8    3\t]ȍ}̫ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
93   0x000023b7 0x00402fb7 6   10   .text   utf8    3\t]؍}ܫ blocks=Basic Latin,Arabic,Syriac
94   0x00002484 0x00403084 5   6    .text   ascii   PSSSS
95   0x0000249d 0x0040309d 4   5    .text   ascii   YY9]
96   0x000024d4 0x004030d4 5   6    .text   ascii   _^[t\t
97   0x000024ed 0x004030ed 4   5    .text   ascii   SVW3
98   0x00002525 0x00403125 4   7    .text   utf8    3\r}ī blocks=Basic Latin,Latin Extended-A
99   0x000025b8 0x004031b8 8   9    .text   ascii   PSSSWSSS
100  0x0000266e 0x0040326e 5   6    .text   ascii   YY_^[
101  0x0000268c 0x0040328c 7   8    .text   ascii   t;WVVPh
102  0x000027de 0x004033de 4   5    .text   ascii   f;\at
103  0x00002808 0x00403408 4   5    .text   ascii   <SW3
104  0x0000284a 0x0040344a 5   8    .text   utf8    }ԉ}؉> blocks=Basic Latin,Cyrillic Supplement,Arabic
105  0x0000287e 0x0040347e 5   6    .text   ascii   t6PWh
106  0x00002894 0x00403494 4   5    .text   ascii   u\bWW
107  0x0000290a 0x0040350a 4   6    .text   utf8    ËF\fW blocks=Latin-1 Supplement,Basic Latin
108  0x00002939 0x00403539 4   5    .text   ascii   SVj(
109  0x00002982 0x00403582 4   5    .text   ascii   F\f_;
110  0x00002989 0x00403589 4   5    .text   ascii   9^\bu
111  0x00002a76 0x00403676 7   8    .text   ascii   \fSVWj\^
112  0x00002aaa 0x004036aa 4   5    .text   ascii   E\f\bV
113  0x00002b00 0x00403700 7   8    .text   ascii   f;\at8Cf
114  0x00002b2a 0x0040372a 4   6    .text   utf8    p\f3ۅ blocks=Basic Latin,Arabic
115  0x00002b6c 0x0040376c 4   5    .text   ascii   f;\at
116  0x00002b8d 0x0040378d 4   5    .text   ascii   @_^[
117  0x00002b99 0x00403799 6   7    .text   ascii   SVWj\^
118  0x00002bcc 0x004037cc 4   5    .text   ascii   E\f\bV
119  0x00002c3e 0x0040383e 7   8    .text   ascii   f;\at3Cf
120  0x00002ca5 0x004038a5 7   8    .text   ascii   f;\at-Cf
121  0x00002d06 0x00403906 7   8    .text   ascii   f;\at8Cf
122  0x00002d30 0x00403930 4   6    .text   utf8    p\b3ۅ blocks=Basic Latin,Arabic
123  0x00002d72 0x00403972 4   5    .text   ascii   f;\at
124  0x00002d93 0x00403993 4   5    .text   ascii   @_^[
125  0x00002da3 0x004039a3 4   5    .text   ascii   @\bW3
126  0x00002dbf 0x004039bf 4   5    .text   ascii   p t\n
127  0x00002e10 0x00403a10 4   5    .text   ascii   ,SVW
128  0x00002e40 0x00403a40 4   5    .text   ascii   N\fj(
129  0x00002ebc 0x00403abc 5   6    .text   ascii   D$ WP
130  0x00002efc 0x00403afc 4   5    .text   ascii   D$ Y
131  0x00002f46 0x00403b46 4   5    .text   ascii   D$(j
132  0x00002f5f 0x00403b5f 5   6    .text   ascii   t$ PS
133  0x00002fb3 0x00403bb3 4   5    .text   ascii   Y9|$
134  0x00002fc3 0x00403bc3 4   5    .text   ascii   Y9|$
135  0x00002fd3 0x00403bd3 4   5    .text   ascii   Y_^3
136  0x00003009 0x00403c09 5   6    .text   ascii   Qh\b:@
137  0x000030cf 0x00403ccf 4   5    .text   ascii   QSV3
138  0x0000310c 0x00403d0c 4   5    .text   ascii   SSVh
139  0x000031c4 0x00403dc4 8   10   .text   utf8    YWj\bY3\r~
140  0x000031dc 0x00403ddc 4   5    .text   ascii   SVj0
141  0x00003211 0x00403e11 5   7    .text   utf8    j\b3\r{
142  0x0000329f 0x00403e9f 6   7    .text   ascii   1H;u\bt
143  0x000032d5 0x00403ed5 4   5    .text   ascii   C\bVP
144  0x000032e1 0x00403ee1 4   8    .text   utf8    3\r}૫ blocks=Basic Latin,Gujarati
145  0x00003335 0x00403f35 8   10   .text   utf8    ,VWj\bY3\v
146  0x0000337d 0x00403f7d 7   8    .text   ascii   t8SVVjL
147  0x000034af 0x004040af 4   5    .text   ascii   @\fAf
148  0x0000350a 0x0040410a 4   5    .text   ascii   u\bVS
149  0x00003537 0x00404137 4   5    .text   ascii   _^[]
150  0x000035d7 0x004041d7 4   5    .text   ascii   YY_^
151  0x000036f2 0x004042f2 5   6    .text   ascii   !_ !_
152  0x000036f8 0x004042f8 5   7    .text   utf8    [^Ã~\b blocks=Basic Latin,Latin-1 Supplement
153  0x00003871 0x00404471 4   5    .text   ascii   ]\bVW
154  0x00003910 0x00404510 4   7    .text   utf8    +ߋƉ} blocks=Basic Latin,NKo,Latin Extended-B
155  0x000039e5 0x004045e5 4   5    .text   ascii   N\f+E
156  0x00003a17 0x00404617 4   5    .text   ascii   f9DJ
157  0x00003a56 0x00404656 4   6    .text   utf8    M܋G\f blocks=Basic Latin,Syriac
158  0x00003a7b 0x0040467b 5   7    .text   utf8    f+ыK\f blocks=Basic Latin,Cyrillic
159  0x00003b2c 0x0040472c 4   5    .text   ascii   F\bVS
160  0x00003baa 0x004047aa 5   7    .text   utf8    I3\vW\f
161  0x00003bef 0x004047ef 4   5    .text   ascii   QSVW
162  0x00003c20 0x00404820 4   5    .text   ascii   x*!]
163  0x00003c5b 0x0040485b 5   6    .text   ascii   QQWPj
164  0x00003ce3 0x004048e3 4   5    .text   ascii   ]\bVW
165  0x00003da4 0x004049a4 5   7    .text   utf8    ^ËQ\fW blocks=Basic Latin,Latin-1 Supplement
166  0x00003dc3 0x004049c3 4   5    .text   ascii   w\nr\r
167  0x00003edf 0x00404adf 5   6    .text   ascii   M\fSVW
168  0x00003fc9 0x00404bc9 5   6    .text   ascii   G\bWWS
169  0x00004043 0x00404c43 5   6    .text   ascii   G\bWWS
170  0x000040ce 0x00404cce 4   6    .text   utf8    M\b3Ё blocks=Basic Latin,Cyrillic
171  0x00004104 0x00404d04 6   7    .text   ascii   u\bWj\bY
172  0x0000410f 0x00404d0f 5   6    .text   ascii   u\fj Y
173  0x0000421a 0x00404e1a 4   7    .text   utf8    ]\t]ċ blocks=Basic Latin,Latin Extended-A
174  0x00004240 0x00404e40 5   8    .text   utf8    E\tEčE blocks=Basic Latin,Latin Extended-A
175  0x000042a6 0x00404ea6 5   7    .text   utf8    [+؋F  blocks=Basic Latin,Arabic
176  0x000042c2 0x00404ec2 4   5    .text   ascii   v VV
177  0x000043b4 0x00404fb4 4   5    .text   ascii   G PP
178  0x00004498 0x00405098 4   5    .text   ascii   t\f9}
179  0x000044b6 0x004050b6 5   6    .text   ascii   (SVWj
180  0x00004542 0x00405142 4   5    .text   ascii   t>9u
181  0x00004547 0x00405147 4   5    .text   ascii   u99}
182  0x000045a2 0x004051a2 4   5    .text   ascii   Wj\V
183  0x00004711 0x00405311 4   6    .text   utf8    ]܋E\b blocks=Basic Latin,Syriac
184  0x0000472b 0x0040532b 4   5    .text   ascii   0j Y
185  0x000047e3 0x004053e3 4   5    .text   ascii    VW3
186  0x000047ec 0x004053ec 4   5    .text   ascii   Pj\ah
187  0x000048cc 0x004054cc 6   7    .text   ascii   ]\ftLVW
188  0x00004960 0x00405560 4   5    .text   ascii   9u\fs
189  0x000049a3 0x004055a3 4   5    .text   ascii   ;M\bw
190  0x000049aa 0x004055aa 4   5    .text   ascii   _^[]
191  0x000049e8 0x004055e8 4   5    .text   ascii   9u\fs
192  0x00004a1f 0x0040561f 5   6    .text   ascii   0;M\bw
193  0x00004a27 0x00405627 4   5    .text   ascii   _^[]
194  0x00004a42 0x00405642 4   5    .text   ascii   SWh\n
195  0x00004a66 0x00405666 4   5    .text   ascii   t_9]
196  0x00004a7f 0x0040567f 4   5    .text   ascii   \bj\W
197  0x00004aaa 0x004056aa 5   6    .text   ascii   ^9M\fr
198  0x00004b92 0x00405792 4   5    .text   ascii   .u&f
199  0x00004c89 0x00405889 4   5    .text   ascii   t.xD
200  0x00004d1b 0x0040591b 4   5    .text   ascii   }\fYY
201  0x00004d4d 0x0040594d 4   5    .text   ascii   ]\b)u
202  0x00004e79 0x00405a79 4   5    .text   ascii   u\fWP
203  0x00004eda 0x00405ada 4   5    .text   ascii   +u\b;
204  0x00004f17 0x00405b17 4   5    .text   ascii   u\fPW
205  0x00004f2b 0x00405b2b 4   6    .text   utf8    u\f+ރ blocks=Basic Latin,Thaana
206  0x00004f38 0x00405b38 4   5    .text   ascii   +u\b;
207  0x00004f50 0x00405b50 4   6    .text   utf8    \f+ލE blocks=Basic Latin,Thaana
208  0x00004fed 0x00405bed 4   5    .text   ascii   u\fVP
209  0x00005038 0x00405c38 4   6    .text   utf8    ^]Ëv blocks=Basic Latin,Latin-1 Supplement
210  0x00005096 0x00405c96 4   6    .text   utf8    ^]Ëv blocks=Basic Latin,Latin-1 Supplement
211  0x000050b0 0x00405cb0 4   5    .text   ascii   r\rWV
212  0x000050e0 0x00405ce0 6   7    .text   ascii   u\fho\@
213  0x0000513a 0x00405d3a 4   5    .text   ascii   woVW
214  0x0000517d 0x00405d7d 6   7    .text   ascii   u&j\f^9
215  0x00005202 0x00405e02 4   6    .text   utf8    ]ËU\f blocks=Basic Latin,Latin-1 Supplement
216  0x00005215 0x00405e15 4   5    .text   ascii   t\rf;
217  0x000053b1 0x00405fb1 4   5    .text   ascii   E\b^_
218  0x000053bd 0x00405fbd 4   5    .text   ascii   E\b^_
219  0x000053cf 0x00405fcf 4   5    .text   ascii   E\b^_
220  0x000053e9 0x00405fe9 4   5    .text   ascii   E\b^_
221  0x0000554d 0x0040614d 4   5    .text   ascii   E\b^_
222  0x0000555b 0x0040615b 4   5    .text   ascii   E\b^_
223  0x00005571 0x00406171 4   5    .text   ascii   E\b^_
224  0x0000558b 0x0040618b 4   5    .text   ascii   E\b^_
225  0x00005675 0x00406275 4   5    .text   ascii   Hpu\a
226  0x00005695 0x00406295 4   5    .text   ascii   Hpu\b
227  0x000056d2 0x004062d2 4   5    .text   ascii   f9E\b
228  0x00005711 0x00406311 5   6    .text   ascii   f9E\bs
229  0x00005724 0x00406324 5   6    .text   ascii   E\bYt,
230  0x0000573c 0x0040633c 5   6    .text   ascii   U\bRPQ
231  0x00005774 0x00406374 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
232  0x000057d0 0x004063d0 6   8    .text   utf8    3\nD$\bS
233  0x00005805 0x00406405 4   6    .text   utf8    V\v؋\n blocks=Basic Latin,Arabic
234  0x00005844 0x00406444 4   5    .text   ascii   ^_[3
235  0x0000587c 0x0040647c 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
236  0x00005883 0x00406483 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
237  0x0000588a 0x0040648a 4   6    .text   utf8    ^_[Ë blocks=Basic Latin,Latin-1 Supplement
238  0x000058ae 0x004064ae 4   5    .text   ascii   f9\bu
239  0x000058b3 0x004064b3 4   5    .text   ascii   f9\bt
240  0x000058e5 0x004064e5 4   5    .text   ascii   jXhp
241  0x00005903 0x00406503 5   6    .text   ascii   u\vVVj
242  0x0000598a 0x0040658a 4   5    .text   ascii   y\bj\e
243  0x000059b0 0x004065b0 4   5    .text   ascii   y\bj\b
244  0x000059c1 0x004065c1 4   5    .text   ascii   y\bj\t
245  0x000059ef 0x004065ef 7   8    .text   ascii   j\nYQPVh
246  0x00005a25 0x00406625 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
247  0x00005a7b 0x0040667b 5   7    .text   utf8    +ËM\ff blocks=Basic Latin,Latin-1 Supplement
248  0x00005ab4 0x004066b4 4   6    .text   utf8    _[]Ë blocks=Basic Latin,Latin-1 Supplement
249  0x00005c41 0x00406841 4   5    .text   ascii   E\b^_
250  0x00005c4d 0x0040684d 4   5    .text   ascii   E\b^_
251  0x00005c5f 0x0040685f 4   5    .text   ascii   E\b^_
252  0x00005c79 0x00406879 4   5    .text   ascii   E\b^_
253  0x00005ddd 0x004069dd 4   5    .text   ascii   E\b^_
254  0x00005deb 0x004069eb 4   5    .text   ascii   E\b^_
255  0x00005e01 0x00406a01 4   5    .text   ascii   E\b^_
256  0x00005e1b 0x00406a1b 4   5    .text   ascii   E\b^_
257  0x00005e2f 0x00406a2f 7   9    .text   utf8    ̋L$\bWSV blocks=Combining Diacritical Marks,Basic Latin
258  0x00005e68 0x00406a68 4   5    .text   ascii   ^[_3
259  0x00005eac 0x00406aac 4   6    .text   utf8    ^[_Ë blocks=Basic Latin,Latin-1 Supplement
260  0x00005eb2 0x00406ab2 4   6    .text   utf8    ^[_Ë blocks=Basic Latin,Latin-1 Supplement
261  0x00005eec 0x00406aec 4   5    .text   ascii   tR:Q
262  0x00005ef8 0x00406af8 4   5    .text   ascii   t<:Q
263  0x00005f04 0x00406b04 4   5    .text   ascii   t&:Q
264  0x00005f5d 0x00406b5d 6   7    .text   ascii   u\r@FA;
