Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00001000   0xa000 0x00401000   0xa000 -rwx UPX0
1   0x0000b000   0x3000 0x0040b000   0x3000 -rwx UPX1
2   0x0000e000  0x12000 0x0040e000  0x12000 -rw- .rsrc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00404670 paddr=0x00004670 haddr=0x00000128 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004070f4 NONE FUNC KERNEL32.DLL WriteFile
2   0x004070f8 NONE FUNC KERNEL32.DLL ReadFile
3   0x004070fc NONE FUNC KERNEL32.DLL GetWindowsDirectoryA
4   0x00407100 NONE FUNC KERNEL32.DLL GetLastError
5   0x00407104 NONE FUNC KERNEL32.DLL FindNextFileA
6   0x00407108 NONE FUNC KERNEL32.DLL FindFirstFileA
7   0x0040710c NONE FUNC KERNEL32.DLL FindClose
8   0x00407110 NONE FUNC KERNEL32.DLL FileTimeToLocalFileTime
9   0x00407114 NONE FUNC KERNEL32.DLL FileTimeToDosDateTime
10  0x00407118 NONE FUNC KERNEL32.DLL ExitProcess
11  0x0040711c NONE FUNC KERNEL32.DLL DeleteFileA
12  0x00407120 NONE FUNC KERNEL32.DLL CreateMutexA
13  0x00407124 NONE FUNC KERNEL32.DLL CreateFileA
14  0x00407128 NONE FUNC KERNEL32.DLL CopyFileA
15  0x0040712c NONE FUNC KERNEL32.DLL CloseHandle
1   0x00407064 NONE FUNC KERNEL32.DLL GetCurrentThreadId
2   0x00407100 NONE FUNC KERNEL32.DLL GetLastError
3   0x00407118 NONE FUNC KERNEL32.DLL ExitProcess
4   0x004070f4 NONE FUNC KERNEL32.DLL WriteFile
5   0x00407074 NONE FUNC KERNEL32.DLL UnhandledExceptionFilter
6   0x00407078 NONE FUNC KERNEL32.DLL SetFilePointer
7   0x0040707c NONE FUNC KERNEL32.DLL SetEndOfFile
8   0x00407080 NONE FUNC KERNEL32.DLL RtlUnwind
9   0x004070f8 NONE FUNC KERNEL32.DLL ReadFile
10  0x00407088 NONE FUNC KERNEL32.DLL RaiseException
11  0x0040708c NONE FUNC KERNEL32.DLL GetStdHandle
12  0x00407090 NONE FUNC KERNEL32.DLL GetFileSize
13  0x00407094 NONE FUNC KERNEL32.DLL GetFileType
14  0x00407124 NONE FUNC KERNEL32.DLL CreateFileA
15  0x0040712c NONE FUNC KERNEL32.DLL CloseHandle
16  0x004070a0 NONE FUNC KERNEL32.DLL GetCommandLineA
17  0x004070a4 NONE FUNC KERNEL32.DLL TlsSetValue
18  0x004070a8 NONE FUNC KERNEL32.DLL TlsGetValue
19  0x004070ac NONE FUNC KERNEL32.DLL LocalAlloc
20  0x004070b0 NONE FUNC KERNEL32.DLL GetModuleHandleA
21  0x004070b4 NONE FUNC KERNEL32.DLL GetModuleFileNameA
22  0x004070b8 NONE FUNC KERNEL32.DLL FreeLibrary
23  0x004070bc NONE FUNC KERNEL32.DLL HeapFree
24  0x004070c0 NONE FUNC KERNEL32.DLL HeapReAlloc
25  0x004070c4 NONE FUNC KERNEL32.DLL HeapAlloc
26  0x004070c8 NONE FUNC KERNEL32.DLL GetProcessHeap
1   0x004070d8 NONE FUNC advapi32.dll RegSetValueExA
2   0x004070dc NONE FUNC advapi32.dll RegQueryValueExA
3   0x004070e0 NONE FUNC advapi32.dll RegOpenKeyExA
4   0x004070e4 NONE FUNC advapi32.dll RegFlushKey
5   0x004070e8 NONE FUNC advapi32.dll RegCreateKeyExA
6   0x004070ec NONE FUNC advapi32.dll RegCloseKey
1   0x004070d0 NONE FUNC user32.dll   CharNextA

[Symbols]

nth paddr      vaddr      bind type size lib          name
0x0001212f 0x00007104 SET_32 KERNEL32.DLL_FindNextFileA
0x0001213f 0x00007108 SET_32 KERNEL32.DLL_FindFirstFileA
0x00012150 0x0000710c SET_32 KERNEL32.DLL_FindClose
0x0001215c 0x00007110 SET_32 KERNEL32.DLL_FileTimeToLocalFileTime
0x00012176 0x00007114 SET_32 KERNEL32.DLL_FileTimeToDosDateTime
0x0001218e 0x00007118 SET_32 KERNEL32.DLL_ExitProcess
0x0001219c 0x0000711c SET_32 KERNEL32.DLL_DeleteFileA
0x000121aa 0x00007120 SET_32 KERNEL32.DLL_CreateMutexA
0x000121b9 0x00007124 SET_32 KERNEL32.DLL_CreateFileA
0x000121c7 0x00007128 SET_32 KERNEL32.DLL_CopyFileA
0x000121d3 0x0000712c SET_32 KERNEL32.DLL_CloseHandle
0x00012261 0x00007064 SET_32 KERNEL32.DLL_GetCurrentThreadId
0x00012276 0x00007068 SET_32 KERNEL32.DLL_GetLastError
0x00012285 0x0000706c SET_32 KERNEL32.DLL_ExitProcess
0x00012293 0x00007070 SET_32 KERNEL32.DLL_WriteFile
0x0001229f 0x00007074 SET_32 KERNEL32.DLL_UnhandledExceptionFilter
0x000122ba 0x00007078 SET_32 KERNEL32.DLL_SetFilePointer
0x000122cb 0x0000707c SET_32 KERNEL32.DLL_SetEndOfFile
0x000122da 0x00007080 SET_32 KERNEL32.DLL_RtlUnwind
0x000122e6 0x00007084 SET_32 KERNEL32.DLL_ReadFile
0x000122f1 0x00007088 SET_32 KERNEL32.DLL_RaiseException
0x00012302 0x0000708c SET_32 KERNEL32.DLL_GetStdHandle
0x00012311 0x00007090 SET_32 KERNEL32.DLL_GetFileSize
0x0001231f 0x00007094 SET_32 KERNEL32.DLL_GetFileType
0x0001232d 0x00007098 SET_32 KERNEL32.DLL_CreateFileA
0x0001233b 0x0000709c SET_32 KERNEL32.DLL_CloseHandle
0x00012349 0x000070a0 SET_32 KERNEL32.DLL_GetCommandLineA
0x0001235b 0x000070a4 SET_32 KERNEL32.DLL_TlsSetValue
0x00012369 0x000070a8 SET_32 KERNEL32.DLL_TlsGetValue
0x00012377 0x000070ac SET_32 KERNEL32.DLL_LocalAlloc
0x00012384 0x000070b0 SET_32 KERNEL32.DLL_GetModuleHandleA
0x00012397 0x000070b4 SET_32 KERNEL32.DLL_GetModuleFileNameA
0x000123ac 0x000070b8 SET_32 KERNEL32.DLL_FreeLibrary
0x000123ba 0x000070bc SET_32 KERNEL32.DLL_HeapFree
0x000123c5 0x000070c0 SET_32 KERNEL32.DLL_HeapReAlloc
0x000123d3 0x000070c4 SET_32 KERNEL32.DLL_HeapAlloc
0x000123df 0x000070c8 SET_32 KERNEL32.DLL_GetProcessHeap
0x00012420 0x000070d8 SET_32 advapi32.dll_RegSetValueExA
0x00012431 0x000070dc SET_32 advapi32.dll_RegQueryValueExA
0x00012444 0x000070e0 SET_32 advapi32.dll_RegOpenKeyExA
0x00012454 0x000070e4 SET_32 advapi32.dll_RegFlushKey
0x00012462 0x000070e8 SET_32 advapi32.dll_RegCreateKeyExA
0x00012474 0x000070ec SET_32 advapi32.dll_RegCloseKey
0x0001249e 0x000070d0 SET_32 user32.dll_CharNextA


48 relocations
1766458
=== VS_VERSIONINFO ===

Section to Segment mapping:
Segment Section
---------------


