Metadata Signature: 0x14d14 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 537c
Stream name: #~ 4
DirectoryAddress: 53e8 Size: 57c4
Stream name: #Strings 12
DirectoryAddress: abac Size: cc
Stream name: #US 4
DirectoryAddress: ac78 Size: 10
Stream name: #GUID 8
DirectoryAddress: ac88 Size: 1ac8
Stream name: #Blob 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
139   0x0000b5fe 0x0040d1fe 4   5    .text   ascii   \n%\n9
140   0x0000b71a 0x0040d31a 4   5    .text   ascii   \n\n \n
141   0x0000b964 0x0040d564 4   5    .text   ascii   \n\n \v
142   0x0000bba8 0x0040d7a8 4   5    .text   ascii   &\bu\v
143   0x0000bebc 0x0040dabc 4   5    .text   ascii   \f\b:{
144   0x0000c2ca 0x0040deca 4   5    .text   ascii   \n\v8b
145   0x0000c351 0x0040df51 4   5    .text   ascii   \n\ao|
146   0x0000c3a5 0x0040dfa5 4   5    .text   ascii   \n\v8}
147   0x0000c452 0x0040e052 4   5    .text   ascii   \a*\e0
148   0x0000c578 0x0040e178 4   5    .text   ascii   \nYo\a
149   0x0000c5b0 0x0040e1b0 4   5    .text   ascii   \n& \t
150   0x0000c6d2 0x0040e2d2 4   5    .text   ascii   \n& \b
151   0x0000cd28 0x0040e928 4   5    .text   ascii   \r\t:>
152   0x0000d1f9 0x0040edf9 4   5    .text   ascii   dY@L
153   0x0000d995 0x0040f595 5   6    .text   ascii   \n\v\ao#
154   0x0000d99d 0x0040f59d 4   5    .text   ascii   \f\ao$
155   0x0000dfb8 0x0040fbb8 4   5    .text   ascii   \v\aoF
156   0x0000e2d9 0x0040fed9 4   5    .text   ascii   \n\r\b\t
157   0x0000e2e3 0x0040fee3 5   6    .text   ascii   \n\f\b F
158   0x0000e445 0x00410045 4   5    .text   ascii   \f\asR
159   0x0000e45b 0x0041005b 4   5    .text   ascii   \t\toS
160   0x0000e621 0x00410221 4   5    .text   ascii   \b\a(\a
161   0x0000e6eb 0x004102eb 4   5    .text   ascii   \b\a(\a
162   0x0000e7c8 0x004103c8 4   5    .text   ascii   \b\a(\b
163   0x0000e7ce 0x004103ce 4   5    .text   ascii   +\n8W
164   0x0000e8b7 0x004104b7 4   5    .text   ascii   \b\a(\b
165   0x0000ea79 0x00410679 4   5    .text   ascii   \n\r((
166   0x0000ea7f 0x0041067f 4   5    .text   ascii   \n M\r
167   0x0000eaa8 0x004106a8 4   5    .text   ascii   \n\to%
168   0x0000ebcb 0x004107cb 4   5    .text   ascii   \n\f\b\a
169   0x0000ebda 0x004107da 5   6    .text   ascii   \n&\bo%
