Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
156  0x00001c43 0x00012843 6   7    .text   ascii   WATAUH
157  0x00001c4d 0x0001284d 5   6    .text   ascii   l$`Mc
158  0x00001cb0 0x000128b0 11  12   .text   ascii   H;O0r\aH+G0H
159  0x00001cbd 0x000128bd 6   7    .text   ascii   H;O r[
160  0x00001cd0 0x000128d0 4   5    .text   ascii   t\vLc
161  0x00001cdf 0x000128df 4   5    .text   ascii   o D+
162  0x00001ce4 0x000128e4 6   7    .text   ascii   D+o(E;
163  0x00001cf6 0x000128f6 4   5    .text   ascii   O(Hc
164  0x00001d51 0x00012951 4   5    .text   ascii   t\vLc
165  0x00001d88 0x00012988 4   5    .text   ascii   \$@H
166  0x00001d8d 0x0001298d 4   5    .text   ascii   l$HH
167  0x00001d92 0x00012992 4   5    .text   ascii   t$PH
168  0x00001d98 0x00012998 6   7    .text   ascii    A]A\_
169  0x00001daa 0x000129aa 4   5    .text   ascii   \$\bH
170  0x00001e06 0x00012a06 4   5    .text   ascii   F(H+
171  0x00001e22 0x00012a22 4   5    .text   ascii   l$HH
172  0x00001e2e 0x00012a2e 4   5    .text   ascii   \$@H
173  0x00001e42 0x00012a42 4   5    .text   ascii   \$\bH
174  0x00001e4f 0x00012a4f 6   7    .text   ascii   WATAUH
175  0x00001ea5 0x00012aa5 13  14   .text   ascii   S H;S0r\aH+K0H
176  0x00001ec6 0x00012ac6 4   5    .text   ascii   tiLc
177  0x00001ef5 0x00012af5 4   5    .text   ascii   t\vLc
178  0x00001f08 0x00012b08 6   7    .text   ascii   D+c(D;
179  0x00001f1a 0x00012b1a 4   5    .text   ascii   S(Hc
180  0x00001f44 0x00012b44 7   8    .text   ascii   S H;S0r
181  0x00001f4e 0x00012b4e 7   8    .text   ascii   C(H+C0H
182  0x00001f63 0x00012b63 4   5    .text   ascii   C H;
183  0x00001f6a 0x00012b6a 5   6    .text   ascii   H9K8r
184  0x00001f70 0x00012b70 5   6    .text   ascii   H9C8w
185  0x00001f77 0x00012b77 6   7    .text   ascii   \fH9C8v
186  0x00001f7e 0x00012b7e 5   6    .text   ascii   H9K8r
187  0x00001f9b 0x00012b9b 4   5    .text   ascii   \$@H
188  0x00001fa0 0x00012ba0 4   5    .text   ascii   l$HH
189  0x00001fad 0x00012bad 6   7    .text   ascii    A]A\_
190  0x00001fcd 0x00012bcd 5   6    .text   ascii   x ATH
191  0x00002008 0x00012c08 4   5    .text   ascii   C I;
192  0x0000200d 0x00012c0d 7   8    .text   ascii   u\fH9S8u
193  0x00002025 0x00012c25 4   5    .text   ascii   w\tI;
194  0x00002047 0x00012c47 7   8    .text   ascii   C8H;C0r
195  0x0000204f 0x00012c4f 5   6    .text   ascii   +C0Hc
196  0x0000205b 0x00012c5b 4   5    .text   ascii   K8I;
197  0x00002060 0x00012c60 8   9    .text   ascii   u\rH9S8u\a
198  0x00002097 0x00012c97 4   5    .text   ascii   \$0H
199  0x0000209c 0x00012c9c 4   5    .text   ascii   l$8H
200  0x000020a1 0x00012ca1 4   5    .text   ascii   t$@H
201  0x000020a6 0x00012ca6 4   5    .text   ascii   |$HH
202  0x000020ba 0x00012cba 4   5    .text   ascii   \$\bH
203  0x0000211a 0x00012d1a 4   5    .text   ascii   \$0H
204  0x0000211f 0x00012d1f 4   5    .text   ascii   t$8H
205  0x00002132 0x00012d32 4   5    .text   ascii   \$\bH
206  0x00002194 0x00012d94 4   5    .text   ascii   MKCS
207  0x000021af 0x00012daf 4   5    .text   ascii   \$0H
208  0x000021ca 0x00012dca 5   6    .text   ascii   \$\bWH
209  0x000021e3 0x00012de3 4   5    .text   ascii   tDE3
210  0x000021e8 0x00012de8 7   8    .text   ascii   D9HTv2H
211  0x000021ff 0x00012dff 4   5    .text   ascii   t\nD#
212  0x0000221a 0x00012e1a 5   6    .text   ascii   D;HTr
213  0x0000222d 0x00012e2d 4   5    .text   ascii   \$0H
214  0x0000223e 0x00012e3e 4   5    .text   ascii   \$\bH
215  0x000022c4 0x00012ec4 5   6    .text   ascii   \v9{\bt
216  0x000022d5 0x00012ed5 4   5    .text   ascii   9{\bu
217  0x000022f2 0x00012ef2 4   5    .text   ascii   MKCS
218  0x0000231a 0x00012f1a 4   5    .text   ascii   \$0H
219  0x0000231f 0x00012f1f 4   5    .text   ascii   l$8H
220  0x00002324 0x00012f24 4   5    .text   ascii   t$@H
221  0x00002336 0x00012f36 4   5    .text   ascii   \$\bH
222  0x000023d9 0x00012fd9 5   6    .text   ascii   \v9s\bt
223  0x000023ea 0x00012fea 4   5    .text   ascii   9s\bu
224  0x00002407 0x00013007 4   5    .text   ascii   MKCS
225  0x0000242c 0x0001302c 4   5    .text   ascii   \$0H
226  0x00002431 0x00013031 4   5    .text   ascii   t$8H
227  0x00002451 0x00013051 9   10   .text   ascii   x ATAUAVH
228  0x00002497 0x00013097 5   6    .text   ascii   \v9s\bt
229  0x000024a8 0x000130a8 6   7    .text   ascii   9s\bu\tH
230  0x000024eb 0x000130eb 4   5    .text   ascii   D9gT
231  0x00002539 0x00013139 4   5    .text   ascii   L$&H
232  0x00002547 0x00013147 4   5    .text   ascii   D$,H
233  0x0000254f 0x0001314f 4   5    .text   ascii   D$ f
234  0x00002568 0x00013168 4   5    .text   ascii   L$6H
235  0x0000256d 0x0001316d 4   5    .text   ascii   D$.H
236  0x00002572 0x00013172 4   5    .text   ascii   D$6H
237  0x0000257b 0x0001317b 4   5    .text   ascii   D$Ff
238  0x000025b6 0x000131b6 4   5    .text   ascii   T$4H
239  0x000025cd 0x000131cd 4   5    .text   ascii   D;gT
240  0x000025e7 0x000131e7 4   5    .text   ascii   \$PI
241  0x000025fd 0x000131fd 6   7    .text   ascii   A^A]A\
242  0x00002626 0x00013226 4   5    .text   ascii   L$(3
243  0x00002659 0x00013259 4   5    .text   ascii   \bt&A
244  0x0000266a 0x0001326a 4   5    .text   ascii   D$@I
245  0x00002684 0x00013284 4   5    .text   ascii   D$PA
246  0x0000269e 0x0001329e 4   5    .text   ascii   D$(D
247  0x000026c3 0x000132c3 4   5    .text   ascii   D$XA
248  0x000026e1 0x000132e1 4   5    .text   ascii   D$(L
249  0x000026ea 0x000132ea 5   7    .text   utf8    ߉\$4A blocks=NKo,Basic Latin
250  0x000027b5 0x000133b5 4   5    .text   ascii   Z0L;
251  0x000027ba 0x000133ba 4   5    .text   ascii   t!fA
252  0x000027f9 0x000133f9 5   6    .text   ascii   x ATH
253  0x0000280d 0x0001340d 4   5    .text   ascii   tzI;
254  0x00002816 0x00013416 5   6    .text   ascii   A\bLc@
255  0x0000283b 0x0001343b 4   5    .text   ascii   D8Hf
256  0x000029ab 0x000135ab 4   5    .text   ascii   l$8H
257  0x000029b0 0x000135b0 4   5    .text   ascii   t$@H
258  0x000029bc 0x000135bc 4   5    .text   ascii   \$0H
259  0x00002a2e 0x0001362e 4   5    .text   ascii   \$\bH
260  0x00002ab1 0x000136b1 4   5    .text   ascii   @8E3
261  0x00002b88 0x00013788 4   5    .text   ascii   \$0H
