[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
149  0x00001792 0x10040392 13  14   .upx1   ascii   6$6,686X6`6l6
150  0x000017ac 0x100403ac 13  14   .upx1   ascii   7$7,7D7L7X7|7
151  0x000017d8 0x100403d8 17  18   .upx1   ascii   8$8,848@8d8l8t8|8
152  0x000017f6 0x100403f6 15  16   .upx1   ascii   8\f9 9,949`9h9l9
153  0x00001812 0x10040412 23  24   .upx1   ascii   :\b:\f:$:(:D:H:P:X:`:d:l:
154  0x0000183a 0x1004043a 35  36   .upx1   ascii   00080 5$5P9P:T:X:\:`:d:h:l:p:t:x:|:
155  0x0000189a 0x1004049a 5   6    .upx1   ascii   :\b;\f;
156  0x000018a6 0x100404a6 49  50   .upx1   ascii   ; ;$;(;,;0;4;8;<;@;D;H;L;P;T;X;\;`;d;h;l;p;t;x;|;
157  0x000018f2 0x100404f2 11  12   .upx1   ascii   < <0<@<P<t<
158  0x00001910 0x10040510 37  38   .upx1   ascii   > >$>(>,>0>4>H>L>P>T>X>\>`>d>h>l>x>|>
159  0x0000194c 0x1004054c 9   10   .upx1   ascii   ?0?D?\?x?
160  0x00001981 0x10040581 6   7    .upx1   ascii   {2<3N;
161  0x000019a5 0x100405a5 4   5    .upx1   ascii   P4I7
162  0x000019ac 0x100405ac 7   8    .upx1   ascii   8S8\e9y9
163  0x000019c2 0x100405c2 5   6    .upx1   ascii   ;%<r=
164  0x000019c8 0x100405c8 5   6    .upx1   ascii   =3>F>
165  0x00001a08 0x10040608 5   6    .upx1   ascii   ;m<H=
166  0x00001a28 0x10040628 5   6    .upx1   ascii   4 5Z5
167  0x00001a34 0x10040634 7   8    .upx1   ascii   7H8N9}9
168  0x00001a3c 0x1004063c 5   6    .upx1   ascii   99:m:
169  0x00001a42 0x10040642 5   6    .upx1   ascii   :2;J;
170  0x00001a7a 0x1004067a 5   6    .upx1   ascii   465r5
171  0x00001a8c 0x1004068c 5   6    .upx1   ascii   949|9
172  0x00001a92 0x10040692 5   6    .upx1   ascii   9\e:D:
173  0x00001a9e 0x1004069e 5   6    .upx1   ascii   ;\a=s=
174  0x00001aa4 0x100406a4 5   6    .upx1   ascii   =+>w>
175  0x00001ab9 0x100406b9 4   5    .upx1   ascii   .0*1
176  0x00001abe 0x100406be 5   6    .upx1   ascii   1#3_3
177  0x00001ac6 0x100406c6 5   6    .upx1   ascii   3Q4"6
178  0x00001acc 0x100406cc 5   6    .upx1   ascii   6X7x7
179  0x00001ae0 0x100406e0 7   8    .upx1   ascii   ;n;f<\v=
180  0x00001afd 0x100406fd 6   7    .upx1   ascii   90S1~1
181  0x00001b16 0x10040716 5   6    .upx1   ascii   4O5z5
182  0x00001b2c 0x1004072c 5   6    .upx1   ascii   :/:u:
183  0x00001b36 0x10040736 5   6    .upx1   ascii   ;\v<A<
184  0x00001b60 0x10040760 7   8    .upx1   ascii   3$3A3r3
185  0x00001b78 0x10040778 5   6    .upx1   ascii   9,:i:
186  0x00001b82 0x10040782 5   6    .upx1   ascii   ;\e<&=
187  0x00001b9c 0x1004079c 7   8    .upx1   ascii   2/2?2_2
188  0x00001bae 0x100407ae 5   6    .upx1   ascii   5@5t5
189  0x00001bb4 0x100407b4 5   6    .upx1   ascii   5q6/7
190  0x00001bce 0x100407ce 11  12   .upx1   ascii   ;"<S<m<(?@?
191  0x00001c00 0x10040800 7   8    .upx1   ascii   7s8V9c:
192  0x00001c0e 0x1004080e 7   8    .upx1   ascii   <\n=)=t=
193  0x00001c2a 0x1004082a 5   6    .upx1   ascii   1T1M2
194  0x00001c3c 0x1004083c 7   8    .upx1   ascii   5.6>7b7
195  0x00001c72 0x10040872 9   10   .upx1   ascii   1&1w1#2d2
196  0x00001c9c 0x1004089c 5   6    .upx1   ascii   >'?H?
197  0x00001cae 0x100408ae 5   6    .upx1   ascii   3-4}4
198  0x00001cb6 0x100408b6 5   6    .upx1   ascii   4\e5F5
199  0x00001cbe 0x100408be 5   6    .upx1   ascii   6I7p7
200  0x00001ce2 0x100408e2 5   6    .upx1   ascii   =S>B?
201  0x00001cf1 0x100408f1 4   5    .upx1   ascii   28i8
