[Strings]
nth   paddr      vaddr      len  size section       type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
8042  0x000c6555 0x004e3b55 22   23   .debug_info   ascii   GUID_ACDC_POWER_SOURCE
8043  0x000c6574 0x004e3b74 27   28   .debug_info   ascii   GUID_LIDSWITCH_STATE_CHANGE
8044  0x000c6598 0x004e3b98 33   34   .debug_info   ascii   GUID_BATTERY_PERCENTAGE_REMAINING
8045  0x000c65c2 0x004e3bc2 25   26   .debug_info   ascii   GUID_GLOBAL_USER_PRESENCE
8046  0x000c65e4 0x004e3be4 27   28   .debug_info   ascii   GUID_SESSION_DISPLAY_STATUS
8047  0x000c6608 0x004e3c08 26   27   .debug_info   ascii   GUID_SESSION_USER_PRESENCE
8048  0x000c662b 0x004e3c2b 25   26   .debug_info   ascii   GUID_IDLE_BACKGROUND_TASK
8049  0x000c664d 0x004e3c4d 33   34   .debug_info   ascii   GUID_BACKGROUND_TASK_NOTIFICATION
8050  0x000c6677 0x004e3c77 21   22   .debug_info   ascii   GUID_APPLAUNCH_BUTTON
8051  0x000c6695 0x004e3c95 33   34   .debug_info   ascii   GUID_PCIEXPRESS_SETTINGS_SUBGROUP
8052  0x000c66bf 0x004e3cbf 27   28   .debug_info   ascii   GUID_PCIEXPRESS_ASPM_POLICY
8053  0x000c66e3 0x004e3ce3 34   35   .debug_info   ascii   GUID_ENABLE_SWITCH_FORCED_SHUTDOWN
8054  0x000c670e 0x004e3d0e 25   26   .debug_info   ascii   PPM_PERFSTATE_CHANGE_GUID
8055  0x000c6730 0x004e3d30 32   33   .debug_info   ascii   PPM_PERFSTATE_DOMAIN_CHANGE_GUID
8056  0x000c6759 0x004e3d59 25   26   .debug_info   ascii   PPM_IDLESTATE_CHANGE_GUID
8057  0x000c677b 0x004e3d7b 24   25   .debug_info   ascii   PPM_PERFSTATES_DATA_GUID
8058  0x000c679c 0x004e3d9c 24   25   .debug_info   ascii   PPM_IDLESTATES_DATA_GUID
8059  0x000c67bd 0x004e3dbd 24   25   .debug_info   ascii   PPM_IDLE_ACCOUNTING_GUID
8060  0x000c67de 0x004e3dde 27   28   .debug_info   ascii   PPM_IDLE_ACCOUNTING_EX_GUID
8061  0x000c6802 0x004e3e02 26   27   .debug_info   ascii   PPM_THERMALCONSTRAINT_GUID
8062  0x000c6825 0x004e3e25 26   27   .debug_info   ascii   PPM_PERFMON_PERFSTATE_GUID
8063  0x000c6848 0x004e3e48 30   31   .debug_info   ascii   PPM_THERMAL_POLICY_CHANGE_GUID
8064  0x000c687e 0x004e3e7e 18   19   .debug_info   ascii   \f_IMAGE_DOS_HEADER
8065  0x000c6899 0x004e3e99 8    9    .debug_info   ascii   \te_magic
8066  0x000c68aa 0x004e3eaa 7    8    .debug_info   ascii   \te_cblp
8067  0x000c68ba 0x004e3eba 5    6    .debug_info   ascii   \te_cp
8068  0x000c68c8 0x004e3ec8 7    8    .debug_info   ascii   \te_crlc
8069  0x000c68d8 0x004e3ed8 10   11   .debug_info   ascii   \te_cparhdr
8070  0x000c68ea 0x004e3eea 12   13   .debug_info   ascii   \b\te_minalloc
8071  0x000c68fe 0x004e3efe 12   13   .debug_info   ascii   \n\te_maxalloc
8072  0x000c6912 0x004e3f12 6    7    .debug_info   ascii   \f\te_ss
8073  0x000c6921 0x004e3f21 5    6    .debug_info   ascii   \te_sp
8074  0x000c692f 0x004e3f2f 7    8    .debug_info   ascii   \te_csum
8075  0x000c693f 0x004e3f3f 5    6    .debug_info   ascii   \te_ip
8076  0x000c694d 0x004e3f4d 5    6    .debug_info   ascii   \te_cs
8077  0x000c695b 0x004e3f5b 9    10   .debug_info   ascii   \te_lfarlc
8078  0x000c696d 0x004e3f6d 7    8    .debug_info   ascii   \te_ovno
8079  0x000c697d 0x004e3f7d 6    7    .debug_info   ascii   \te_res
8080  0x000c698c 0x004e3f8c 8    9    .debug_info   ascii   \te_oemid
8081  0x000c699c 0x004e3f9c 11   12   .debug_info   ascii   $\te_oeminfo
8082  0x000c69af 0x004e3faf 8    9    .debug_info   ascii   &\te_res2
8083  0x000c69bf 0x004e3fbf 10   11   .debug_info   ascii   (\te_lfanew
8084  0x000c69f4 0x004e3ff4 16   17   .debug_info   ascii   IMAGE_DOS_HEADER
8085  0x000c6a15 0x004e4015 16   17   .debug_info   ascii   $PhysicalAddress
8086  0x000c6a2d 0x004e402d 12   13   .debug_info   ascii   $VirtualSize
8087  0x000c6a42 0x004e4042 22   23   .debug_info   ascii   \f_IMAGE_SECTION_HEADER
8088  0x000c6a61 0x004e4061 5    6    .debug_info   ascii   \tName
8089  0x000c6a6f 0x004e406f 5    6    .debug_info   ascii   \tMisc
8090  0x000c6a7c 0x004e407c 16   17   .debug_info   ascii   \b\tVirtualAddress
8091  0x000c6a94 0x004e4094 15   16   .debug_info   ascii   \f\tSizeOfRawData
8092  0x000c6aac 0x004e40ac 17   18   .debug_info   ascii   \tPointerToRawData
8093  0x000c6ac6 0x004e40c6 21   22   .debug_info   ascii   \tPointerToRelocations
8094  0x000c6ae4 0x004e40e4 21   22   .debug_info   ascii   \tPointerToLinenumbers
8095  0x000c6b02 0x004e4102 20   21   .debug_info   ascii   \tNumberOfRelocations
8096  0x000c6b1e 0x004e411e 21   22   .debug_info   ascii    \tNumberOfLinenumbers
8097  0x000c6b3b 0x004e413b 17   18   .debug_info   ascii   "\tCharacteristics
8098  0x000c6b57 0x004e4157 21   22   .debug_info   ascii   PIMAGE_SECTION_HEADER
8099  0x000c6b90 0x004e4190 27   28   .debug_info   ascii   PTOP_LEVEL_EXCEPTION_FILTER
8100  0x000c6bb3 0x004e41b3 28   29   .debug_info   ascii   LPTOP_LEVEL_EXCEPTION_FILTER
8101  0x000c6bd7 0x004e41d7 35   36   .debug_info   ascii   VIRTUAL_STORAGE_TYPE_VENDOR_UNKNOWN
8102  0x000c6c03 0x004e4203 37   38   .debug_info   ascii   VIRTUAL_STORAGE_TYPE_VENDOR_MICROSOFT
8103  0x000c6c31 0x004e4231 13   14   .debug_info   ascii   RPC_IF_HANDLE
8104  0x000c6c45 0x004e4245 14   15   .debug_info   ascii   &tagCOINITBASE
8105  0x000c6c60 0x004e4260 25   26   .debug_info   ascii   'COINITBASE_MULTITHREADED
8106  0x000c6c7d 0x004e427d 27   28   .debug_info   ascii   IWinTypesBase_v0_1_c_ifspec
8107  0x000c6ca0 0x004e42a0 27   28   .debug_info   ascii   IWinTypesBase_v0_1_s_ifspec
8108  0x000c6cc3 0x004e42c3 12   13   .debug_info   ascii   IID_IUnknown
8109  0x000c6cd7 0x004e42d7 17   18   .debug_info   ascii   IID_AsyncIUnknown
8110  0x000c6cf0 0x004e42f0 17   18   .debug_info   ascii   IID_IClassFactory
8111  0x000c6d0a 0x004e430a 12   13   .debug_info   ascii   IID_IMarshal
8112  0x000c6d1f 0x004e431f 14   15   .debug_info   ascii   IID_INoMarshal
8113  0x000c6d36 0x004e4336 16   17   .debug_info   ascii   IID_IAgileObject
8114  0x000c6d4f 0x004e434f 19   20   .debug_info   ascii   IID_IAgileReference
8115  0x000c6d6b 0x004e436b 13   14   .debug_info   ascii   IID_IMarshal2
8116  0x000c6d81 0x004e4381 11   12   .debug_info   ascii   IID_IMalloc
8117  0x000c6d95 0x004e4395 19   20   .debug_info   ascii   IID_IStdMarshalInfo
8118  0x000c6db1 0x004e43b1 23   24   .debug_info   ascii   IID_IExternalConnection
8119  0x000c6dd1 0x004e43d1 12   13   .debug_info   ascii   IID_IMultiQI
8120  0x000c6de6 0x004e43e6 17   18   .debug_info   ascii   IID_AsyncIMultiQI
8121  0x000c6e00 0x004e4400 20   21   .debug_info   ascii   IID_IInternalUnknown
8122  0x000c6e1d 0x004e441d 16   17   .debug_info   ascii   IID_IEnumUnknown
8123  0x000c6e36 0x004e4436 15   16   .debug_info   ascii   IID_IEnumString
8124  0x000c6e4e 0x004e444e 21   22   .debug_info   ascii   IID_ISequentialStream
8125  0x000c6e6c 0x004e446c 11   12   .debug_info   ascii   IID_IStream
8126  0x000c6e80 0x004e4480 21   22   .debug_info   ascii   IID_IRpcChannelBuffer
8127  0x000c6e9e 0x004e449e 22   23   .debug_info   ascii   IID_IRpcChannelBuffer2
8128  0x000c6ebd 0x004e44bd 26   27   .debug_info   ascii   IID_IAsyncRpcChannelBuffer
8129  0x000c6ee0 0x004e44e0 22   23   .debug_info   ascii   IID_IRpcChannelBuffer3
8130  0x000c6eff 0x004e44ff 23   24   .debug_info   ascii   IID_IRpcSyntaxNegotiate
8131  0x000c6f1f 0x004e451f 19   20   .debug_info   ascii   IID_IRpcProxyBuffer
8132  0x000c6f3b 0x004e453b 18   19   .debug_info   ascii   IID_IRpcStubBuffer
8133  0x000c6f56 0x004e4556 20   21   .debug_info   ascii   IID_IPSFactoryBuffer
8134  0x000c6f73 0x004e4573 16   17   .debug_info   ascii   IID_IChannelHook
8135  0x000c6f8c 0x004e458c 19   20   .debug_info   ascii   IID_IClientSecurity
8136  0x000c6fa8 0x004e45a8 19   20   .debug_info   ascii   IID_IServerSecurity
8137  0x000c6fc4 0x004e45c4 15   16   .debug_info   ascii   IID_IRpcOptions
8138  0x000c6fdc 0x004e45dc 18   19   .debug_info   ascii   IID_IGlobalOptions
8139  0x000c6ff7 0x004e45f7 14   15   .debug_info   ascii   IID_ISurrogate
8140  0x000c700e 0x004e460e 25   26   .debug_info   ascii   IID_IGlobalInterfaceTable
8141  0x000c7030 0x004e4630 16   17   .debug_info   ascii   IID_ISynchronize
8142  0x000c7049 0x004e4649 22   23   .debug_info   ascii   IID_ISynchronizeHandle
8143  0x000c7068 0x004e4668 21   22   .debug_info   ascii   IID_ISynchronizeEvent
8144  0x000c7086 0x004e4686 25   26   .debug_info   ascii   IID_ISynchronizeContainer
8145  0x000c70a8 0x004e46a8 21   22   .debug_info   ascii   IID_ISynchronizeMutex
8146  0x000c70c6 0x004e46c6 22   23   .debug_info   ascii   IID_ICancelMethodCalls
8147  0x000c70e5 0x004e46e5 17   18   .debug_info   ascii   IID_IAsyncManager
8148  0x000c70ff 0x004e46ff 16   17   .debug_info   ascii   IID_ICallFactory
8149  0x000c7118 0x004e4718 14   15   .debug_info   ascii   IID_IRpcHelper
8150  0x000c712f 0x004e472f 26   27   .debug_info   ascii   IID_IReleaseMarshalBuffers
8151  0x000c7152 0x004e4752 17   18   .debug_info   ascii   IID_IWaitMultiple
8152  0x000c716c 0x004e476c 24   25   .debug_info   ascii   IID_IAddrTrackingControl
8153  0x000c718d 0x004e478d 25   26   .debug_info   ascii   IID_IAddrExclusionControl
8154  0x000c71af 0x004e47af 13   14   .debug_info   ascii   IID_IPipeByte
8155  0x000c71c5 0x004e47c5 13   14   .debug_info   ascii   IID_IPipeLong
8156  0x000c71db 0x004e47db 15   16   .debug_info   ascii   IID_IPipeDouble
8157  0x000c71f3 0x004e47f3 21   22   .debug_info   ascii   IID_IComThreadingInfo
8158  0x000c7211 0x004e4811 23   24   .debug_info   ascii   IID_IProcessInitControl
8159  0x000c7231 0x004e4831 16   17   .debug_info   ascii   IID_IFastRundown
8160  0x000c724a 0x004e484a 21   22   .debug_info   ascii   IID_IMarshalingStream
8161  0x000c7268 0x004e4868 45   46   .debug_info   ascii   IID_ICallbackWithNoReentrancyToApplicationSTA
8162  0x000c729e 0x004e489e 9    10   .debug_info   ascii   GUID_NULL
8163  0x000c72af 0x004e48af 15   16   .debug_info   ascii   CATID_MARSHALER
8164  0x000c72c6 0x004e48c6 15   16   .debug_info   ascii   IID_IRpcChannel
8165  0x000c72dd 0x004e48dd 12   13   .debug_info   ascii   IID_IRpcStub
8166  0x000c72f1 0x004e48f1 16   17   .debug_info   ascii   IID_IStubManager
8167  0x000c7309 0x004e4909 13   14   .debug_info   ascii   IID_IRpcProxy
8168  0x000c731e 0x004e491e 17   18   .debug_info   ascii   IID_IProxyManager
8169  0x000c7337 0x004e4937 14   15   .debug_info   ascii   IID_IPSFactory
8170  0x000c734d 0x004e494d 20   21   .debug_info   ascii   IID_IInternalMoniker
8171  0x000c7369 0x004e4969 16   17   .debug_info   ascii   IID_IDfReserved1
8172  0x000c7381 0x004e4981 16   17   .debug_info   ascii   IID_IDfReserved2
8173  0x000c7399 0x004e4999 16   17   .debug_info   ascii   IID_IDfReserved3
8174  0x000c73b1 0x004e49b1 16   17   .debug_info   ascii   CLSID_StdMarshal
8175  0x000c73c9 0x004e49c9 19   20   .debug_info   ascii   CLSID_AggStdMarshal
8176  0x000c73e4 0x004e49e4 24   25   .debug_info   ascii   CLSID_StdAsyncActManager
8177  0x000c7404 0x004e4a04 9    10   .debug_info   ascii   IID_IStub
8178  0x000c7415 0x004e4a15 10   11   .debug_info   ascii   IID_IProxy
8179  0x000c7427 0x004e4a27 16   17   .debug_info   ascii   IID_IEnumGeneric
8180  0x000c743f 0x004e4a3f 15   16   .debug_info   ascii   IID_IEnumHolder
8181  0x000c7456 0x004e4a56 17   18   .debug_info   ascii   IID_IEnumCallback
8182  0x000c746f 0x004e4a6f 15   16   .debug_info   ascii   IID_IOleManager
8183  0x000c7486 0x004e4a86 15   16   .debug_info   ascii   IID_IOlePresObj
8184  0x000c749d 0x004e4a9d 10   11   .debug_info   ascii   IID_IDebug
8185  0x000c74af 0x004e4aaf 16   17   .debug_info   ascii   IID_IDebugStream
8186  0x000c74c7 0x004e4ac7 17   18   .debug_info   ascii   CLSID_PSGenObject
8187  0x000c74e0 0x004e4ae0 18   19   .debug_info   ascii   CLSID_PSClientSite
8188  0x000c74fa 0x004e4afa 19   20   .debug_info   ascii   CLSID_PSClassObject
8189  0x000c7515 0x004e4b15 21   22   .debug_info   ascii   CLSID_PSInPlaceActive
8190  0x000c7532 0x004e4b32 20   21   .debug_info   ascii   CLSID_PSInPlaceFrame
8191  0x000c754e 0x004e4b4e 16   17   .debug_info   ascii   CLSID_PSDragDrop
8192  0x000c7566 0x004e4b66 15   16   .debug_info   ascii   CLSID_PSBindCtx
8193  0x000c757d 0x004e4b7d 19   20   .debug_info   ascii   CLSID_PSEnumerators
8194  0x000c7598 0x004e4b98 20   21   .debug_info   ascii   CLSID_StaticMetafile
8195  0x000c75b4 0x004e4bb4 15   16   .debug_info   ascii   CLSID_StaticDib
8196  0x000c75cb 0x004e4bcb 14   15   .debug_info   ascii   CID_CDfsVolume
8197  0x000c75e1 0x004e4be1 23   24   .debug_info   ascii   CLSID_DCOMAccessControl
8198  0x000c7600 0x004e4c00 19   20   .debug_info   ascii   CLSID_GlobalOptions
8199  0x000c761b 0x004e4c1b 29   30   .debug_info   ascii   CLSID_StdGlobalInterfaceTable
8200  0x000c7640 0x004e4c40 16   17   .debug_info   ascii   CLSID_ComBinding
8201  0x000c7658 0x004e4c58 14   15   .debug_info   ascii   CLSID_StdEvent
8202  0x000c766e 0x004e4c6e 22   23   .debug_info   ascii   CLSID_ManualResetEvent
8203  0x000c768c 0x004e4c8c 26   27   .debug_info   ascii   CLSID_SynchronizeContainer
8204  0x000c76ae 0x004e4cae 17   18   .debug_info   ascii   CLSID_AddrControl
8205  0x000c76c7 0x004e4cc7 17   18   .debug_info   ascii   CLSID_CCDFormKrnl
8206  0x000c76e0 0x004e4ce0 21   22   .debug_info   ascii   CLSID_CCDPropertyPage
8207  0x000c76fd 0x004e4cfd 19   20   .debug_info   ascii   CLSID_CCDFormDialog
8208  0x000c7718 0x004e4d18 22   23   .debug_info   ascii   CLSID_CCDCommandButton
8209  0x000c7736 0x004e4d36 17   18   .debug_info   ascii   CLSID_CCDComboBox
8210  0x000c774f 0x004e4d4f 16   17   .debug_info   ascii   CLSID_CCDTextBox
8211  0x000c7767 0x004e4d67 17   18   .debug_info   ascii   CLSID_CCDCheckBox
8212  0x000c7780 0x004e4d80 14   15   .debug_info   ascii   CLSID_CCDLabel
8213  0x000c7796 0x004e4d96 21   22   .debug_info   ascii   CLSID_CCDOptionButton
8214  0x000c77b3 0x004e4db3 16   17   .debug_info   ascii   CLSID_CCDListBox
8215  0x000c77cb 0x004e4dcb 18   19   .debug_info   ascii   CLSID_CCDScrollBar
8216  0x000c77e5 0x004e4de5 17   18   .debug_info   ascii   CLSID_CCDGroupBox
8217  0x000c77fe 0x004e4dfe 28   29   .debug_info   ascii   CLSID_CCDGeneralPropertyPage
8218  0x000c7822 0x004e4e22 28   29   .debug_info   ascii   CLSID_CCDGenericPropertyPage
8219  0x000c7846 0x004e4e46 25   26   .debug_info   ascii   CLSID_CCDFontPropertyPage
8220  0x000c7867 0x004e4e67 26   27   .debug_info   ascii   CLSID_CCDColorPropertyPage
8221  0x000c7889 0x004e4e89 26   27   .debug_info   ascii   CLSID_CCDLabelPropertyPage
8222  0x000c78ab 0x004e4eab 29   30   .debug_info   ascii   CLSID_CCDCheckBoxPropertyPage
8223  0x000c78d0 0x004e4ed0 28   29   .debug_info   ascii   CLSID_CCDTextBoxPropertyPage
8224  0x000c78f4 0x004e4ef4 33   34   .debug_info   ascii   CLSID_CCDOptionButtonPropertyPage
8225  0x000c791d 0x004e4f1d 28   29   .debug_info   ascii   CLSID_CCDListBoxPropertyPage
8226  0x000c7941 0x004e4f41 34   35   .debug_info   ascii   CLSID_CCDCommandButtonPropertyPage
8227  0x000c796b 0x004e4f6b 29   30   .debug_info   ascii   CLSID_CCDComboBoxPropertyPage
8228  0x000c7990 0x004e4f90 30   31   .debug_info   ascii   CLSID_CCDScrollBarPropertyPage
8229  0x000c79b6 0x004e4fb6 29   30   .debug_info   ascii   CLSID_CCDGroupBoxPropertyPage
8230  0x000c79db 0x004e4fdb 28   29   .debug_info   ascii   CLSID_CCDXObjectPropertyPage
8231  0x000c79ff 0x004e4fff 23   24   .debug_info   ascii   CLSID_CStdPropertyFrame
8232  0x000c7a1e 0x004e501e 23   24   .debug_info   ascii   CLSID_CFormPropertyPage
8233  0x000c7a3d 0x004e503d 23   24   .debug_info   ascii   CLSID_CGridPropertyPage
8234  0x000c7a5c 0x004e505c 21   22   .debug_info   ascii   CLSID_CWSJArticlePage
8235  0x000c7a79 0x004e5079 17   18   .debug_info   ascii   CLSID_CSystemPage
8236  0x000c7a92 0x004e5092 23   24   .debug_info   ascii   CLSID_IdentityUnmarshal
8237  0x000c7ab1 0x004e50b1 25   26   .debug_info   ascii   CLSID_InProcFreeMarshaler
8238  0x000c7ad2 0x004e50d2 22   23   .debug_info   ascii   CLSID_Picture_Metafile
8239  0x000c7af0 0x004e50f0 25   26   .debug_info   ascii   CLSID_Picture_EnhMetafile
8240  0x000c7b11 0x004e5111 17   18   .debug_info   ascii   CLSID_Picture_Dib
8241  0x000c7b2a 0x004e512a 13   14   .debug_info   ascii   GUID_TRISTATE
8242  0x000c7b3f 0x004e513f 23   24   .debug_info   ascii   IWinTypes_v0_1_c_ifspec
8243  0x000c7b5e 0x004e515e 23   24   .debug_info   ascii   IWinTypes_v0_1_s_ifspec
8244  0x000c7b7c 0x004e517c 8    9    .debug_info   ascii   (VARENUM
8245  0x000c7b92 0x004e5192 9    10   .debug_info   ascii   'VT_EMPTY
8246  0x000c7b9d 0x004e519d 8    9    .debug_info   ascii   'VT_NULL
8247  0x000c7ba7 0x004e51a7 6    7    .debug_info   ascii   'VT_I2
8248  0x000c7baf 0x004e51af 6    7    .debug_info   ascii   'VT_I4
8249  0x000c7bb7 0x004e51b7 6    7    .debug_info   ascii   'VT_R4
8250  0x000c7bbf 0x004e51bf 6    7    .debug_info   ascii   'VT_R8
8251  0x000c7bc7 0x004e51c7 6    7    .debug_info   ascii   'VT_CY
8252  0x000c7bcf 0x004e51cf 8    9    .debug_info   ascii   'VT_DATE
8253  0x000c7bd8 0x004e51d8 9    10   .debug_info   ascii   \a'VT_BSTR
8254  0x000c7be2 0x004e51e2 13   14   .debug_info   ascii   \b'VT_DISPATCH
8255  0x000c7bf0 0x004e51f0 10   11   .debug_info   ascii   \t'VT_ERROR
8256  0x000c7bfb 0x004e51fb 9    10   .debug_info   ascii   \n'VT_BOOL
8257  0x000c7c05 0x004e5205 12   13   .debug_info   ascii   \v'VT_VARIANT
8258  0x000c7c12 0x004e5212 12   13   .debug_info   ascii   \f'VT_UNKNOWN
8259  0x000c7c1f 0x004e521f 12   13   .debug_info   ascii   \r'VT_DECIMAL
8260  0x000c7c2d 0x004e522d 6    7    .debug_info   ascii   'VT_I1
8261  0x000c7c35 0x004e5235 7    8    .debug_info   ascii   'VT_UI1
8262  0x000c7c3e 0x004e523e 7    8    .debug_info   ascii   'VT_UI2
8263  0x000c7c47 0x004e5247 7    8    .debug_info   ascii   'VT_UI4
8264  0x000c7c50 0x004e5250 6    7    .debug_info   ascii   'VT_I8
8265  0x000c7c58 0x004e5258 7    8    .debug_info   ascii   'VT_UI8
8266  0x000c7c61 0x004e5261 7    8    .debug_info   ascii   'VT_INT
8267  0x000c7c6a 0x004e526a 8    9    .debug_info   ascii   'VT_UINT
8268  0x000c7c74 0x004e5274 8    9    .debug_info   ascii   'VT_VOID
8269  0x000c7c7e 0x004e527e 11   12   .debug_info   ascii   'VT_HRESULT
8270  0x000c7c8b 0x004e528b 7    8    .debug_info   ascii   'VT_PTR
8271  0x000c7c94 0x004e5294 13   14   .debug_info   ascii   'VT_SAFEARRAY
8272  0x000c7ca2 0x004e52a2 11   12   .debug_info   ascii   \e'VT_CARRAY
8273  0x000c7caf 0x004e52af 15   16   .debug_info   ascii   'VT_USERDEFINED
8274  0x000c7cc0 0x004e52c0 9    10   .debug_info   ascii   'VT_LPSTR
8275  0x000c7ccb 0x004e52cb 10   11   .debug_info   ascii   'VT_LPWSTR
8276  0x000c7cd7 0x004e52d7 10   11   .debug_info   ascii   'VT_RECORD
8277  0x000c7ce2 0x004e52e2 12   13   .debug_info   ascii   $'VT_INT_PTR
8278  0x000c7cef 0x004e52ef 13   14   .debug_info   ascii   %'VT_UINT_PTR
8279  0x000c7cfd 0x004e52fd 13   14   .debug_info   ascii   &'VT_FILETIME
8280  0x000c7d0b 0x004e530b 9    10   .debug_info   ascii   @'VT_BLOB
8281  0x000c7d15 0x004e5315 11   12   .debug_info   ascii   A'VT_STREAM
8282  0x000c7d21 0x004e5321 12   13   .debug_info   ascii   B'VT_STORAGE
8283  0x000c7d2e 0x004e532e 20   21   .debug_info   ascii   C'VT_STREAMED_OBJECT
8284  0x000c7d43 0x004e5343 18   19   .debug_info   ascii   D'VT_STORED_OBJECT
8285  0x000c7d56 0x004e5356 16   17   .debug_info   ascii   E'VT_BLOB_OBJECT
8286  0x000c7d67 0x004e5367 7    8    .debug_info   ascii   F'VT_CF
8287  0x000c7d6f 0x004e536f 10   11   .debug_info   ascii   G'VT_CLSID
8288  0x000c7d7a 0x004e537a 21   22   .debug_info   ascii   H'VT_VERSIONED_STREAM
8289  0x000c7d90 0x004e5390 14   15   .debug_info   ascii   I)VT_BSTR_BLOB
8290  0x000c7da1 0x004e53a1 10   11   .debug_info   ascii   )VT_VECTOR
8291  0x000c7dae 0x004e53ae 9    10   .debug_info   ascii   )VT_ARRAY
8292  0x000c7db9 0x004e53b9 10   11   .debug_info   ascii    )VT_BYREF
8293  0x000c7dc5 0x004e53c5 13   14   .debug_info   ascii   @)VT_RESERVED
8294  0x000c7dd5 0x004e53d5 11   12   .debug_info   ascii   )VT_ILLEGAL
8295  0x000c7de3 0x004e53e3 17   18   .debug_info   ascii   )VT_ILLEGALMASKED
8296  0x000c7df7 0x004e53f7 12   13   .debug_info   ascii   )VT_TYPEMASK
8297  0x000c7e08 0x004e5408 14   15   .debug_info   ascii   IID_IMallocSpy
8298  0x000c7e1f 0x004e541f 12   13   .debug_info   ascii   IID_IBindCtx
8299  0x000c7e34 0x004e5434 16   17   .debug_info   ascii   IID_IEnumMoniker
8300  0x000c7e4d 0x004e544d 19   20   .debug_info   ascii   IID_IRunnableObject
8301  0x000c7e69 0x004e5469 23   24   .debug_info   ascii   IID_IRunningObjectTable
8302  0x000c7e89 0x004e5489 12   13   .debug_info   ascii   IID_IPersist
8303  0x000c7e9e 0x004e549e 18   19   .debug_info   ascii   IID_IPersistStream
8304  0x000c7eb9 0x004e54b9 12   13   .debug_info   ascii   IID_IMoniker
8305  0x000c7ece 0x004e54ce 12   13   .debug_info   ascii   IID_IROTData
8306  0x000c7ee3 0x004e54e3 16   17   .debug_info   ascii   IID_IEnumSTATSTG
8307  0x000c7efc 0x004e54fc 12   13   .debug_info   ascii   IID_IStorage
8308  0x000c7f11 0x004e5511 16   17   .debug_info   ascii   IID_IPersistFile
8309  0x000c7f2a 0x004e552a 19   20   .debug_info   ascii   IID_IPersistStorage
8310  0x000c7f46 0x004e5546 14   15   .debug_info   ascii   IID_ILockBytes
8311  0x000c7f5d 0x004e555d 18   19   .debug_info   ascii   IID_IEnumFORMATETC
8312  0x000c7f78 0x004e5578 17   18   .debug_info   ascii   IID_IEnumSTATDATA
8313  0x000c7f92 0x004e5592 16   17   .debug_info   ascii   IID_IRootStorage
8314  0x000c7fab 0x004e55ab 15   16   .debug_info   ascii   IID_IAdviseSink
8315  0x000c7fc3 0x004e55c3 20   21   .debug_info   ascii   IID_AsyncIAdviseSink
8316  0x000c7fe0 0x004e55e0 16   17   .debug_info   ascii   IID_IAdviseSink2
8317  0x000c7ff9 0x004e55f9 21   22   .debug_info   ascii   IID_AsyncIAdviseSink2
8318  0x000c8017 0x004e5617 15   16   .debug_info   ascii   IID_IDataObject
8319  0x000c802f 0x004e562f 21   22   .debug_info   ascii   IID_IDataAdviseHolder
8320  0x000c804d 0x004e564d 18   19   .debug_info   ascii   IID_IMessageFilter
8321  0x000c8068 0x004e5668 24   25   .debug_info   ascii   FMTID_SummaryInformation
8322  0x000c8089 0x004e5689 27   28   .debug_info   ascii   FMTID_DocSummaryInformation
8323  0x000c80ad 0x004e56ad 27   28   .debug_info   ascii   FMTID_UserDefinedProperties
8324  0x000c80d1 0x004e56d1 28   29   .debug_info   ascii   FMTID_DiscardableInformation
8325  0x000c80f6 0x004e56f6 29   30   .debug_info   ascii   FMTID_ImageSummaryInformation
8326  0x000c811c 0x004e571c 29   30   .debug_info   ascii   FMTID_AudioSummaryInformation
8327  0x000c8142 0x004e5742 29   30   .debug_info   ascii   FMTID_VideoSummaryInformation
8328  0x000c8168 0x004e5768 33   34   .debug_info   ascii   FMTID_MediaFileSummaryInformation
8329  0x000c8192 0x004e5792 19   20   .debug_info   ascii   IID_IClassActivator
8330  0x000c81ae 0x004e57ae 18   19   .debug_info   ascii   IID_IFillLockBytes
8331  0x000c81c9 0x004e57c9 19   20   .debug_info   ascii   IID_IProgressNotify
8332  0x000c81e5 0x004e57e5 18   19   .debug_info   ascii   IID_ILayoutStorage
8333  0x000c8200 0x004e5800 17   18   .debug_info   ascii   IID_IBlockingLock
8334  0x000c821a 0x004e581a 25   26   .debug_info   ascii   IID_ITimeAndNoticeControl
8335  0x000c823c 0x004e583c 18   19   .debug_info   ascii   IID_IOplockStorage
8336  0x000c8257 0x004e5857 21   22   .debug_info   ascii   IID_IDirectWriterLock
8337  0x000c8275 0x004e5875 11   12   .debug_info   ascii   IID_IUrlMon
8338  0x000c8289 0x004e5889 23   24   .debug_info   ascii   IID_IForegroundTransfer
8339  0x000c82a9 0x004e58a9 23   24   .debug_info   ascii   IID_IThumbnailExtractor
8340  0x000c82c9 0x004e58c9 23   24   .debug_info   ascii   IID_IDummyHICONIncluder
8341  0x000c82e9 0x004e58e9 16   17   .debug_info   ascii   IID_IProcessLock
8342  0x000c8302 0x004e5902 21   22   .debug_info   ascii   IID_ISurrogateService
8343  0x000c8320 0x004e5920 18   19   .debug_info   ascii   IID_IInitializeSpy
8344  0x000c833b 0x004e593b 22   23   .debug_info   ascii   IID_IApartmentShutdown
8345  0x000c835a 0x004e595a 20   21   .debug_info   ascii   IID_IOleAdviseHolder
