[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
171  0x00002e08 0x00409c08 4   5    .rsrc   ascii   W\a\a\a
172  0x00002e0f 0x00409c0f 4   5    .rsrc   ascii   NK|`
173  0x00002e42 0x00409c42 4   5    .rsrc   ascii   :@6:
174  0x00002e48 0x00409c48 4   5    .rsrc   ascii   :je\e
175  0x00002e50 0x00409c50 5   6    .rsrc   ascii   WPq\vT
176  0x00002e85 0x00409c85 4   6    .rsrc   utf8    p&ǦS blocks=Basic Latin,Latin Extended-B
177  0x00002ece 0x00409cce 4   5    .rsrc   ascii   4|)e
178  0x00002f16 0x00409d16 5   6    .rsrc   ascii   ^8"73
179  0x00002f29 0x00409d29 4   7    .rsrc   utf8    9\rᝄ1 blocks=Basic Latin,Buhid
180  0x00002f42 0x00409d42 5   7    .rsrc   utf8    /%30Ɯ blocks=Basic Latin,Latin Extended-B
181  0x00002f5b 0x00409d5b 5   6    .rsrc   ascii   mX\a\t/
182  0x00002faf 0x00409daf 4   6    .rsrc   utf8    +\n9a
183  0x00002fbd 0x00409dbd 6   7    .rsrc   ascii   L=K(?#
184  0x00003000 0x00409e00 4   5    .rsrc   ascii   :@[\b
185  0x00003005 0x00409e05 7   8    .rsrc   ascii   []Yysm}
186  0x00003032 0x00409e32 4   5    .rsrc   ascii   t1}_
187  0x0000304f 0x00409e4f 5   7    .rsrc   utf8    ޫ/(\u blocks=Thaana,Basic Latin
188  0x00003063 0x00409e63 6   7    .rsrc   ascii   EgPe1E
189  0x00003116 0x00409f16 4   5    .rsrc   ascii   \tfx\
190  0x0000312a 0x00409f2a 4   5    .rsrc   ascii   ONN~
191  0x00003133 0x00409f33 4   5    .rsrc   ascii   "l`q
192  0x0000316f 0x00409f6f 4   5    .rsrc   ascii   \U*_
193  0x000031a1 0x00409fa1 5   6    .rsrc   ascii   C ]^8
194  0x000031ea 0x00409fea 4   5    .rsrc   ascii   ;@G\b
195  0x000031f6 0x00409ff6 4   6    .rsrc   utf8    ƟDQt blocks=Latin Extended-B,Basic Latin
196  0x00003260 0x0040a060 5   6    .rsrc   ascii   G]:&;
197  0x00003272 0x0040a072 4   5    .rsrc   ascii   [YkG
198  0x000032a4 0x0040a0a4 4   5    .rsrc   ascii   |oc}
199  0x000032b2 0x0040a0b2 4   6    .rsrc   utf8    ߝC*M blocks=NKo,Basic Latin
200  0x0000331b 0x0040a11b 6   8    .rsrc   utf8    8vN Xֲ blocks=Basic Latin,Hebrew
201  0x0000344b 0x0040a24b 6   9    .rsrc   utf8    wi\b\e\v blocks=Basic Latin,Private Use Area
202  0x00003455 0x0040a255 4   5    .rsrc   ascii   7,S$
203  0x0000347b 0x0040a27b 5   6    .rsrc   ascii   PmHh.
204  0x0000348f 0x0040a28f 4   5    .rsrc   ascii   D\bIz
205  0x0000352f 0x0040a32f 4   7    .rsrc   utf8    棵s>E blocks=CJK Unified Ideographs,Basic Latin
206  0x0000353b 0x0040a33b 4   6    .rsrc   utf8    \eĲ#U blocks=Basic Latin,Latin Extended-A
207  0x00003557 0x0040a357 4   5    .rsrc   ascii   znW=
208  0x00003588 0x0040a388 4   5    .rsrc   ascii   eV:8
209  0x00003595 0x0040a395 4   5    .rsrc   ascii   n\E7
210  0x000035a5 0x0040a3a5 4   5    .rsrc   ascii   |\v@I
211  0x000035d7 0x0040a3d7 8   10   .rsrc   utf8    \Z<ǴP*Mk blocks=Basic Latin,Latin Extended-B
212  0x000035f1 0x0040a3f1 4   5    .rsrc   ascii   ^E69
213  0x000035fa 0x0040a3fa 5   7    .rsrc   utf8    Es߳+' blocks=Basic Latin,NKo
214  0x000036b7 0x0040a4b7 4   5    .rsrc   ascii   D+;\b
215  0x000036c8 0x0040a4c8 4   6    .rsrc   utf8    ц\n\bt blocks=Cyrillic,Basic Latin
216  0x000036f3 0x0040a4f3 4   5    .rsrc   ascii   ,5GH
217  0x000036fa 0x0040a4fa 4   5    .rsrc   ascii   4zkH
218  0x0000375c 0x0040a55c 4   5    .rsrc   ascii   k;;;
219  0x00003768 0x0040a568 4   5    .rsrc   ascii   l>_D
220  0x0000376d 0x0040a56d 4   5    .rsrc   ascii   !uHc
221  0x000037b8 0x0040a5b8 4   5    .rsrc   ascii   S\nY9
222  0x000037e2 0x0040a5e2 4   5    .rsrc   ascii   3PRR
223  0x000037e8 0x0040a5e8 4   5    .rsrc   ascii   K\a%E
224  0x00003839 0x0040a639 4   5    .rsrc   ascii   ^}n\b
225  0x00003885 0x0040a685 4   7    .rsrc   utf8    їvn˶ blocks=Cyrillic,Basic Latin,Spacing Modifier Letters
226  0x000038c0 0x0040a6c0 4   5    .rsrc   ascii   Pu\tJ
227  0x000038e0 0x0040a6e0 5   6    .rsrc   ascii   t]\b!d
228  0x000038e9 0x0040a6e9 4   5    .rsrc   ascii   fsu:
229  0x0000390a 0x0040a70a 4   5    .rsrc   ascii   Wwww
230  0x00003919 0x0040a719 4   5    .rsrc   ascii   N\n2O
231  0x0000392c 0x0040a72c 5   7    .rsrc   utf8    W]rވ| blocks=Basic Latin,Thaana
232  0x00003976 0x0040a776 4   5    .rsrc   ascii   ULFX
233  0x000039a4 0x0040a7a4 5   6    .rsrc   ascii   #\v\aYF
234  0x000039cf 0x0040a7cf 5   6    .rsrc   ascii   p<z]y
235  0x000039d6 0x0040a7d6 4   5    .rsrc   ascii   _z7A
236  0x00003a08 0x0040a808 4   7    .rsrc   utf8    UٯcM blocks=Basic Latin,Arabic
237  0x00003a5e 0x0040a85e 4   5    .rsrc   ascii   >S#i
238  0x00003ae1 0x0040a8e1 4   7    .rsrc   utf8    a팹"r blocks=Basic Latin,Hangul Syllables
239  0x00003b17 0x0040a917 5   6    .rsrc   ascii   C_O['
