[Strings]
nth  paddr      vaddr      len size section  type    string
134  0x000035be 0x004041be 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
135  0x000035c5 0x004041c5 4   5    .text    ascii   D$\bO
136  0x00003605 0x00404205 5   7    .text    utf8    t\fǅ\i blocks=Basic Latin,Latin Extended-B
137  0x00003614 0x00404214 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
138  0x00003663 0x00404263 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
139  0x000036a8 0x004042a8 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
140  0x000036f1 0x004042f1 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
141  0x0000373e 0x0040433e 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
142  0x00003761 0x00404361 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
143  0x00003768 0x00404368 4   5    .text    ascii   D$\b>
144  0x00003795 0x00404395 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
145  0x000037ba 0x004043ba 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
146  0x000037dd 0x004043dd 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
147  0x000037e4 0x004043e4 4   5    .text    ascii   D$\bR
148  0x0000383d 0x0040443d 4   6    .text    utf8    )čD$ blocks=Basic Latin,Latin Extended-A
149  0x0000388f 0x0040448f 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
150  0x000038b4 0x004044b4 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
151  0x000038d7 0x004044d7 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
152  0x000038fa 0x004044fa 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
153  0x00003901 0x00404501 4   5    .text    ascii   D$\b,
154  0x00003925 0x00404525 4   5    .text    ascii   D$\b\f
155  0x0000394d 0x0040454d 4   5    .text    ascii   D$\b\f
156  0x00003975 0x00404575 4   5    .text    ascii   D$\b\f
157  0x00003995 0x00404595 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
158  0x000039ba 0x004045ba 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
159  0x000039dd 0x004045dd 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
160  0x000039e4 0x004045e4 4   5    .text    ascii   D$\b<
161  0x00003a18 0x00404618 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
162  0x00003a3d 0x0040463d 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
163  0x00003a60 0x00404660 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
