[Strings]
nth paddr      vaddr      len  size section type    string
140 0x00002349 0x00404149 5    6    .data   ascii   t\r<a|
141 0x0000235c 0x0040415c 4    5    .data   ascii   VWSQ
142 0x00002399 0x00404199 4    6    .data   utf8    +Kr$
143 0x0000239f 0x0040419f 4    5    .data   ascii   t$<R
144 0x000023d0 0x004041d0 7    10   .data   utf8    Y[_^Ëȭ= blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
145 0x00002724 0x00404524 12   13   .data   ascii   @USVWATAVAWH
146 0x0000273b 0x0040453b 4    5    .data   ascii   E@E3
147 0x00002776 0x00404576 4    5    .data   ascii   D$HI
148 0x0000277f 0x0040457f 10   12   .data   utf8    t$@E3ɉD$8I blocks=Basic Latin,Latin Extended-B
149 0x00002796 0x00404596 4    5    .data   ascii   D$0H
150 0x000027a3 0x004045a3 4    5    .data   ascii   t$(L
151 0x000027a8 0x004045a8 4    5    .data   ascii   t$ A
152 0x00002802 0x00404602 11   12   .data   ascii   `A_A^A\_^[]
153 0x00002812 0x00404612 4    5    .data   ascii   \$\bH
154 0x00002825 0x00404625 4    5    .data   ascii   yP\aI
155 0x0000288c 0x0040468c 4    6    .data   utf8    3ہCh blocks=Basic Latin,Arabic
156 0x000028a0 0x004046a0 4    5    .data   ascii   \$0H
157 0x000028a5 0x004046a5 4    5    .data   ascii   l$8H
158 0x000028aa 0x004046aa 4    5    .data   ascii   t$@H
159 0x000028be 0x004046be 8    9    .data   ascii   UVWAVAWH
160 0x000029bf 0x004047bf 4    5    .data   ascii   \$xH
161 0x000029c5 0x004047c5 8    9    .data   ascii   @A_A^_^]
162 0x00002a38 0x00404838 5    6    .data   ascii   t\r<a|
163 0x00002a4a 0x0040484a 4    5    .data   ascii   RWVH
164 0x00002a52 0x00404852 5    7    .data   utf8    r<H3-
165 0x00002a70 0x00404870 4    6    .data   utf8    ʋX H blocks=IPA Extensions,Basic Latin
166 0x00002ab7 0x004048b7 6    7    .data   ascii   USVWQH
167 0x00002b1a 0x0040491a 4    5    .data   ascii   L$`H
168 0x00002b4d 0x0040494d 5    6    .data   ascii   Y_^[]
169 0x00002b62 0x00404962 4    5    .data   ascii   t$@H
