[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
129  0x0000318c 0x00403d8c 12  13   .text   ascii   7`ODerfJTzu|
130  0x000031aa 0x00403daa 4   5    .text   ascii   ]lh3
131  0x000031c6 0x00403dc6 6   7    .text   ascii   AZ`7MO
132  0x000031cd 0x00403dcd 12  13   .text   ascii   !01:#=*shn9_
133  0x000031fc 0x00403dfc 17  18   .text   ascii   NQKNF]v{|xHWutaw~
134  0x00003254 0x00403e54 4   5    .text   ascii   .g9n
135  0x0000325c 0x00403e5c 4   5    .text   ascii   Yjd}
136  0x00003270 0x00403e70 26  27   .text   ascii   }@JY]JZLzjMFPLSNXK`jSU\VAD
137  0x0000328b 0x00403e8b 4   5    .text   ascii   y[EU
138  0x00003290 0x00403e90 4   5    .text   ascii   Cnea
139  0x000032e0 0x00403ee0 7   8    .text   ascii   nUWNJKL
140  0x000032e8 0x00403ee8 7   8    .text   ascii   lP[XH_\
141  0x000032f0 0x00403ef0 10  11   .text   ascii   cUP[E]RXMK
142  0x000032fc 0x00403efc 7   8    .text   ascii   hWSXTMJ
143  0x00003304 0x00403f04 4   5    .text   ascii   zW\X
144  0x00003309 0x00403f09 10  11   .text   ascii   `TSF^DIE^Z
145  0x00003364 0x00403f64 7   8    .text   ascii   xooc[OG
146  0x0000336c 0x00403f6c 11  12   .text   ascii   8%/<8/?)?/\b
147  0x0000337e 0x00403f7e 9   10   .text   ascii   %/><!8?>!
148  0x000033a4 0x00403fa4 5   6    .text   ascii   x}#>:
149  0x000034b0 0x004040b0 12  13   .text   ascii   CN_@@Hs@K[EE
150  0x000034bf 0x004040bf 5   6    .text   ascii   C[WK\
151  0x000034c6 0x004040c6 17  18   .text   ascii   17G@UCiGFPl#*zkly
152  0x000034d8 0x004040d8 24  25   .text   ascii   kwy/qfvkEmq|ivrzM~yiss:f
153  0x000034f7 0x004040f7 7   8    .text   ascii   \b@O@\a\a\v
154  0x00003500 0x00404100 6   7    .text   ascii   S@us\v\f
155  0x00003510 0x00404110 12  13   .text   ascii   /(=;';5c5"2/
156  0x0000351d 0x0040411d 6   7    .text   ascii   41'72,
157  0x00003524 0x00404124 12  13   .text   ascii   71/81&"4t{t3
158  0x00003580 0x00404180 10  11   .text   ascii   lWuCMAWK[I
159  0x0000358c 0x0040418c 7   8    .text   ascii   jIW_WSY
160  0x00003598 0x00404198 12  13   .text   ascii   efxpx|va3uqw
161  0x000035a9 0x004041a9 5   6    .text   ascii   xm{ e
162  0x000035b0 0x004041b0 7   8    .text   ascii   \b+=/-,"
163  0x000035b8 0x004041b8 7   8    .text   ascii   \v%=+/'3
164  0x000035e8 0x004041e8 5   6    .text   ascii   !6|Me
165  0x00003630 0x00404230 7   8    .text   ascii   \e8;<.+q
166  0x00003638 0x00404238 19  20   .text   ascii   <0?5?93oj",, ;%9;NJ
167  0x000036d2 0x004042d2 5   6    .text   ascii   \fY;\a\f
168  0x000036d8 0x004042d8 4   5    .text   ascii   -1%3
169  0x000036de 0x004042de 6   7    .text   ascii   6,<*+0
170  0x00003700 0x00404300 47  48   .text   ascii   {l|j\Lk`vjuh~mFRri{m~tf3Qmf{G[OYp}FFSIKMCcOKL\H
171  0x00003768 0x00404368 9   10   .text   ascii   @NLL\IHSZ
172  0x00003774 0x00404374 4   5    .text   ascii   MSO\r
173  0x00003790 0x00404390 5   6    .text   ascii   ;&% W
174  0x000037aa 0x004043aa 6   7    .text   ascii   \f\fFTMI
175  0x000037e8 0x004043e8 15  16   .text   ascii   fvuhja`tfac#s'~
176  0x000037f8 0x004043f8 5   6    .text   ascii   `;s{a
177  0x000037fe 0x004043fe 11  12   .text   ascii   <emrxrxu}}C
178  0x00003844 0x00404444 7   8    .text   ascii   B,';84D
179  0x0000384d 0x0040444d 11  12   .text   ascii   X\rZ$}IKGQES
180  0x0000385b 0x0040445b 6   7    .text   ascii   v0nK\L
181  0x00003862 0x00404462 6   7    .text   ascii   USBFD\v
182  0x0000386a 0x0040446a 18  19   .text   ascii   G?/xXF][,icwa;\f\r!V
183  0x00003910 0x00404510 15  16   .text   ascii   \F@DB[ArTNHLJSI
184  0x000039a0 0x004045a0 5   6    .text   ascii   QT[\Y
185  0x000039a6 0x004045a6 4   5    .text   ascii   TOUV
186  0x000039c2 0x004045c2 4   5    .text   ascii   =EOJ
187  0x000039c7 0x004045c7 4   5    .text   ascii   #^JA
188  0x000039d8 0x004045d8 8   9    .text   ascii   HTTP/1.1
189  0x000039e4 0x004045e4 4   5    .text   ascii   POST
190  0x000039f0 0x004045f0 14  15   .text   ascii   GetProcAddress
191  0x00003a00 0x00404600 12  13   .text   ascii   LoadLibraryA
192  0x00003a10 0x00404610 14  15   .text   ascii   NtCreateThread
193  0x00003a20 0x00404620 19  20   .text   ascii   NtCreateUserProcess
194  0x00003a34 0x00404634 25  26   .text   ascii   NtQueryInformationProcess
195  0x00003a50 0x00404650 18  19   .text   ascii   RtlUserThreadStart
196  0x00003a64 0x00404664 10  11   .text   ascii   LdrLoadDll
197  0x00003a70 0x00404670 15  16   .text   ascii   LdrGetDllHandle
198  0x00003a80 0x00404680 18  38   .text   utf16le SOFTWARE\Microsoft
199  0x00003aa8 0x004046a8 4   10   .text   utf16le .dat
200  0x00003ab4 0x004046b4 10  11   .text   ascii   0x01D9C0A0
201  0x00003af8 0x004046f8 80  81   .text   ascii   |$$$}rstuvwxyz{$$$$$$$>?@ABCDEFGHIJKLMNOPQRSTUVW$$$$$$XYZ[\]^_`abcdefghijklmnopq
202  0x00003b4c 0x0040474c 12  26   .text   utf16le kernel32.dll
203  0x00003b68 0x00404768 14  15   .text   ascii   IsWow64Process
204  0x00003b78 0x00404778 4   10   .text   utf16le "%s"
205  0x00003b84 0x00404784 7   16   .text   utf16le "%s" %s
206  0x00003b94 0x00404794 11  12   .text   ascii   userenv.dll
207  0x00003ba0 0x004047a0 22  23   .text   ascii   CreateEnvironmentBlock
208  0x00003bb8 0x004047b8 23  24   .text   ascii   DestroyEnvironmentBlock
209  0x00003bd0 0x004047d0 34  35   .text   ascii   :d\r\ndel "%s"\r\nif exist "%s" goto d
210  0x00003bfc 0x004047fc 28  29   .text   ascii   @echo off\r\n%s\r\ndel /F "%s"\r\n
211  0x00003c1c 0x0040481c 7   16   .text   utf16le /c "%s"
212  0x00003c2c 0x0040482c 7   16   .text   utf16le ComSpec
213  0x00003c3c 0x0040483c 55  56   .text   ascii   Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; SV1)
214  0x00003c74 0x00404874 19  20   .text   ascii   Connection: close\r\n
