[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1491 0x00023a1c 0x00423a1c 19  20           ascii   german-lichtenstein
1492 0x00023a30 0x00423a30 15  16           ascii   german-austrian
1493 0x00023a40 0x00423a40 12  13           ascii   french-swiss
1494 0x00023a50 0x00423a50 17  18           ascii   french-luxembourg
1495 0x00023a64 0x00423a64 15  16           ascii   french-canadian
1496 0x00023a74 0x00423a74 14  15           ascii   french-belgian
1497 0x00023a84 0x00423a84 11  12           ascii   english-usa
1498 0x00023a90 0x00423a90 10  11           ascii   english-us
1499 0x00023a9c 0x00423a9c 10  11           ascii   english-uk
1500 0x00023aa8 0x00423aa8 25  26           ascii   english-trinidad y tobago
1501 0x00023ac4 0x00423ac4 20  21           ascii   english-south africa
1502 0x00023adc 0x00423adc 10  11           ascii   english-nz
1503 0x00023ae8 0x00423ae8 15  16           ascii   english-jamaica
1504 0x00023af8 0x00423af8 11  12           ascii   english-ire
1505 0x00023b04 0x00423b04 17  18           ascii   english-caribbean
1506 0x00023b18 0x00423b18 11  12           ascii   english-can
1507 0x00023b24 0x00423b24 14  15           ascii   english-belize
1508 0x00023b34 0x00423b34 11  12           ascii   english-aus
1509 0x00023b40 0x00423b40 16  17           ascii   english-american
1510 0x00023b54 0x00423b54 13  14           ascii   dutch-belgian
1511 0x00023b64 0x00423b64 19  20           ascii   chinese-traditional
1512 0x00023b78 0x00423b78 17  18           ascii   chinese-singapore
1513 0x00023b8c 0x00423b8c 18  19           ascii   chinese-simplified
1514 0x00023ba0 0x00423ba0 16  17           ascii   chinese-hongkong
1515 0x00023bb4 0x00423bb4 7   8            ascii   chinese
1516 0x00023bc4 0x00423bc4 8   9            ascii   canadian
1517 0x00023bd0 0x00423bd0 7   8            ascii   belgian
1518 0x00023bd8 0x00423bd8 10  11           ascii   australian
1519 0x00023be4 0x00423be4 16  17           ascii   american-english
1520 0x00023bf8 0x00423bf8 16  17           ascii   american english
1521 0x00023c0c 0x00423c0c 8   9            ascii   american
1522 0x00023eeb 0x00423eeb 4   5            ascii   \bOCP
1523 0x00023ef4 0x00423ef4 17  18           ascii   Norwegian-Nynorsk
1524 0x00023f50 0x00423f50 4   5            ascii   RSDS
1525 0x00023f68 0x00423f68 80  81           ascii   C:\Users\tom\Desktop\bad file\Win7ElevateV2_Source\Win32\Release\Win7Elevate.pdb
1526 0x00024d9e 0x00424d9e 16  17           ascii   SHGetFolderPathW
1527 0x00024db0 0x00424db0 11  12           ascii   SHELL32.dll
1528 0x00024dbe 0x00424dbe 11  12           ascii   CloseHandle
1529 0x00024dcc 0x00424dcc 14  15           ascii   Process32NextW
1530 0x00024dde 0x00424dde 15  16           ascii   Process32FirstW
1531 0x00024df0 0x00424df0 11  12           ascii   FreeLibrary
1532 0x00024dfe 0x00424dfe 14  15           ascii   GetProcAddress
1533 0x00024e10 0x00424e10 12  13           ascii   LoadLibraryW
1534 0x00024e20 0x00424e20 12  13           ascii   GetLocalTime
1535 0x00024e30 0x00424e30 20  21           ascii   GetCurrentDirectoryW
1536 0x00024e48 0x00424e48 5   6            ascii   Sleep
1537 0x00024e50 0x00424e50 19  20           ascii   WaitForSingleObject
1538 0x00024e66 0x00424e66 18  19           ascii   CreateRemoteThread
1539 0x00024e7c 0x00424e7c 18  19           ascii   GetModuleFileNameW
1540 0x00024e92 0x00424e92 17  18           ascii   GetCurrentProcess
1541 0x00024ea6 0x00424ea6 11  12           ascii   DeleteFileW
1542 0x00024eb4 0x00424eb4 13  14           ascii   VirtualFreeEx
1543 0x00024ec4 0x00424ec4 16  17           ascii   VirtualProtectEx
1544 0x00024ed8 0x00424ed8 18  19           ascii   WriteProcessMemory
1545 0x00024eee 0x00424eee 12  13           ascii   LoadLibraryA
1546 0x00024efe 0x00424efe 14  15           ascii   VirtualAllocEx
1547 0x00024f10 0x00424f10 9   10           ascii   WriteFile
1548 0x00024f1c 0x00424f1c 11  12           ascii   CreateFileW
1549 0x00024f2a 0x00424f2a 16  17           ascii   GetTempFileNameW
1550 0x00024f3e 0x00424f3e 14  15           ascii   SizeofResource
1551 0x00024f50 0x00424f50 12  13           ascii   LockResource
1552 0x00024f60 0x00424f60 12  13           ascii   LoadResource
1553 0x00024f70 0x00424f70 13  14           ascii   FindResourceW
1554 0x00024f80 0x00424f80 12  13           ascii   GetTempPathW
1555 0x00024f8e 0x00424f8e 12  13           ascii   KERNEL32.dll
1556 0x00024f9e 0x00424f9e 19  20           ascii   GetTokenInformation
1557 0x00024fb4 0x00424fb4 16  17           ascii   OpenProcessToken
1558 0x00024fc6 0x00424fc6 12  13           ascii   ADVAPI32.dll
1559 0x00024fd6 0x00424fd6 14  15           ascii   RaiseException
1560 0x00024fe8 0x00424fe8 9   10           ascii   RtlUnwind
1561 0x00024ff4 0x00424ff4 13  14           ascii   EncodePointer
1562 0x00025004 0x00425004 13  14           ascii   DecodePointer
1563 0x00025014 0x00425014 15  16           ascii   GetCommandLineW
1564 0x00025026 0x00425026 18  19           ascii   HeapSetInformation
1565 0x0002503c 0x0042503c 15  16           ascii   GetStartupInfoW
1566 0x0002504e 0x0042504e 12  13           ascii   GetLastError
1567 0x0002505e 0x0042505e 8   9            ascii   HeapFree
1568 0x0002506a 0x0042506a 25  26           ascii   IsProcessorFeaturePresent
1569 0x00025086 0x00425086 9   10           ascii   HeapAlloc
1570 0x00025092 0x00425092 8   9            ascii   TlsAlloc
1571 0x0002509e 0x0042509e 11  12           ascii   TlsGetValue
1572 0x000250ac 0x004250ac 11  12           ascii   TlsSetValue
1573 0x000250ba 0x004250ba 7   8            ascii   TlsFree
1574 0x000250c4 0x004250c4 20  21           ascii   InterlockedIncrement
1575 0x000250dc 0x004250dc 16  17           ascii   GetModuleHandleW
1576 0x000250f0 0x004250f0 12  13           ascii   SetLastError
1577 0x00025100 0x00425100 18  19           ascii   GetCurrentThreadId
1578 0x00025116 0x00425116 20  21           ascii   InterlockedDecrement
1579 0x0002512e 0x0042512e 16  17           ascii   GetCurrentThread
1580 0x00025142 0x00425142 8   9            ascii   HeapSize
1581 0x0002514e 0x0042514e 11  12           ascii   ExitProcess
1582 0x0002515c 0x0042515c 24  25           ascii   UnhandledExceptionFilter
1583 0x00025178 0x00425178 27  28           ascii   SetUnhandledExceptionFilter
1584 0x00025196 0x00425196 17  18           ascii   IsDebuggerPresent
1585 0x000251aa 0x004251aa 16  17           ascii   TerminateProcess
1586 0x000251be 0x004251be 12  13           ascii   GetStdHandle
1587 0x000251ce 0x004251ce 23  24           ascii   FreeEnvironmentStringsW
1588 0x000251e8 0x004251e8 22  23           ascii   GetEnvironmentStringsW
1589 0x00025202 0x00425202 14  15           ascii   SetHandleCount
1590 0x00025214 0x00425214 37  38           ascii   InitializeCriticalSectionAndSpinCount
1591 0x0002523c 0x0042523c 11  12           ascii   GetFileType
1592 0x0002524a 0x0042524a 21  22           ascii   DeleteCriticalSection
1593 0x00025262 0x00425262 10  11           ascii   HeapCreate
1594 0x00025270 0x00425270 11  12           ascii   HeapDestroy
1595 0x0002527e 0x0042527e 23  24           ascii   QueryPerformanceCounter
1596 0x00025298 0x00425298 12  13           ascii   GetTickCount
1597 0x000252a8 0x004252a8 19  20           ascii   GetCurrentProcessId
1598 0x000252be 0x004252be 23  24           ascii   GetSystemTimeAsFileTime
1599 0x000252d8 0x004252d8 20  21           ascii   LeaveCriticalSection
1600 0x000252f0 0x004252f0 13  14           ascii   FatalAppExitA
1601 0x00025300 0x00425300 20  21           ascii   EnterCriticalSection
1602 0x00025318 0x00425318 9   10           ascii   GetCPInfo
1603 0x00025324 0x00425324 6   7            ascii   GetACP
1604 0x0002532e 0x0042532e 8   9            ascii   GetOEMCP
1605 0x0002533a 0x0042533a 15  16           ascii   IsValidCodePage
1606 0x0002534c 0x0042534c 11  12           ascii   HeapReAlloc
1607 0x0002535a 0x0042535a 21  22           ascii   SetConsoleCtrlHandler
1608 0x00025372 0x00425372 19  20           ascii   InterlockedExchange
1609 0x00025388 0x00425388 14  15           ascii   GetLocaleInfoW
1610 0x0002539a 0x0042539a 19  20           ascii   WideCharToMultiByte
1611 0x000253b0 0x004253b0 12  13           ascii   LCMapStringW
1612 0x000253c0 0x004253c0 19  20           ascii   MultiByteToWideChar
1613 0x000253d6 0x004253d6 14  15           ascii   GetStringTypeW
1614 0x000253e8 0x004253e8 18  19           ascii   GetUserDefaultLCID
1615 0x000253fe 0x004253fe 14  15           ascii   GetLocaleInfoA
1616 0x00025410 0x00425410 18  19           ascii   EnumSystemLocalesA
1617 0x00025426 0x00425426 13  14           ascii   IsValidLocale
1618 0x00025644 0x00425644 19  20           ascii   .?AVbad_alloc@std@@
1619 0x00025660 0x00425660 19  20           ascii   .?AVexception@std@@
1620 0x0002567c 0x0042567c 28  29           ascii   .?AVCTempResource@W7EUtils@@
1621 0x000256a4 0x004256a4 28  29           ascii   .?AVCRemoteMemory@W7EUtils@@
1622 0x000256cc 0x004256cc 21  22           ascii   .?AVlogic_error@std@@
1623 0x000256ec 0x004256ec 26  27           ascii   .?AVinvalid_argument@std@@
1624 0x00025710 0x00425710 22  23           ascii   .?AVlength_error@std@@
1625 0x00025730 0x00425730 22  23           ascii   .?AVout_of_range@std@@
1626 0x00025750 0x00425750 23  24           ascii   .?AVruntime_error@std@@
1627 0x00025770 0x00425770 24  25           ascii   .?AVoverflow_error@std@@
1628 0x00025798 0x00425798 18  19           ascii   .?AVbad_cast@std@@
1629 0x000257b4 0x004257b4 20  21           ascii   .?AVbad_typeid@std@@
1630 0x000257d4 0x004257d4 27  28           ascii   .?AV__non_rtti_object@std@@
1631 0x000257f8 0x004257f8 15  16           ascii   .?AVtype_info@@
1632 0x00025828 0x00425828 23  24           ascii   .?AVbad_exception@std@@
1633 0x0002587c 0x0042587c 12  52           utf32le \t\a\f\b\f\t\f\n\a\v\b\f
1634 0x00025900 0x00425900 5   24           utf32le R\rS\rW
1635 0x00025918 0x00425918 7   32           utf32le Y\vl\rm p
1636 0x0002598c 0x0042598c 4   20           utf32le \v§\r· blocks=Basic Latin,Latin-1 Supplement
1637 0x00025df6 0x00425df6 26  27           ascii                             
1638 0x00025ed6 0x00425ed6 26  27           ascii   abcdefghijklmnopqrstuvwxyz
1639 0x00025ef6 0x00425ef6 26  27           ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
1640 0x00025ffa 0x00425ffa 26  27           ascii                             
1641 0x000260e1 0x004260e1 26  27           ascii   abcdefghijklmnopqrstuvwxyz
1642 0x00026101 0x00426101 26  27           ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
1643 0x0002687a 0x0042687a 6   14           utf16le BINARY
1644 0x000268d5 0x004268d5 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1645 0x00026958 0x00426958 4   5            ascii   Rich
1646 0x00026a70 0x00426a70 5   6            ascii   .text
1647 0x00026a97 0x00426a97 7   8            ascii   `.rdata
1648 0x00026abf 0x00426abf 6   7            ascii   @.data
1649 0x00026ae8 0x00426ae8 5   6            ascii   .rsrc
1650 0x00026b0f 0x00426b0f 7   8            ascii   @.reloc
1651 0x00026d1c 0x00426d1c 5   11           utf16le jjjjj
1652 0x00026e00 0x00426e00 5   6            ascii   u[9= 
1653 0x00026ed2 0x00426ed2 5   6            ascii   j\fh y
1654 0x00026f0f 0x00426f0f 5   6            ascii   t\bWVS
1655 0x00026f48 0x00426f48 5   6            ascii   u WPS
1656 0x00026f71 0x00426f71 5   6            ascii   u&WVS
1657 0x00026f8f 0x00426f8f 5   6            ascii   t\bWVS
1658 0x00026fb3 0x00426fb3 4   6            utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
1659 0x00027174 0x00427174 5   6            ascii   j\bh@y
1660 0x00027214 0x00427214 4   5            ascii   u\bj\r
1661 0x000272bb 0x004272bb 5   6            ascii   j\bhhy
1662 0x000273d3 0x004273d3 4   5            ascii   u\bj\r
1663 0x000273dc 0x004273dc 6   8            utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
1664 0x00027420 0x00427420 5   7            utf8    ЉE\b^j blocks=Cyrillic,Basic Latin
1665 0x0002745a 0x0042745a 4   5            ascii   WhHa
1666 0x0002764e 0x0042764e 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1667 0x0002769a 0x0042769a 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1668 0x000276b8 0x004276b8 8   9            ascii   u,9E\ft'9
1669 0x000276e8 0x004276e8 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1670 0x00027790 0x00427790 4   5            ascii   ;u\fr
1671 0x000277d7 0x004277d7 5   6            ascii   uTVWh
1672 0x0002780c 0x0042780c 5   7            utf8    _^t\eh
1673 0x0002788f 0x0042788f 5   9            utf8    }ԉ]܉} blocks=Basic Latin,Cyrillic Supplement,Syriac
1674 0x000278da 0x004278da 6   10           utf8    ]܉]ЉE؋ blocks=Basic Latin,Syriac,Cyrillic,Arabic
1675 0x0002795e 0x0042795e 4   5            ascii   t\bj\b
1676 0x000279c5 0x004279c5 6   7            ascii   j@j ^V
1677 0x00027a2b 0x00427a2b 5   6            ascii   SWf9M
1678 0x00027a67 0x00427a67 4   5            ascii   j@j 
1679 0x00027aa4 0x00427aa4 4   5            ascii   @ \n\n
1680 0x00027aee 0x00427aee 4   5            ascii   \bu\vP
1681 0x00027c47 0x00427c47 5   8            utf8    _^Ã=̨ blocks=Basic Latin,Latin-1 Supplement,Combining Diacritical Marks
1682 0x00027c99 0x00427c99 4   6            utf8    tˋ5$ blocks=Basic Latin,Spacing Modifier Letters
1683 0x00027cc1 0x00427cc1 5   6            ascii   t?VSP
1684 0x00027cfd 0x00427cfd 4   5            ascii   Y[_^
1685 0x00027d1b 0x00427d1b 5   6            ascii   PPPPP
1686 0x00027d40 0x00427d40 5   6            ascii   9E\bt\t
1687 0x00027e00 0x00427e00 4   5            ascii   >"u&
1688 0x00027e4a 0x00427e4a 10  11           ascii   u\b< tK<\ttG
1689 0x00027eb1 0x00427eb1 4   5            ascii   E\b^[
1690 0x00027f96 0x00427f96 5   6            ascii   wf93t
1691 0x00027f9f 0x00427f9f 4   5            ascii   f90u
1692 0x00027fa7 0x00427fa7 4   5            ascii   f90u
1693 0x00027fb3 0x00427fb3 4   5            ascii   VVV+
1694 0x00027fbb 0x00427fbb 5   6            ascii   @PSVV
1695 0x00027fd8 0x00427fd8 4   5            ascii   t*VV
1696 0x000280e7 0x004280e7 5   6            ascii   Y__^[
1697 0x00028106 0x00428106 4   5            ascii   s\b35
1698 0x000281db 0x004281db 4   5            ascii   9csm
1699 0x00028217 0x00428217 6   7            ascii   E\f9X\ft
1700 0x000283b2 0x004283b2 4   5            ascii   vdj\b
1701 0x000283cd 0x004283cd 4   6            utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1702 0x000283db 0x004283db 5   6            ascii   9E\bu\r
1703 0x000284ce 0x004284ce 5   7            utf8    @_^Ã$ blocks=Basic Latin,Latin-1 Supplement
1704 0x000286cb 0x004286cb 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1705 0x000288ae 0x004288ae 6   8            utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
1706 0x0002891a 0x0042891a 4   5            ascii   Fpt"
1707 0x0002892e 0x0042892e 4   5            ascii   u\bj 
1708 0x00028988 0x00428988 5   6            ascii   \rt\fHt
1709 0x00028bc5 0x00428bc5 4   5            ascii   u\bj 
1710 0x00028c78 0x00428c78 4   5            ascii   Hpu\a
1711 0x00028c98 0x00428c98 4   5            ascii   Hpu\b
1712 0x00028df1 0x00428df1 4   5            ascii   s\f9U
1713 0x00028ee2 0x00428ee2 5   6            ascii   \b\b@Iu
1714 0x00028f58 0x00428f58 4   5            ascii   E\b;C
1715 0x00029106 0x00429106 5   7            utf8    j\rX]Ë blocks=Basic Latin,Latin-1 Supplement
1716 0x00029146 0x00429146 4   5            ascii   woVW
1717 0x00029189 0x00429189 6   7            ascii   u&j\f^9
1718 0x000291e1 0x004291e1 4   5            ascii   ;E\fs
1719 0x000292fd 0x004292fd 5   6            ascii   j\bh0z
1720 0x0002938c 0x0042938c 4   5            ascii   M\b^;
1721 0x000293a9 0x004293a9 5   6            ascii   j hPz
1722 0x000293bb 0x004293bb 4   6            utf8    }؋]\b blocks=Basic Latin,Arabic
1723 0x0002941a 0x0042941a 4   5            ascii   t!Ht
1724 0x00029487 0x00429487 4   6            utf8    Y3\tE
1725 0x000294a0 0x004294a0 4   6            utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
1726 0x000294c3 0x004294c3 5   7            utf8    M܋\rLb blocks=Basic Latin,Syriac
1727 0x00029534 0x00429534 4   6            utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
1728 0x0002953f 0x0042953f 5   7            utf8    EЉGd3 blocks=Basic Latin,Cyrillic
1729 0x000296f6 0x004296f6 5   6            ascii   PPPPP
1730 0x00029818 0x00429818 4   6            utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
1731 0x00029822 0x00429822 5   6            ascii   j\fhpz
1732 0x00029871 0x00429871 4   6            utf8    YH]Ë blocks=Basic Latin,Latin-1 Supplement
1733 0x000298ac 0x004298ac 4   6            utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
1734 0x000298b2 0x004298b2 4   6            utf8    A8PE
1735 0x00029917 0x00429917 4   5            ascii   _^[]
1736 0x00029942 0x00429942 4   5            ascii   \bSVW
1737 0x000299ab 0x004299ab 4   5            ascii   Y_^[
1738 0x000299b7 0x004299b7 4   6            utf8    \b3ҁ9 blocks=Basic Latin,Cyrillic
1739 0x000299dc 0x004299dc 4   5            ascii   Y_^[
1740 0x000299e9 0x004299e9 6   8            utf8    3\vM\b;\f
1741 0x00029a22 0x00429a22 4   5            ascii   u\bWV
1742 0x00029aca 0x00429aca 5   6            ascii   PPPPP
1743 0x00029ade 0x00429ade 4   5            ascii   <v*V
1744 0x00029b4b 0x00429b4b 6   7            ascii   ^SSSSS
1745 0x00029b67 0x00429b67 6   8            utf8    tA3\n\fG
1746 0x00029b78 0x00429b78 5   6            ascii   Gt\b@=
1747 0x00029bf8 0x00429bf8 4   5            ascii   U\bVW
1748 0x00029d67 0x00429d67 8   9            ascii   URPQQh`A
1749 0x00029d7d 0x00429d7d 6   8            utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
1750 0x00029d92 0x00429d92 4   5            ascii   L$,3
1751 0x00029de4 0x00429de4 6   8            utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
1752 0x00029e4a 0x00429e4a 4   5            ascii   UVWS
1753 0x00029e5c 0x00429e5c 5   7            utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
1754 0x00029e7d 0x00429e7d 4   5            ascii   SVWj
1755 0x00029e8e 0x00429e8e 4   5            ascii   _^[]
1756 0x00029e95 0x00429e95 5   6            ascii   l$\bRQ
1757 0x0002a276 0x0042a276 4   5            ascii   v4;5
1758 0x0002a286 0x0042a286 4   6            utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
1759 0x0002a374 0x0042a374 5   7            utf8    vL;5Ԛ blocks=Basic Latin,Cyrillic Supplement
1760 0x0002a384 0x0042a384 7   9            utf8    Y^]ËT$\f blocks=Basic Latin,Latin-1 Supplement
1761 0x0002a392 0x0042a392 7   9            utf8    ti3\nD$\b
1762 0x0002a3c1 0x0042a3c1 5   7            utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
1763 0x0002a3f8 0x0042a3f8 7   9            utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
1764 0x0002a448 0x0042a448 4   5            ascii   t\b@;
1765 0x0002a462 0x0042a462 5   6            ascii   9]$u\v
1766 0x0002a47a 0x0042a47a 5   6            ascii   9](SS
1767 0x0002a4b4 0x0042a4b4 4   5            ascii   D?\b=
1768 0x0002a571 0x0042a571 4   5            ascii   D?\b;
1769 0x0002a5c0 0x0042a5c0 8   9            ascii   t"SS9] u
1770 0x0002a680 0x0042a680 5   6            ascii   9] SS
1771 0x0002a6b0 0x0042a6b0 4   5            ascii   D?\b=
1772 0x0002a969 0x0042a969 4   5            ascii   E\b^_
1773 0x0002a975 0x0042a975 4   5            ascii   E\b^_
1774 0x0002a987 0x0042a987 4   5            ascii   E\b^_
1775 0x0002a9a1 0x0042a9a1 4   5            ascii   E\b^_
1776 0x0002ab05 0x0042ab05 4   5            ascii   E\b^_
1777 0x0002ab13 0x0042ab13 4   5            ascii   E\b^_
1778 0x0002ab29 0x0042ab29 4   5            ascii   E\b^_
1779 0x0002ab43 0x0042ab43 4   5            ascii   E\b^_
1780 0x0002ab6c 0x0042ab6c 4   5            ascii   E\fVW
1781 0x0002ac15 0x0042ac15 4   5            ascii   tG9\r
1782 0x0002ace4 0x0042ace4 5   7            utf8    _^]ËM blocks=Basic Latin,Latin-1 Supplement
1783 0x0002ad49 0x0042ad49 4   5            ascii   9U\fu
1784 0x0002ad50 0x0042ad50 5   7            utf8    _^[]Å blocks=Basic Latin,Latin-1 Supplement
1785 0x0002ada4 0x0042ada4 4   5            ascii   t'Ou
1786 0x0002addd 0x0042addd 5   6            ascii   M\fjPf
1787 0x0002ae41 0x0042ae41 5   7            utf8    _^]ËE blocks=Basic Latin,Latin-1 Supplement
1788 0x0002aecb 0x0042aecb 5   6            ascii   SVWUj
1789 0x0002aee0 0x0042aee0 4   5            ascii   ]_^[
1790 0x0002aee6 0x0042aee6 4   6            utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
1791 0x0002af6c 0x0042af6c 6   7            ascii   ;t$,v-
1792 0x0002afc7 0x0042afc7 6   7            ascii   R\f9Q\bu
1793 0x0002afef 0x0042afef 10  11           ascii   k\fUQPXY]Y[
1794 0x0002b0da 0x0042b0da 5   7            utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
1795 0x0002b0f0 0x0042b0f0 5   7            utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
1796 0x0002b12f 0x0042b12f 4   5            ascii   oV f
1797 0x0002b134 0x0042b134 4   5            ascii   o^0f
1798 0x0002b14c 0x0042b14c 4   5            ascii   of@f
1799 0x0002b151 0x0042b151 4   5            ascii   onPf
1800 0x0002b156 0x0042b156 4   5            ascii   ov`f
1801 0x0002b15b 0x0042b15b 4   5            ascii   o~pf
1802 0x0002b1c8 0x0042b1c8 5   6            ascii   \aFGIu
1803 0x0002b1ce 0x0042b1ce 5   7            utf8    X^_]ú blocks=Basic Latin,Latin-1 Supplement
1804 0x0002b1ea 0x0042b1ea 4   5            ascii   FGIu
1805 0x0002b3d0 0x0042b3d0 12  26           utf16le KERNEL32.DLL
1806 0x0002b3ec 0x0042b3ec 7   8            ascii   FlsFree
1807 0x0002b3f4 0x0042b3f4 11  12           ascii   FlsSetValue
1808 0x0002b400 0x0042b400 11  12           ascii   FlsGetValue
1809 0x0002b40c 0x0042b40c 8   9            ascii   FlsAlloc
1810 0x0002b418 0x0042b418 14  15           ascii   CorExitProcess
1811 0x0002b428 0x0042b428 11  24           utf16le mscoree.dll
1812 0x0002b4e4 0x0042b4e4 6   14           utf16le :mm:ss
1813 0x0002b4f4 0x0042b4f4 19  40           utf16le dddd, MMMM dd, yyyy
1814 0x0002b51c 0x0042b51c 8   18           utf16le MM/dd/yy
1815 0x0002b540 0x0042b540 8   18           utf16le December
1816 0x0002b554 0x0042b554 8   18           utf16le November
1817 0x0002b568 0x0042b568 7   16           utf16le October
1818 0x0002b578 0x0042b578 9   20           utf16le September
1819 0x0002b58c 0x0042b58c 6   14           utf16le August
1820 0x0002b59c 0x0042b59c 4   10           utf16le July
1821 0x0002b5a8 0x0042b5a8 4   10           utf16le June
1822 0x0002b5b4 0x0042b5b4 5   12           utf16le April
1823 0x0002b5c0 0x0042b5c0 5   12           utf16le March
1824 0x0002b5cc 0x0042b5cc 8   18           utf16le February
1825 0x0002b5e0 0x0042b5e0 7   16           utf16le January
1826 0x0002b650 0x0042b650 8   18           utf16le Saturday
1827 0x0002b664 0x0042b664 6   14           utf16le Friday
1828 0x0002b674 0x0042b674 8   18           utf16le Thursday
1829 0x0002b688 0x0042b688 9   20           utf16le Wednesday
1830 0x0002b69c 0x0042b69c 7   16           utf16le Tuesday
1831 0x0002b6ac 0x0042b6ac 6   14           utf16le Monday
1832 0x0002b6bc 0x0042b6bc 6   14           utf16le Sunday
1833 0x0002b704 0x0042b704 8   9            ascii   HH:mm:ss
1834 0x0002b710 0x0042b710 19  20           ascii   dddd, MMMM dd, yyyy
1835 0x0002b724 0x0042b724 8   9            ascii   MM/dd/yy
1836 0x0002b738 0x0042b738 8   9            ascii   December
1837 0x0002b744 0x0042b744 8   9            ascii   November
1838 0x0002b750 0x0042b750 7   8            ascii   October
1839 0x0002b758 0x0042b758 9   10           ascii   September
1840 0x0002b764 0x0042b764 6   7            ascii   August
1841 0x0002b76c 0x0042b76c 4   5            ascii   July
1842 0x0002b774 0x0042b774 4   5            ascii   June
1843 0x0002b77c 0x0042b77c 5   6            ascii   April
1844 0x0002b784 0x0042b784 5   6            ascii   March
1845 0x0002b78c 0x0042b78c 8   9            ascii   February
1846 0x0002b798 0x0042b798 7   8            ascii   January
1847 0x0002b7d0 0x0042b7d0 8   9            ascii   Saturday
1848 0x0002b7dc 0x0042b7dc 6   7            ascii   Friday
1849 0x0002b7e4 0x0042b7e4 8   9            ascii   Thursday
1850 0x0002b7f0 0x0042b7f0 9   10           ascii   Wednesday
1851 0x0002b7fc 0x0042b7fc 7   8            ascii   Tuesday
1852 0x0002b804 0x0042b804 6   7            ascii   Monday
1853 0x0002b80c 0x0042b80c 6   7            ascii   Sunday
1854 0x0002b82e 0x0042b82e 15  32           utf16le nruntime error 
1855 0x0002b858 0x0042b858 13  28           utf16le TLOSS error\r\n
1856 0x0002b874 0x0042b874 12  26           utf16le SING error\r\n
1857 0x0002b890 0x0042b890 14  30           utf16le DOMAIN error\r\n
1858 0x0002b8b0 0x0042b8b0 246 494          utf16le R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
1859 0x0002baa0 0x0042baa0 50  102          utf16le R6032\r\n- not enough space for locale information\r\n
1860 0x0002bb08 0x0042bb08 98  198          utf16le R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
1861 0x0002bbd0 0x0042bbd0 30  62           utf16le R6030\r\n- CRT not initialized\r\n
1862 0x0002bc10 0x0042bc10 36  74           utf16le R6028\r\n- unable to initialize heap\r\n
1863 0x0002bc60 0x0042bc60 52  106          utf16le R6027\r\n- not enough space for lowio initialization\r\n
1864 0x0002bcd0 0x0042bcd0 52  106          utf16le R6026\r\n- not enough space for stdio initialization\r\n
1865 0x0002bd40 0x0042bd40 37  76           utf16le R6025\r\n- pure virtual function call\r\n
1866 0x0002bd90 0x0042bd90 52  106          utf16le R6024\r\n- not enough space for _onexit/atexit table\r\n
1867 0x0002be00 0x0042be00 40  82           utf16le R6019\r\n- unable to open console device\r\n
1868 0x0002be58 0x0042be58 32  66           utf16le R6018\r\n- unexpected heap error\r\n
1869 0x0002bea0 0x0042bea0 44  90           utf16le R6017\r\n- unexpected multithread lock error\r\n
1870 0x0002bf00 0x0042bf00 43  88           utf16le R6016\r\n- not enough space for thread data\r\n
1871 0x0002bf58 0x0042bf58 34  70           utf16le R6010\r\n- abort() has been called\r\n
1872 0x0002bfa0 0x0042bfa0 43  88           utf16le R6009\r\n- not enough space for environment\r\n
1873 0x0002bff8 0x0042bff8 41  84           utf16le R6008\r\n- not enough space for arguments\r\n
