[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
74   0x000028d0 0x004028d0 6   8    .text   utf8    +Ƌ=h`@ blocks=Basic Latin,Latin Extended-B
75   0x000028da 0x004028da 9   10   .text   ascii   SS@SSPVSS
76   0x000028fc 0x004028fc 6   7    .text   ascii   t#SSUP
77   0x00002903 0x00402903 6   7    .text   ascii   t$$VSS
78   0x00002945 0x00402945 4   5    .text   ascii   t\n@8
79   0x00002966 0x00402966 4   5    .text   ascii   \vUWV
80   0x0000297f 0x0040297f 7   9    .text   utf8    _^][YYÃ blocks=Basic Latin,Latin-1 Supplement
81   0x00002988 0x00402988 6   7    .text   ascii   DSUVWh
82   0x0000299c 0x0040299c 4   5    .text   ascii   u\bj\e
83   0x00002a81 0x00402a81 4   5    .text   ascii   \bu\vP
84   0x00002b29 0x00402b29 4   5    .text   ascii   _^][
85   0x00002b33 0x00402b33 4   5    .text   ascii   t$\bj
86   0x00002b43 0x00402b43 4   5    .text   ascii   8MZu
87   0x00002b71 0x00402b71 4   6    .text   utf8    SPǅh blocks=Basic Latin,Latin Extended-B
88   0x00002bac 0x00402bac 5   6    .text   ascii   Phpa@
89   0x00002bd2 0x00402bd2 6   7    .text   ascii   <a|\b<z
90   0x00002beb 0x00402beb 5   6    .text   ascii   PhXa@
91   0x00002c28 0x00402c28 6   7    .text   ascii   <a|\b<z
92   0x00002c50 0x00402c50 5   6    .text   ascii   t>j,P
93   0x00002c5d 0x00402c5d 4   5    .text   ascii   Yt0@
94   0x00002c75 0x00402c75 4   5    .text   ascii   j\nSP
95   0x00002caa 0x00402caa 5   6    .text   ascii   9D$\bh
96   0x00002d07 0x00402d07 5   6    .text   ascii   SVWUj
97   0x00002d1c 0x00402d1c 4   5    .text   ascii   ]_^[
98   0x00002d22 0x00402d22 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
99   0x00002d50 0x00402d50 4   5    .text   ascii   h$-@
100  0x00002d70 0x00402d70 8   9    .text   ascii   t.;t$$t(
101  0x00002da9 0x00402da9 4   5    .text   ascii   \f_^[
102  0x00002dc4 0x00402dc4 6   7    .text   ascii   R\f9Q\bu
103  0x00002deb 0x00402deb 4   5    .text   ascii   k\fY[
104  0x00002df4 0x00402df4 9   10   .text   ascii   VC20XC00U
